lat,lon,depth,sal,temp,p,c,td
69.1496,-51.1369,0.5,NaN,NaN,NaN,NaN,737650.6549
,,1.5,31.49190432,1.825,NaN,27.83,
,,2.5,31.55788669,1.895714286,NaN,27.94,
,,3.5,31.64774117,2.15625,NaN,28.2225,
,,4.5,31.92765443,2.655714286,NaN,28.85714286,
,,5.5,32.11054138,3.425714286,NaN,29.64142857,
,,6.5,32.16528359,3.9675,NaN,30.1375,
,,7.5,32.21898994,4.255714286,NaN,30.42428571,
,,8.5,32.24498522,4.448571429,NaN,30.60857143,
,,9.5,32.2407501,4.57625,NaN,30.7125,
,,10.5,32.28715095,4.654285714,NaN,30.81857143,
,,11.5,32.29869098,4.774285714,NaN,30.93,
,,12.5,32.34159323,4.887142857,NaN,31.06285714,
,,13.5,32.344529,4.98375,NaN,31.1475,
,,14.5,32.43080556,5.195714286,NaN,31.40285714,
,,15.5,32.48618261,5.495714286,NaN,31.70714286,
,,16.5,32.50847488,5.6775,NaN,31.8825,
,,17.5,32.51465505,5.752857143,NaN,31.95285714,
,,18.5,32.54055819,5.707142857,NaN,31.93714286,
,,19.5,32.64077672,5.33375,NaN,31.70625,
,,20.5,32.87462424,5.168571429,NaN,31.77,
,,21.5,32.80163582,4.838571429,NaN,31.42428571,
,,22.5,32.97808882,4.54875,NaN,31.32875,
,,23.5,33.05175327,4.524285714,NaN,31.37142857,
,,24.5,33.03124866,4.414285714,NaN,31.26,
,,25.5,32.94583598,4.127142857,NaN,30.94285714,
,,26.5,32.90196584,3.4325,NaN,30.31625,
,,27.5,32.90632063,3.117142857,NaN,30.05428571,
,,28.5,32.52672527,1.92,NaN,28.74857143,
,,29.5,32.76963451,1.075,NaN,28.245,
,,30.5,32.8184965,1.051428571,NaN,28.26428571,
,,31.5,32.82550455,1.141428571,NaN,28.34428571,
,,32.5,32.82945992,1.185,NaN,28.38375,
,,33.5,32.83648013,1.22,NaN,28.41857143,
,,34.5,33.22322199,2.018571429,NaN,29.39142857,
,,35.5,33.02151273,2.54875,NaN,29.67375,
,,36.5,33.33755821,3.328571429,NaN,30.59428571,
,,37.5,33.16360409,3.68,NaN,30.75,
,,38.5,33.17780488,3.75625,NaN,30.8275,
