lat,lon,depth,sal,temp,p,c,td
,,114.5,33.00349949,0.83875,NaN,28.27,
,,115.5,33.00614976,0.835714286,NaN,28.27,
,,116.5,33.00864855,0.832857143,NaN,28.27,
,,117.5,33.01755049,0.83,NaN,28.275,
,,118.5,33.02341557,0.83,NaN,28.28,
,,119.5,33.03474659,0.84,NaN,28.2975,
,,120.5,33.0329146,0.852857143,NaN,28.30714286,
,,121.5,33.02846062,0.86,NaN,28.31,
,,122.5,33.02788484,0.86,NaN,28.31,
,,123.5,33.03162741,0.862857143,NaN,28.31571429,
,,124.5,33.03916373,0.874285714,NaN,28.33142857,
,,125.5,33.03682935,0.87875,NaN,28.33375,
,,126.5,33.03745251,0.88,NaN,28.33571429,
,,127.5,33.03707685,0.885,NaN,28.34,
,,128.5,33.04613098,0.882857143,NaN,28.34571429,
,,129.5,33.04127915,0.88,NaN,28.34,
,,130.5,33.06139438,0.88625,NaN,28.36125,
,,131.5,33.07341695,0.905714286,NaN,28.38714286,
,,132.5,33.08212798,0.914285714,NaN,28.40142857,
,,133.5,33.08649265,0.92,NaN,28.41,
,,134.5,33.0877542,0.92,NaN,28.41142857,
,,135.5,33.09819566,0.92,NaN,28.42,
,,136.5,33.1068585,0.928571429,NaN,28.43428571,
,,137.5,33.11214483,0.93,NaN,28.44,
,,138.5,33.11317669,0.93,NaN,28.44125,
,,139.5,33.10947651,0.931428571,NaN,28.44,
,,140.5,33.11235116,0.938571429,NaN,28.44857143,
,,141.5,33.12979732,0.9475,NaN,28.47,
,,142.5,33.12876126,0.96,NaN,28.48,
,,143.5,33.14587999,0.9675,NaN,28.5,
,,144.5,33.16593418,0.984285714,NaN,28.53,
,,145.5,33.1758438,0.998571429,NaN,28.55,
,,146.5,33.17374896,1,NaN,28.55,
,,147.5,33.18416927,1,NaN,28.55857143,
,,148.5,33.18542833,1,NaN,28.56,
,,149.5,33.18485527,1,NaN,28.56,
,,150.5,33.18432051,1,NaN,28.56,
,,151.5,33.18374766,1,NaN,28.56,
,,152.5,33.19388821,1.007142857,NaN,28.57428571,
,,153.5,33.19763567,1.01,NaN,28.58,
,,154.5,33.19706308,1.01,NaN,28.58,
,,155.5,33.20322459,1.015714286,NaN,28.59,
,,156.5,33.19808636,1.02,NaN,28.59,
,,157.5,33.22162879,1.021428571,NaN,28.61,
,,158.5,33.21196087,1.03,NaN,28.61,
,,159.5,33.21299076,1.03,NaN,28.61125,
,,160.5,33.2214926,1.028571429,NaN,28.61714286,
,,161.5,33.22439222,1.02875,NaN,28.62,
,,162.5,33.24445712,1.03,NaN,28.63714286,
,,163.5,33.24392323,1.03,NaN,28.63714286,
,,164.5,33.24861466,1.03,NaN,28.64125,
,,165.5,33.2678141,1.044285714,NaN,28.66857143,
,,166.5,33.28753083,1.06,NaN,28.6975,
,,167.5,33.30143977,1.07,NaN,28.71714286,
,,168.5,33.31035618,1.071428571,NaN,28.72571429,
,,169.5,33.30612073,1.08,NaN,28.73,
,,170.5,33.3055493,1.08,NaN,28.73,
,,171.5,33.32337425,1.08375,NaN,28.7475,
,,172.5,33.32481376,1.09,NaN,28.75428571,
,,173.5,33.33159305,1.09,NaN,28.76,
,,174.5,33.32942223,1.09,NaN,28.75875,
,,175.5,33.32709755,1.091428571,NaN,28.75857143,
,,176.5,33.32508105,1.09,NaN,28.75625,
,,177.5,33.32382469,1.09,NaN,28.75571429,
,,178.5,33.32694792,1.09,NaN,28.75857143,
,,179.5,33.32153388,1.09625,NaN,28.76,
,,180.5,33.33889047,1.1,NaN,28.77714286,
,,181.5,33.34863553,1.10125,NaN,28.78625,
,,182.5,33.34504291,1.108571429,NaN,28.79,
,,183.5,33.36003024,1.112857143,NaN,28.80571429,
,,184.5,33.37649114,1.12,NaN,28.825,
,,185.5,33.36952727,1.12,NaN,28.82,
,,186.5,33.38494076,1.12,NaN,28.8325,
,,187.5,33.38632589,1.127142857,NaN,28.84,
,,188.5,33.3857938,1.127142857,NaN,28.84,
,,189.5,33.38885013,1.12375,NaN,28.84,
,,190.5,33.39106054,1.122857143,NaN,28.84142857,
,,191.5,33.41514016,1.125,NaN,28.8625,
,,192.5,33.42093633,1.131428571,NaN,28.87285714,
,,193.5,33.43608063,1.13125,NaN,28.885,
,,194.5,33.43253886,1.14,NaN,28.89,
,,195.5,33.432007,1.14,NaN,28.89,
,,196.5,33.43437252,1.13875,NaN,28.89125,
,,197.5,33.4418227,1.14,NaN,28.89857143,
,,198.5,33.43691145,1.14875,NaN,28.9025,
,,199.5,33.45371451,1.15,NaN,28.91714286,
,,200.5,33.45496043,1.158571429,NaN,28.92571429,
,,201.5,33.47641848,1.1625,NaN,28.94625,
,,202.5,33.49444566,1.178571429,NaN,28.97428571,
,,203.5,33.50041333,1.18375,NaN,28.98375,
,,204.5,33.49930501,1.19,NaN,28.98857143,
,,205.5,33.49793639,1.185,NaN,28.98375,
,,206.5,33.50063973,1.184285714,NaN,28.98571429,
,,207.5,33.49734248,1.188571429,NaN,28.98714286,
,,208.5,33.49678189,1.1875,NaN,28.98625,
,,209.5,33.49802918,1.188571429,NaN,28.98857143,
,,210.5,33.49966145,1.18375,NaN,28.98625,
,,211.5,33.5078334,1.188571429,NaN,28.99714286,
,,212.5,33.51257291,1.19,NaN,29.0025,
,,213.5,33.50698993,1.19,NaN,28.99857143,
,,214.5,33.50704471,1.192857143,NaN,29.00142857,
,,215.5,33.53445962,1.20375,NaN,29.0325,
,,216.5,33.53100442,1.208571429,NaN,29.03428571,
,,217.5,33.53753495,1.20875,NaN,29.04,
,,218.5,33.53715836,1.208571429,NaN,29.04,
,,219.5,33.53907863,1.20625,NaN,29.04,
,,220.5,33.53602272,1.208571429,NaN,29.04,
,,221.5,33.54431532,1.207142857,NaN,29.04571429,
,,222.5,33.55872315,1.20125,NaN,29.0525,
,,223.5,33.56600283,1.202857143,NaN,29.06,
,,224.5,33.56179612,1.20625,NaN,29.06,
,,225.5,33.56988376,1.218571429,NaN,29.07714286,
,,226.5,33.57363844,1.23875,NaN,29.0975,
,,227.5,33.60051889,1.258571429,NaN,29.13571429,
,,228.5,33.60191233,1.277142857,NaN,29.15285714,
,,229.5,33.60235163,1.27875,NaN,29.155,
,,230.5,33.6013538,1.28,NaN,29.15571429,
,,231.5,33.60624492,1.28,NaN,29.16,
,,232.5,33.60385935,1.28,NaN,29.15857143,
,,233.5,33.60511218,1.28,NaN,29.16,
,,234.5,33.60454597,1.28,NaN,29.16,
,,235.5,33.60397988,1.28,NaN,29.16,
,,236.5,33.60705223,1.28,NaN,29.16285714,
,,237.5,33.61915945,1.288571429,NaN,29.18,
,,238.5,33.64520697,1.2875,NaN,29.2,
,,239.5,33.66064933,1.274285714,NaN,29.20142857,
,,240.5,33.67560592,1.27,NaN,29.21,
,,241.5,33.68863217,1.274285714,NaN,29.22428571,
,,242.5,33.69875512,1.28,NaN,29.2375,
,,243.5,33.69522989,1.285714286,NaN,29.24,
,,244.5,33.69408756,1.28625,NaN,29.24,
,,245.5,33.69409709,1.285714286,NaN,29.24,
,,246.5,33.69049744,1.288571429,NaN,29.24,
,,247.5,33.68839584,1.29,NaN,29.24,
,,248.5,33.691468,1.29,NaN,29.24285714,
,,249.5,33.69363069,1.29,NaN,29.245,
,,250.5,33.70852635,1.29,NaN,29.25714286,
,,251.5,33.71722346,1.28625,NaN,29.26125,
,,252.5,33.72473859,1.285714286,NaN,29.26714286,
,,253.5,33.72857976,1.285,NaN,29.27,
,,254.5,33.72570829,1.287142857,NaN,29.27,
,,255.5,33.72825407,1.284285714,NaN,29.27,
,,256.5,33.73745798,1.29,NaN,29.2825,
,,257.5,33.74644253,1.29,NaN,29.29,
,,258.5,33.74587675,1.29,NaN,29.29,
,,259.5,33.74713025,1.29,NaN,29.29142857,
,,260.5,33.75319742,1.2925,NaN,29.29875,
,,261.5,33.75230099,1.294285714,NaN,29.3,
,,262.5,33.75011326,1.29875,NaN,29.3025,
