lat,lon,depth,sal,temp,p,c,td
69.1565,-50.60263889,0.5,NaN,NaN,NaN,NaN,737649.5806
,,1.5,24.2305579,-1.321666667,NaN,19.95166667,
,,2.5,24.25478218,-1.331428571,NaN,19.96428571,
,,3.5,24.30948492,-1.335,NaN,20.00375,
,,4.5,24.36490428,-1.34,NaN,20.04285714,
,,5.5,24.58506038,-1.357142857,NaN,20.19857143,
,,6.5,24.78763809,-1.3675,NaN,20.345,
,,7.5,25.01667974,-1.372857143,NaN,20.51428571,
,,8.5,25.16672675,-1.38,NaN,20.62285714,
,,9.5,25.41555766,-1.38,NaN,20.81,
,,10.5,25.69386922,-1.378571429,NaN,21.02,
,,11.5,25.84851406,-1.377142857,NaN,21.13714286,
,,12.5,26.01867233,-1.367142857,NaN,21.27142857,
,,13.5,26.2439084,-1.3525,NaN,21.45,
,,14.5,26.48064605,-1.331428571,NaN,21.64142857,
,,15.5,26.6922164,-1.314285714,NaN,21.81142857,
,,16.5,26.91267288,-1.29625,NaN,21.98875,
,,17.5,27.11118709,-1.271428571,NaN,22.15428571,
,,18.5,27.19533795,-1.265714286,NaN,22.22142857,
,,19.5,27.45576784,-1.25125,NaN,22.42625,
,,20.5,27.64920186,-1.23,NaN,22.58571429,
,,21.5,27.35332118,-1.218571429,NaN,22.37285714,
,,22.5,28.46666581,-1.20375,NaN,23.21375,
,,23.5,29.092289,-1.21,NaN,23.67571429,
,,24.5,29.31046099,-1.154285714,NaN,23.87857143,
,,25.5,29.38881136,-1.17,NaN,23.92571429,
,,26.5,29.49280825,-1.19,NaN,23.98875,
,,27.5,29.69670777,-1.161428571,NaN,24.16142857,
,,28.5,29.82829999,-1.18,NaN,24.24571429,
,,29.5,29.87911174,-1.175,NaN,24.2875,
,,30.5,29.96495918,-1.182857143,NaN,24.34571429,
,,31.5,30.12184475,-1.145714286,NaN,24.49,
,,32.5,30.24645241,-1.0675,NaN,24.64125,
,,33.5,30.32272066,-1.044285714,NaN,24.71571429,
,,34.5,30.47630662,-0.997142857,NaN,24.86571429,
,,35.5,30.54801835,-0.96,NaN,24.9475,
,,36.5,30.65945991,-0.932857143,NaN,25.05142857,
,,37.5,30.85769072,-0.832857143,NaN,25.27571429,
,,38.5,31.03945553,-0.695,NaN,25.5175,
,,39.5,31.02961046,-0.658571429,NaN,25.53857143,
,,40.5,31.17732636,-0.597142857,NaN,25.69714286,
,,41.5,31.2617974,-0.48375,NaN,25.84875,
,,42.5,31.42705394,-0.36,NaN,26.07,
,,43.5,31.53470251,-0.234285714,NaN,26.25,
,,44.5,31.58423101,-0.1775,NaN,26.3325,
,,45.5,31.63163748,-0.134285714,NaN,26.40285714,
,,46.5,31.74521757,-0.075714286,NaN,26.53571429,
,,47.5,31.88879092,0.052857143,NaN,26.74714286,
,,48.5,31.97123738,0.145,NaN,26.88375,
,,49.5,31.98797299,0.182857143,NaN,26.92714286,
,,50.5,32.00842514,0.205714286,NaN,26.96142857,
,,51.5,32.02014012,0.2125,NaN,26.97625,
,,52.5,32.10060866,0.262857143,NaN,27.07857143,
,,53.5,32.15179642,0.325714286,NaN,27.16857143,
,,54.5,32.20449225,0.36375,NaN,27.24,
,,55.5,32.20295636,0.37,NaN,27.24428571,
,,56.5,32.20613635,0.37,NaN,27.24714286,
,,57.5,32.22258175,0.3775,NaN,27.26625,
,,58.5,32.32582177,0.421428571,NaN,27.38142857,
,,59.5,32.35674756,0.472857143,NaN,27.44714286,
,,60.5,32.39669443,0.495,NaN,27.49625,
,,61.5,32.45709566,0.515714286,NaN,27.56,
,,62.5,32.51255247,0.54,NaN,27.62285714,
,,63.5,32.57270567,0.565,NaN,27.69,
,,64.5,32.58038243,0.58,NaN,27.70857143,
,,65.5,32.5872478,0.58,NaN,27.71428571,
,,66.5,32.6729111,0.59125,NaN,27.79,
,,67.5,32.71982264,0.612857143,NaN,27.84428571,
,,68.5,32.72652467,0.62,NaN,27.85571429,
,,69.5,32.7353238,0.6225,NaN,27.865,
,,70.5,32.75362941,0.63,NaN,27.88571429,
,,71.5,32.77198859,0.63875,NaN,27.9075,
,,72.5,32.79937489,0.648571429,NaN,27.93714286,
,,73.5,32.81611783,0.667142857,NaN,27.96571429,
,,74.5,32.81111082,0.68875,NaN,27.98,
,,75.5,32.82028922,0.69,NaN,27.98857143,
,,76.5,32.8314963,0.692857143,NaN,28,
,,77.5,32.84273321,0.7,NaN,28.015,
,,78.5,32.88582089,0.717142857,NaN,28.06285714,
,,79.5,32.91170308,0.735714286,NaN,28.09857143,
,,80.5,32.92581246,0.7525,NaN,28.12375,
,,81.5,32.94226041,0.761428571,NaN,28.14428571,
,,82.5,32.97328201,0.778571429,NaN,28.18285714,
,,83.5,32.98569836,0.79625,NaN,28.2075,
,,84.5,32.98435547,0.8,NaN,28.21,
,,85.5,32.98381439,0.8,NaN,28.21,
,,86.5,32.98645916,0.8,NaN,28.2125,
,,87.5,33.00421288,0.805714286,NaN,28.23142857,
,,88.5,33.01025837,0.818571429,NaN,28.24714286,
,,89.5,33.00841875,0.82625,NaN,28.2525,
,,90.5,33.00886974,0.825714286,NaN,28.25285714,
,,91.5,33.01201013,0.825714286,NaN,28.25571429,
,,92.5,33.01316372,0.82625,NaN,28.2575,
,,93.5,33.02470481,0.83,NaN,28.27,
,,94.5,33.03407254,0.83125,NaN,28.27875,
,,95.5,33.03155346,0.832857143,NaN,28.27857143,
,,96.5,33.03253378,0.831428571,NaN,28.27857143,
,,97.5,33.03265555,0.8325,NaN,28.28,
,,98.5,33.02865727,0.835714286,NaN,28.28,
,,99.5,33.02659763,0.837142857,NaN,28.28,
,,100.5,33.03796355,0.835,NaN,28.2875,
,,101.5,33.04816807,0.84,NaN,28.3,
,,102.5,33.04490804,0.844285714,NaN,28.30142857,
,,103.5,33.04712063,0.8475,NaN,28.30625,
,,104.5,33.04503153,0.85,NaN,28.30714286,
,,105.5,33.04817201,0.85,NaN,28.31,
,,106.5,33.0540342,0.85,NaN,28.315,
,,107.5,33.06517181,0.857142857,NaN,28.33,
,,108.5,33.0717677,0.8625,NaN,28.34,
,,109.5,33.06472739,0.868571429,NaN,28.34,
,,110.5,33.07002391,0.87,NaN,28.34571429,
,,111.5,33.08461808,0.87,NaN,28.3575,
,,112.5,33.08269607,0.874285714,NaN,28.36,
,,113.5,33.08158917,0.88,NaN,28.36428571,
,,114.5,33.08836593,0.88,NaN,28.37,
,,115.5,33.09210186,0.882857143,NaN,28.37571429,
,,116.5,33.1023374,0.89,NaN,28.39,
,,117.5,33.10497714,0.89,NaN,28.3925,
,,118.5,33.09998004,0.892857143,NaN,28.39142857,
,,119.5,33.1108106,0.8925,NaN,28.4,
,,120.5,33.10528935,0.897142857,NaN,28.4,
,,121.5,33.10323005,0.898571429,NaN,28.4,
,,122.5,33.11211028,0.89875,NaN,28.4075,
,,123.5,33.11525586,0.9,NaN,28.41142857,
,,124.5,33.11965741,0.905714286,NaN,28.42,
,,125.5,33.11722821,0.915,NaN,28.42625,
,,126.5,33.11614752,0.92,NaN,28.43,
,,127.5,33.13893675,0.93125,NaN,28.4575,
,,128.5,33.13896833,0.937142857,NaN,28.46285714,
,,129.5,33.15987539,0.942857143,NaN,28.48428571,
,,130.5,33.16999579,0.94875,NaN,28.4975,
,,131.5,33.19276446,0.964285714,NaN,28.52857143,
,,132.5,33.20298444,0.98,NaN,28.55,
,,133.5,33.2200814,0.9875,NaN,28.57,
,,134.5,33.2260058,0.99,NaN,28.57714286,
,,135.5,33.23846918,0.99625,NaN,28.5925,
,,136.5,33.24351551,1,NaN,28.6,
,,137.5,33.2653044,1.018571429,NaN,28.63285714,
,,138.5,33.28386262,1.03625,NaN,28.6625,
,,139.5,33.28584666,1.042857143,NaN,28.67,
,,140.5,33.29324495,1.045714286,NaN,28.67857143,
,,141.5,33.30354167,1.04625,NaN,28.6875,
,,142.5,33.30552311,1.04,NaN,28.68428571,
,,143.5,33.31227301,1.04,NaN,28.69,
,,144.5,33.31475209,1.037142857,NaN,28.69,
,,145.5,33.32185001,1.03,NaN,28.69,
,,146.5,33.33836641,1.035,NaN,28.7075,
,,147.5,33.352739,1.042857143,NaN,28.72571429,
,,148.5,33.35402868,1.04625,NaN,28.73,
,,149.5,33.35708358,1.042857143,NaN,28.73,
,,150.5,33.36571956,1.034285714,NaN,28.73,
,,151.5,33.37240847,1.0275,NaN,28.73,
,,152.5,33.3819986,1.021428571,NaN,28.73285714,
,,153.5,33.41078333,1.021428571,NaN,28.75571429,
