Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,1.0,2.815,2.9856,32.9888,1026.3005,1.89,16.5,42.36,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,2.0,2.958,2.9778,32.7467,1026.0997,2.15,16.033,23.17,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,3.0,3.118,2.9977,32.8247,1026.1529,2.12,18.43,19.24,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,4.0,3.080,2.9835,32.6912,1026.0544,1.82,18.097,16.08,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,5.0,3.139,2.9914,32.7266,1026.0822,1.72,17.958,15.06,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,6.0,3.166,2.9911,32.6944,1026.0589,1.60,18.327,13.72,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,7.0,3.173,2.9912,32.6889,1026.0587,1.73,18.409,11.99,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,8.0,3.174,2.9928,32.7063,1026.0772,1.79,18.736,10.59,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,9.0,3.185,2.9938,32.7075,1026.082,1.54,18.777,9.69,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,10.0,3.181,2.992,32.6881,1026.0715,1.67,18.37,8.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,11.0,3.186,2.9939,32.7057,1026.0899,1.64,17.931,7.02,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,12.0,3.287,3.0089,32.7837,1026.1478,1.35,17.665,6.25,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,13.0,3.398,3.0177,32.7765,1026.1366,1.45,17.772,5.54,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,14.0,3.411,3.0232,32.8286,1026.1817,1.36,18.156,4.74,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,15.0,3.416,3.0227,32.8174,1026.177,1.54,18.168,4.26,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,16.0,3.406,3.0248,32.8522,1026.2104,1.39,17.254,3.74,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,17.0,3.427,3.0268,32.854,1026.2146,1.35,11.832,3.25,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,18.0,3.429,3.0269,32.8532,1026.2186,1.53,15.764,2.89,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,19.0,3.439,3.0293,32.8718,1026.2372,1.34,16.061,2.63,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,20.0,3.476,3.0313,32.8576,1026.2271,1.45,16.145,2.34,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,21.0,3.467,3.034,32.8981,1026.265,1.45,16.439,2.05,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,22.0,3.494,3.0364,32.8987,1026.2677,1.51,14.115,1.83,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,23.0,3.491,3.0383,32.9243,1026.2931,1.33,10.225,1.61,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,24.0,3.530,3.0447,32.9608,1026.3232,1.45,9.762,1.39,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,25.0,3.562,3.0498,32.989,1026.3474,1.30,9.432,1.24,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,26.0,3.598,3.0548,33.0112,1026.3663,1.23,9.32,1.09,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,27.0,3.606,3.056,33.0168,1026.3747,1.30,9.198,0.95,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,28.0,3.624,3.0608,33.0558,1026.4088,1.13,9.008,0.85,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,29.0,3.655,3.0636,33.0563,1026.411,1.06,8.979,0.75,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,30.0,3.662,3.0638,33.0528,1026.4123,1.11,8.81,0.65,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,31.0,3.671,3.0663,33.0721,1026.4315,1.19,8.817,0.58,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,32.0,3.681,3.0668,33.0669,1026.4311,1.14,8.742,0.5,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,33.0,3.684,3.0677,33.074,1026.4412,1.25,8.653,0.43,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,34.0,3.699,3.0721,33.111,1026.4739,1.09,8.446,0.36,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,35.0,3.717,3.0743,33.1183,1026.4826,1.03,8.342,0.29,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,36.0,3.723,3.0749,33.1193,1026.4876,1.01,8.326,0.24,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,37.0,3.731,3.0761,33.1248,1026.4959,1.02,8.197,0.18,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,38.0,3.741,3.0783,33.1398,1026.5115,0.94,8.151,0.12,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,39.0,3.750,3.0788,33.1369,1026.5131,0.85,7.729,0.06,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,40.0,3.752,3.0793,33.1399,1026.52,0.79,7.698,0.02,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,41.0,3.757,3.0803,33.1456,1026.5288,0.78,7.443,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,42.0,3.759,3.0804,33.145,1026.5329,0.76,7.095,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,43.0,3.758,3.0811,33.1536,1026.5445,0.75,7.09,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,44.0,3.757,3.0815,33.1586,1026.5533,0.74,6.851,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,45.0,3.756,3.0816,33.16,1026.5592,0.82,6.353,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,46.0,3.756,3.0821,33.1664,1026.5691,0.79,6.029,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,47.0,3.750,3.0815,33.1643,1026.5728,0.74,5.853,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,48.0,3.744,3.0814,33.1684,1026.5814,0.86,5.438,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,49.0,3.750,3.0838,33.1905,1026.603,0.78,4.643,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,50.0,3.766,3.0869,33.2108,1026.6223,0.77,4.331,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,51.0,3.797,3.0899,33.2145,1026.6269,0.63,4.149,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,52.0,3.828,3.0949,33.2419,1026.6503,0.68,3.963,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,53.0,3.863,3.0977,33.2385,1026.6488,0.58,3.627,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,54.0,3.866,3.1007,33.2707,1026.6789,0.58,3.472,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,55.0,3.872,3.1023,33.2838,1026.6934,0.54,3.422,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,56.0,3.872,3.1035,33.2965,1026.7083,0.57,3.234,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,57.0,3.888,3.1072,33.3243,1026.7334,0.48,3.146,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,58.0,3.922,3.1103,33.3255,1026.7357,0.51,4.708,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,59.0,3.939,3.1124,33.3323,1026.7441,0.45,4.876,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,60.0,3.919,3.1106,33.3312,1026.75,0.46,4.766,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,61.0,3.936,3.1169,33.3875,1026.7977,0.43,4.663,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,62.0,3.986,3.1237,33.4169,1026.8207,0.42,4.474,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,63.0,4.052,3.1306,33.4311,1026.8299,0.41,3.969,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,64.0,4.060,3.1305,33.4209,1026.8258,0.45,3.872,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,65.0,4.001,3.1235,33.3986,1026.8188,0.36,3.456,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,66.0,3.808,3.1119,33.4575,1026.8899,0.35,3.291,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,67.0,3.702,3.1058,33.4928,1026.9332,0.30,2.82,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,68.0,3.624,3.1026,33.5337,1026.9781,0.28,2.86,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,69.0,3.607,3.1042,33.5704,1027.0138,0.28,2.428,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,70.0,3.597,3.1049,33.5886,1027.0339,0.29,2.393,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,71.0,3.561,3.1022,33.5933,1027.0459,0.20,2.358,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,72.0,3.466,3.0967,33.6242,1027.0844,0.19,2.265,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,73.0,3.419,3.0928,33.6247,1027.0941,0.18,2.369,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,74.0,3.340,3.0887,33.6565,1027.1316,0.23,2.264,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,75.0,3.297,3.0846,33.652,1027.137,0.17,2.217,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,76.0,3.217,3.0795,33.6736,1027.1664,0.18,2.203,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,77.0,3.143,3.0757,33.7036,1027.2019,0.13,2.186,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,78.0,3.069,3.0719,33.7351,1027.2386,0.12,2.004,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,79.0,3.043,3.0714,33.755,1027.2616,0.10,1.677,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,80.0,3.042,3.0713,33.7551,1027.2666,0.12,1.589,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,81.0,3.037,3.0709,33.7532,1027.2702,0.11,1.498,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,82.0,3.022,3.0698,33.756,1027.2785,0.11,1.482,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,83.0,3.010,3.069,33.7585,1027.2864,0.11,1.472,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,84.0,2.998,3.068,33.7576,1027.2914,0.10,1.522,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,85.0,2.971,3.0655,33.755,1027.2966,0.10,1.444,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,86.0,2.942,3.0637,33.7632,1027.3105,0.10,1.404,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,87.0,2.911,3.0618,33.7714,1027.3246,0.09,1.459,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,88.0,2.882,3.0605,33.7854,1027.3431,0.11,1.418,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,89.0,2.876,3.0601,33.7867,1027.3494,0.10,1.39,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,90.0,2.871,3.0597,33.7866,1027.3545,0.11,1.386,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,91.0,2.860,3.0588,33.7865,1027.3602,0.10,1.305,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,92.0,2.841,3.0574,33.7881,1027.3679,0.10,1.284,0.0,Seabird SBE19plus
2020-09-26,44100,69° 11.1 N,53° 31.1 W,Fast station,93.0,2.820,3.056,33.7925,1027.378,0.10,1.284,0.0,Seabird SBE19plus
