Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,3.0,-1.66,2.648835,33.4215,1026.9086,0.06,0.191,115.32,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,4.0,-1.6654,2.64821,33.4184,1026.9112,0.06,0.168,107.99,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,5.0,-1.6672,2.648106,33.4183,1026.916,0.07,0.168,97.19,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,6.0,-1.6661,2.648283,33.4189,1026.9214,0.06,0.176,87.59,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,7.0,-1.6633,2.648509,33.4183,1026.9257,0.06,0.161,78.69,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,8.0,-1.6611,2.648775,33.4189,1026.931,0.07,0.175,70.78,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,9.0,-1.6612,2.648766,33.4182,1026.9353,0.07,0.155,63.72,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,10.0,-1.6621,2.648751,33.4184,1026.9404,0.06,0.182,57.56,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,11.0,-1.6619,2.648818,33.4184,1026.9452,0.07,0.162,52.08,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,12.0,-1.662,2.648872,33.4187,1026.9504,0.07,0.162,47.26,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,13.0,-1.6616,2.648938,33.4185,1026.9551,0.07,0.167,42.95,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,14.0,-1.6619,2.648968,33.4186,1026.9601,0.07,0.166,39.22,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,15.0,-1.6622,2.64898,33.4185,1026.9648,0.07,0.161,35.75,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,16.0,-1.6622,2.649026,33.4185,1026.9697,0.07,0.148,32.74,Seabird SBE19plus
2018-02-27,43158,69° 13.81 N,53° 54.51 W,Vinter station,17.0,-1.6614,2.649171,33.419,1026.975,0.07,0.166,29.83,Seabird SBE19plus
