Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,1.0,5.570,3.0388,30.9321,1024.3941,0.70,1.674,36.68,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,2.0,5.200,3.0337,31.2166,1024.665,0.70,0.661,17.98,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,3.0,5.177,3.0252,31.1425,1024.6136,0.66,0.957,11.74,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,4.0,5.236,3.0522,31.3934,1024.8103,0.70,0.841,10.87,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,5.0,4.922,3.0523,31.6915,1025.0852,0.78,0.82,9.44,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,6.0,4.861,3.0475,31.6938,1025.0983,0.80,0.8,7.99,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,7.0,4.767,3.0436,31.7376,1025.1476,0.92,0.819,6.88,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,8.0,4.605,3.0284,31.7166,1025.1526,0.84,0.796,5.91,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,9.0,4.463,3.0234,31.7944,1025.2336,0.72,0.803,5.03,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,10.0,4.346,3.0191,31.8572,1025.3001,0.81,0.805,4.33,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,11.0,3.918,2.977,31.7792,1025.2846,0.74,0.611,3.55,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,12.0,3.010,2.9588,32.458,1025.9127,0.87,0.581,2.96,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,13.0,2.900,2.9537,32.5072,1025.9659,0.90,0.567,2.45,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,14.0,2.759,2.9517,32.6255,1026.0769,0.81,0.594,2.04,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,15.0,2.710,2.948,32.6296,1026.089,1.01,0.578,1.46,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,16.0,2.572,2.9386,32.6554,1026.1256,1.04,0.61,1.2,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,17.0,2.466,2.9281,32.6325,1026.1207,0.76,0.576,0.98,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,18.0,2.335,2.9179,32.6413,1026.1428,0.96,0.58,0.7,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,19.0,1.969,2.9251,33.1089,1026.5497,2.33,0.489,0.38,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,20.0,1.942,2.9225,33.1055,1026.5538,2.74,0.476,0.1,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,21.0,1.812,2.914,33.1333,1026.5904,1.77,0.427,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,22.0,1.752,2.9126,33.1795,1026.6366,1.55,0.394,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,23.0,1.732,2.9092,33.1564,1026.6243,1.52,0.38,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,24.0,1.601,2.895,33.1144,1026.6047,1.53,0.395,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,25.0,1.424,2.888,33.2124,1026.7003,1.55,0.369,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,26.0,1.325,2.8806,33.2238,1026.721,1.29,0.39,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,27.0,1.344,2.8836,33.2401,1026.7376,1.42,0.356,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,28.0,1.330,2.8818,33.2325,1026.7372,1.40,0.332,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,29.0,1.311,2.8813,33.2451,1026.7533,0.82,0.337,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,30.0,1.309,2.8795,33.224,1026.7413,0.68,0.314,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,31.0,1.226,2.8744,33.2464,1026.7696,0.61,0.337,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,32.0,1.150,2.8679,33.2426,1026.7763,1.07,0.289,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,33.0,1.086,2.8658,33.284,1026.8184,0.52,0.328,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,34.0,1.059,2.8594,33.2308,1026.7822,0.54,0.35,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,35.0,0.881,2.8424,33.2022,1026.7751,0.54,0.341,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,36.0,0.611,2.8343,33.3875,1026.9452,0.29,0.42,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,37.0,0.582,2.8309,33.3739,1026.9407,0.25,0.372,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,38.0,0.536,2.828,33.3842,1026.9565,0.24,0.353,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,39.0,0.520,2.8272,33.3899,1026.9668,0.24,0.322,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,40.0,0.485,2.8247,33.3959,1026.9785,0.24,0.387,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,41.0,0.449,2.8228,33.4083,1026.9953,0.17,0.321,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,42.0,0.447,2.8228,33.4111,1027.0024,0.19,0.395,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,43.0,0.438,2.8225,33.4159,1027.0116,0.21,0.375,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,44.0,0.428,2.8218,33.418,1027.0187,0.18,0.339,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,45.0,0.427,2.8219,33.4186,1027.0241,0.18,0.362,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,46.0,0.427,2.8219,33.4187,1027.0289,0.19,0.349,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,47.0,0.427,2.822,33.419,1027.034,0.20,0.36,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,48.0,0.430,2.8221,33.4163,1027.0365,0.20,0.377,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,49.0,0.427,2.8216,33.4128,1027.0386,0.19,0.366,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,50.0,0.424,2.8221,33.421,1027.0502,0.20,0.345,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,51.0,0.421,2.8219,33.4216,1027.0557,0.19,0.344,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,52.0,0.401,2.8204,33.4231,1027.0628,0.18,0.332,0.0,Seabird SBE19plus
2018-08-08,43320,69° 11.1 N,53° 31.1 W,Fast station,53.0,0.392,2.82,33.4269,1027.0711,0.19,0.302,0.0,Seabird SBE19plus
