Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,50.0,-1.291,2.6905,33.5522,1027.2328,0.41,0.121,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,51.0,-1.232,2.6936,33.5279,1027.2159,0.34,0.109,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,52.0,-1.207,2.6957,33.5279,1027.22,0.32,0.112,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,53.0,-1.193,2.6969,33.5291,1027.2254,0.31,0.122,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,54.0,-1.178,2.698,33.5261,1027.2273,0.31,0.127,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,55.0,-1.169,2.6986,33.5231,1027.2294,0.33,0.115,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,56.0,-1.156,2.7007,33.5377,1027.2456,0.32,0.109,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,57.0,-1.139,2.7014,33.5269,1027.2412,0.33,0.124,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,58.0,-1.124,2.7032,33.5334,1027.2507,0.32,0.138,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,59.0,-1.111,2.7041,33.5317,1027.2538,0.35,0.111,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,60.0,-1.095,2.7059,33.5371,1027.2624,0.34,0.111,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,61.0,-1.061,2.7094,33.5465,1027.2736,0.29,0.134,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,62.0,-1.037,2.7132,33.5704,1027.2969,0.26,0.089,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,64.0,-0.818,2.7322,33.5829,1027.3084,0.27,0.105,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,65.0,-0.788,2.7332,33.5622,1027.2953,0.28,0.145,0.0,Seabird SBE19plus
2018-04-09,43199,69° 14.81 N,53° 29.55 W,Vinter station,66.0,-0.787,2.734,33.5717,1027.3077,0.27,0.135,0.0,Seabird SBE19plus
