Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,1.0,7.161,3.3097,32.4498,1025.3935,0.16,4.282,403.83,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,2.0,7.035,3.3156,32.6317,1025.5584,0.13,1.283,255.29,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,3.0,6.901,3.3023,32.612,1025.5654,0.14,0.452,197.38,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,4.0,7.151,3.3184,32.5499,1025.4875,0.20,0.636,139.25,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,5.0,7.057,3.3138,32.589,1025.5358,0.23,0.378,95.48,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,6.0,7.046,3.3131,32.5911,1025.5435,0.25,0.428,73.95,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,7.0,6.968,3.2969,32.487,1025.4766,0.29,0.419,66.13,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,8.0,6.153,3.2097,32.2969,1025.4352,0.31,0.484,55.45,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,9.0,5.009,3.1553,32.7897,1025.9637,0.33,0.411,45.78,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,10.0,4.561,3.145,33.114,1026.2754,0.39,0.414,40.55,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,11.0,4.598,3.1627,33.2819,1026.4093,0.48,0.358,33.14,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,12.0,4.549,3.1334,32.9895,1026.1871,0.42,0.397,29.95,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,13.0,3.902,3.0828,33.0445,1026.3014,0.46,0.41,23.65,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,14.0,3.235,3.0348,33.1474,1026.4518,0.54,0.418,20.26,Seabird SBE19plus
2020-08-02,44045,69° 11.1 N,53° 31.1 W,Fast station,15.0,2.832,3.0053,33.2046,1026.5377,1.02,0.423,16.34,Seabird SBE19plus
