Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,1.0,0.469,2.8305,33.5104,1026.8837,0.68,0.581,289.61,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,2.0,0.377,2.8118,33.3672,1026.7784,0.73,0.55,211.47,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,3.0,0.356,2.8103,33.3688,1026.7857,0.60,0.651,79.22,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,4.0,0.356,2.8104,33.3695,1026.791,0.92,0.6,54.77,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,5.0,0.359,2.8107,33.3701,1026.7962,0.76,0.651,43.8,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,6.0,0.366,2.8112,33.369,1026.7997,0.91,0.618,37.52,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,7.0,0.356,2.81,33.3625,1026.7998,1.01,0.562,33.0,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,8.0,0.319,2.8072,33.3661,1026.8095,1.46,0.663,29.0,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,9.0,0.294,2.8052,33.3662,1026.8157,1.96,0.66,25.87,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,10.0,0.227,2.7995,33.364,1026.8223,2.99,0.656,23.31,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,11.0,0.168,2.7952,33.3711,1026.8359,4.33,0.735,20.8,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,12.0,0.116,2.7919,33.3836,1026.8535,4.93,0.679,17.67,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,13.0,0.072,2.7879,33.3779,1026.8559,6.70,0.624,14.97,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,14.0,0.009,2.7827,33.3774,1026.8635,7.47,0.709,12.53,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,15.0,-0.092,2.7728,33.3559,1026.8558,8.30,0.681,10.12,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,16.0,-0.293,2.7596,33.4001,1026.9058,8.72,0.791,7.92,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,17.0,-0.335,2.758,33.424,1026.9318,8.36,0.64,6.33,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,18.0,-0.320,2.7597,33.4303,1026.9411,9.44,0.647,5.02,Seabird SBE19plus
2018-05-30,43247,69° 11.1 N,53° 31.1 W,Fast station,19.0,-0.307,2.7611,33.4337,1026.9481,9.58,0.61,3.88,Seabird SBE19plus
