Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,28.0,1.906,2.9805,33.8652,1027.2032,,4.593,10.34,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,30.0,1.512,2.9444,33.8319,1027.2152,,5.718,8.58,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,32.0,1.275,2.9211,33.7894,1027.2071,,4.768,7.12,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,33.0,1.199,2.917,33.8194,1027.2412,,4.235,6.48,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,34.0,1.104,2.9077,33.8023,1027.2386,,6.636,5.94,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,35.0,1.011,2.903,33.8425,1027.2818,,8.575,5.37,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,39.0,0.795,2.8822,33.8063,1027.2855,,5.276,3.55,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,65.0,-0.500,2.7503,33.4731,1027.211,,5.053,0.29,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,66.0,-0.446,2.7536,33.4574,1027.2007,,4.257,0.26,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,67.0,-0.425,2.7563,33.4702,1027.2149,,4.556,0.24,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,68.0,-0.396,2.7582,33.463,1027.2127,,6.649,0.22,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,69.0,-0.388,2.7585,33.4573,1027.2125,,4.079,0.2,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,70.0,-0.398,2.7581,33.463,1027.2224,,4.067,0.18,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,71.0,-0.408,2.7578,33.4686,1027.2323,,6.794,0.17,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,72.0,-0.407,2.7593,33.4871,1027.2519,,3.936,0.15,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,73.0,-0.394,2.7607,33.4905,1027.259,,2.555,0.13,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,74.0,-0.375,2.7632,33.5035,1027.2734,,4.41,0.12,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,75.0,-0.334,2.7663,33.4978,1027.2717,,3.171,0.11,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,76.0,-0.319,2.7674,33.4958,1027.2743,,3.706,0.1,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,77.0,-0.309,2.7687,33.5014,1027.2831,,3.25,0.09,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,78.0,-0.292,2.7703,33.5043,1027.2894,,2.789,0.08,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,79.0,-0.254,2.7745,33.5167,1027.3025,,2.693,0.07,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,80.0,-0.235,2.7753,33.5057,1027.2975,,2.753,0.06,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,81.0,-0.232,2.7755,33.5059,1027.3024,,3.554,0.06,Seabird SBE19plus
2022-06-13,44725,69° 11.1 N,53° 31.1 W,Fast station,82.0,-0.229,2.7759,33.5064,1027.3074,,3.333,0.06,Seabird SBE19plus
