Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,1.0,-1.241,2.8409,35.6104,1028.6647,0.08,2.586,70.24,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,2.0,-2.026,2.4974,31.7373,1025.5462,0.11,-1.718,52.11,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,3.0,-1.694,2.6452,33.4094,1026.8997,0.10,0.142,30.73,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,4.0,-1.686,2.646,33.4114,1026.906,0.10,0.127,28.01,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,5.0,-1.684,2.6462,33.4112,1026.9107,0.11,0.132,25.81,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,6.0,-1.684,2.6462,33.4109,1026.9153,0.11,0.133,24.38,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,7.0,-1.680,2.6464,33.4081,1026.9178,0.11,0.141,21.47,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,8.0,-1.679,2.6469,33.4134,1026.927,0.11,0.145,18.9,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,9.0,-1.676,2.6472,33.4135,1026.9319,0.11,0.127,17.39,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,10.0,-1.676,2.6473,33.4137,1026.9369,0.11,0.135,15.74,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,11.0,-1.675,2.6475,33.4144,1026.9424,0.12,0.162,14.38,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,12.0,-1.676,2.6475,33.4146,1026.9473,0.12,0.14,13.4,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,13.0,-1.671,2.648,33.4166,1026.9538,0.11,0.135,12.81,Seabird SBE19plus
2018-03-07,43166,69° 13.81 N,53° 31.25 W,Halvvejs,14.0,-1.671,2.648,33.4162,1026.9583,0.11,0.134,12.2,Seabird SBE19plus
