Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,1.0,-1.472,2.6761,33.5843,1027.0249,1.64,0.292,165.96,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,2.0,-1.644,2.6479,33.3908,1026.8784,1.62,0.281,39.62,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,3.0,-1.636,2.6482,33.3864,1026.8795,1.63,0.239,15.98,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,4.0,-1.628,2.6488,33.3848,1026.8829,1.67,0.218,9.47,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,5.0,-1.626,2.6491,33.3848,1026.8878,1.75,0.231,6.63,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,6.0,-1.625,2.6492,33.3854,1026.8931,1.77,0.243,5.42,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,7.0,-1.625,2.6493,33.386,1026.8985,1.79,0.244,4.6,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,8.0,-1.619,2.6499,33.3877,1026.9045,1.98,0.236,3.86,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,9.0,-1.616,2.6503,33.3879,1026.9095,1.78,0.245,3.13,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,10.0,-1.607,2.6512,33.3893,1026.9153,1.73,0.234,2.71,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,11.0,-1.603,2.6515,33.3896,1026.9203,1.68,0.233,2.37,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,12.0,-1.592,2.6528,33.3951,1026.9294,1.67,0.22,2.09,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,13.0,-1.571,2.655,33.4013,1026.9387,1.53,0.205,1.82,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,14.0,-1.545,2.6577,33.4079,1026.9482,1.28,0.205,1.58,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,15.0,-1.538,2.6585,33.4101,1026.9546,1.15,0.209,1.37,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,16.0,-1.531,2.6593,33.413,1026.9617,1.04,0.205,1.23,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,17.0,-1.529,2.6596,33.4134,1026.9668,0.97,0.186,1.11,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,18.0,-1.532,2.6592,33.4123,1026.9709,0.94,0.196,1.0,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,19.0,-1.539,2.6589,33.4143,1026.9776,0.88,0.215,0.88,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,20.0,-1.546,2.6581,33.4098,1026.979,0.85,0.201,0.77,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,21.0,-1.568,2.6567,33.4156,1026.9892,0.70,0.198,0.68,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,22.0,-1.570,2.6567,33.4177,1026.9958,0.62,0.207,0.6,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,23.0,-1.569,2.6569,33.4184,1027.0013,0.59,0.181,0.54,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,24.0,-1.568,2.6571,33.4192,1027.0067,0.58,0.191,0.48,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,25.0,-1.565,2.6574,33.4194,1027.0117,0.63,0.183,0.42,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,26.0,-1.563,2.6578,33.422,1027.0186,0.60,0.187,0.37,Seabird SBE19plus
2018-04-13,43203,69° 14.81 N,53° 29.55 W,Vinter station,27.0,-1.560,2.6582,33.4232,1027.0244,0.60,0.187,0.33,Seabird SBE19plus
