Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,1.0,4.7614,2.969048,31.0189,1024.5531,0.90,1.883,33.54,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,2.0,4.4432,3.094145,32.5652,1025.8125,0.94,-0.141,17.31,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,3.0,4.5388,3.046972,31.9985,1025.3595,0.90,0.505,17.02,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,4.0,4.5376,3.046863,31.9979,1025.3639,1.00,0.535,14.13,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,5.0,4.537,3.046878,31.9982,1025.3689,1.01,0.514,12.09,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,6.0,4.5365,3.046852,31.9978,1025.3733,1.07,0.543,10.37,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,7.0,4.5348,3.046942,32.0,1025.38,1.07,0.521,9.44,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,8.0,4.5353,3.047235,32.0024,1025.3866,1.13,0.526,8.19,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,9.0,4.5326,3.047388,32.0062,1025.3946,1.13,0.546,7.5,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,10.0,4.5284,3.046915,32.0043,1025.3982,1.15,0.548,6.7,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,11.0,4.5172,3.046932,32.0149,1025.4124,1.16,0.631,5.95,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,12.0,4.5153,3.047032,32.0173,1025.4193,1.14,0.719,5.34,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,13.0,4.5139,3.054543,32.1055,1025.4942,1.15,0.939,4.73,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,14.0,4.378,3.060217,32.3037,1025.6701,0.93,1.142,4.1,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,15.0,3.8813,3.043799,32.6019,1025.9613,0.84,1.218,3.53,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,16.0,3.7002,3.057387,32.944,1026.2558,0.69,0.911,2.96,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,17.0,3.5591,3.045566,32.9454,1026.2751,0.60,1.021,2.56,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,18.0,3.3823,3.034224,32.9884,1026.3305,0.54,1.42,2.22,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,19.0,3.1809,3.025199,33.0847,1026.4305,0.47,1.66,1.85,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,20.0,3.203,3.02673,33.0801,1026.4295,0.47,1.59,1.56,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,21.0,3.0979,3.021139,33.1196,1026.4752,0.41,1.643,1.26,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,22.0,3.0743,3.023853,33.1764,1026.5273,0.35,1.486,1.02,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,23.0,3.1188,3.030021,33.2047,1026.5507,0.32,1.479,0.84,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,24.0,3.0729,3.027717,33.2235,1026.5746,0.31,1.284,0.68,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,25.0,3.0888,3.033209,33.2732,1026.6174,0.31,0.989,0.51,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,26.0,3.2003,3.045651,33.3084,1026.6402,0.31,0.582,0.43,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,27.0,3.1628,3.038628,33.2615,1026.6109,0.26,0.62,0.36,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,28.0,3.2234,3.047817,33.3096,1026.6485,0.35,0.417,0.29,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,29.0,3.2632,3.052733,33.3274,1026.6638,0.36,0.36,0.24,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,30.0,3.3068,3.057009,33.3336,1026.6694,0.37,0.293,0.2,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,31.0,3.3259,3.057903,33.3241,1026.6648,0.33,0.257,0.16,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,32.0,3.2711,3.053529,33.3273,1026.6771,0.29,0.26,0.13,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,33.0,3.2072,3.048934,33.3372,1026.6956,0.26,0.226,0.11,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,34.0,3.1738,3.045152,33.3253,1026.6939,0.26,0.224,0.07,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,35.0,3.0809,3.038735,33.3429,1026.7212,0.22,0.235,0.06,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,36.0,3.0981,3.04392,33.3875,1026.7599,0.22,0.224,0.04,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,37.0,3.1088,3.044599,33.3841,1026.761,0.22,0.214,0.02,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,38.0,3.1179,3.045826,33.389,1026.7688,0.21,0.226,0.01,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,39.0,3.1175,3.044942,33.3782,1026.7649,0.19,0.204,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,40.0,3.0791,3.042368,33.3861,1026.7794,0.18,0.216,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,41.0,3.0431,3.037088,33.3587,1026.7656,0.18,0.224,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,42.0,2.9686,3.032499,33.3796,1026.7936,0.18,0.208,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,43.0,2.9073,3.021291,33.306,1026.7451,0.17,0.19,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,44.0,2.7862,3.017574,33.3859,1026.8241,0.18,0.206,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,45.0,2.7694,3.015039,33.3718,1026.8191,0.17,0.187,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,46.0,2.7346,3.013442,33.3879,1026.8397,0.16,0.202,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,47.0,2.7097,3.011706,33.392,1026.8499,0.18,0.25,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,48.0,2.7056,3.011853,33.3976,1026.8594,0.14,0.189,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,49.0,2.6924,3.010239,33.391,1026.86,0.16,0.179,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,50.0,2.6738,3.009056,33.3952,1026.8697,0.16,0.2,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,51.0,2.6646,3.009299,33.4072,1026.8849,0.14,0.276,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,52.0,2.7133,3.015628,33.4336,1026.9065,0.14,0.188,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,53.0,2.7569,3.021615,33.4609,1026.9293,0.14,0.198,0.0,Seabird SBE19plus
2022-09-09,44813,69° 11.1 N,53° 31.1 W,Fast station,54.0,2.8452,3.030008,33.4708,1026.9342,0.14,0.225,0.0,Seabird SBE19plus
