Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,95.0,1.485,2.9131,33.4254,1027.2016,0.08,0.108,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,96.0,1.484,2.9132,33.4273,1027.208,0.07,0.104,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,97.0,1.479,2.9133,33.4343,1027.2187,0.07,0.167,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,98.0,1.476,2.9135,33.4387,1027.2272,0.08,0.132,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,99.0,1.467,2.9137,33.4504,1027.242,0.08,0.104,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,100.0,1.455,2.9137,33.4628,1027.2576,0.07,0.119,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,101.0,1.452,2.9142,33.4719,1027.2699,0.07,0.139,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,102.0,1.456,2.9149,33.476,1027.2777,0.07,0.132,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,103.0,1.459,2.9153,33.4769,1027.2828,0.07,0.12,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,104.0,1.462,2.9158,33.4802,1027.2902,0.08,0.085,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,105.0,1.466,2.9166,33.4848,1027.2983,0.06,0.083,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,106.0,1.465,2.9163,33.4813,1027.3004,0.07,0.104,0.0,Seabird SBE19plus
2018-11-14,43418,69° 11.1 N,53° 31.1 W,Fast station,107.0,1.420,2.9127,33.4828,1027.3095,0.08,0.117,0.0,Seabird SBE19plus
