=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 54
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-10-11 13:29:00 UTC
latitude:  69.1033707
longitude: -51.9678447
ttf:       0
nsat:      6
min snr:   34
mean snr:  40
max snr:   45
hdop:      1.3

fix kind:  DiveEnd
fix time:  2021-10-16 16:05:00 UTC
latitude:  69.1033078
longitude: -51.9670933
ttf:       40
nsat:      6
min snr:   0
mean snr:  31
max snr:   45
hdop:      5.3

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1633958976 │          0.1200 │ descent start ║
║ 1633959321 │         10.1600 │       descent ║
║ 1633959388 │         20.0400 │       descent ║
║ 1633959461 │         30.2400 │       descent ║
║ 1633959535 │         40.0400 │       descent ║
║ 1633959621 │         50.0400 │       descent ║
║ 1633959624 │         50.4000 │  descent pump ║
║ 1633959709 │         60.0800 │       descent ║
║ 1633959798 │         70.0000 │       descent ║
║ 1633959888 │         80.0400 │       descent ║
║ 1633959978 │         90.0400 │       descent ║
║ 1633960072 │        100.0800 │       descent ║
║ 1633960167 │        110.0800 │       descent ║
║ 1633960265 │        120.0400 │       descent ║
║ 1633960362 │        130.0400 │       descent ║
║ 1633960458 │        140.0800 │       descent ║
║ 1633960552 │        150.0400 │       descent ║
║ 1633960650 │        160.0000 │       descent ║
║ 1633960749 │        170.0400 │       descent ║
║ 1633960850 │        180.0400 │       descent ║
║ 1633960953 │        190.0000 │       descent ║
║ 1633961060 │        200.0400 │       descent ║
║ 1633961166 │        210.0800 │       descent ║
║ 1633961268 │        220.0400 │       descent ║
║ 1633961369 │        230.0800 │       descent ║
║ 1633961430 │        236.0800 │  descent seek ║
║ 1633961779 │        271.7200 │       descent ║
║ 1633961877 │        281.0400 │       descent ║
║ 1633961979 │        291.0400 │       descent ║
║ 1633962083 │        301.0400 │       descent ║
║ 1633962187 │        311.0800 │       descent ║
║ 1633962287 │        321.0800 │       descent ║
║ 1633962385 │        331.0400 │       descent ║
║ 1633962485 │        341.0400 │       descent ║
║ 1633962586 │        351.0000 │       descent ║
║ 1633962688 │        361.0000 │       descent ║
║ 1633962791 │        371.0400 │       descent ║
║ 1633962894 │        381.0400 │       descent ║
