Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,1.0,0.196,2.7901,33.2787,1026.7115,0.35,0.478,262.71,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,2.0,0.057,2.7715,33.1849,1026.6479,0.34,0.396,61.22,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,3.0,0.084,2.7752,33.2039,1026.6667,0.29,0.413,78.12,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,4.0,0.082,2.7751,33.2033,1026.6711,0.36,0.371,63.91,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,5.0,0.080,2.7751,33.2053,1026.6777,0.42,0.367,55.9,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,6.0,0.077,2.775,33.2067,1026.6838,0.33,0.402,48.58,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,7.0,0.077,2.775,33.2065,1026.6885,0.29,0.37,43.59,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,8.0,0.076,2.7751,33.2073,1026.694,0.44,0.377,38.67,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,9.0,0.076,2.7751,33.207,1026.6985,0.41,0.379,34.79,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,10.0,0.074,2.7752,33.209,1026.705,0.58,0.393,30.58,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,11.0,0.074,2.7752,33.2094,1026.7103,0.52,0.389,27.34,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,12.0,0.074,2.7755,33.2128,1026.7178,0.54,0.372,24.35,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,13.0,0.074,2.7756,33.2128,1026.7226,0.58,0.413,21.71,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,14.0,0.075,2.7757,33.2141,1026.7285,0.88,0.387,19.18,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,15.0,0.074,2.7758,33.2145,1026.7337,0.85,0.38,17.16,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,16.0,0.074,2.7759,33.2156,1026.7394,0.88,0.395,15.26,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,17.0,0.074,2.7761,33.2175,1026.7457,0.85,0.483,13.57,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,18.0,0.074,2.7764,33.221,1026.7533,1.23,0.365,12.06,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,19.0,0.078,2.7771,33.2259,1026.762,1.38,0.407,10.88,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,20.0,0.073,2.7779,33.2406,1026.7789,1.11,0.427,9.76,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,21.0,0.063,2.7777,33.2488,1026.7908,1.44,0.36,8.75,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,22.0,0.036,2.7766,33.2631,1026.8086,1.40,0.356,7.82,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,23.0,0.024,2.7756,33.2616,1026.8127,2.10,0.387,7.04,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,24.0,-0.026,2.7732,33.284,1026.8381,1.54,0.459,6.3,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,25.0,-0.098,2.7697,33.3153,1026.8717,2.55,0.438,5.58,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,26.0,-0.128,2.7678,33.3231,1026.8843,4.07,0.425,4.92,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,27.0,-0.184,2.7639,33.3315,1026.8985,4.36,0.485,4.33,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,28.0,-0.231,2.762,33.3566,1026.9258,5.26,0.492,3.73,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,29.0,-0.241,2.7623,33.3708,1026.9426,5.26,0.525,3.21,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,30.0,-0.241,2.7631,33.382,1026.9565,4.57,0.504,2.77,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,31.0,-0.236,2.7641,33.3882,1026.9661,6.12,0.502,2.39,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,32.0,-0.233,2.7645,33.3893,1026.9717,4.40,0.484,2.07,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,33.0,-0.220,2.7664,33.4005,1026.9849,6.50,0.506,1.83,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,34.0,-0.198,2.7702,33.4258,1027.0091,5.48,0.493,1.62,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,35.0,-0.174,2.7719,33.4219,1027.0097,5.80,0.546,1.44,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,36.0,-0.160,2.7747,33.4437,1027.0314,7.70,0.498,1.29,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,37.0,-0.135,2.7762,33.4345,1027.0276,6.27,0.491,1.18,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,38.0,-0.118,2.7805,33.4732,1027.0629,5.52,0.462,1.09,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,39.0,-0.093,2.7818,33.4625,1027.0578,4.49,0.406,1.04,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,40.0,-0.089,2.7828,33.4699,1027.0685,5.58,0.46,0.99,Seabird SBE19plus
2018-05-27,43247,69° 11.1 N,53° 31.1 W,Fast station,41.0,-0.088,2.7836,33.4789,1027.0805,5.20,0.468,0.94,Seabird SBE19plus
