Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,1.0,5.837,3.1619,32.0663,1025.2592,0.58,0.503,65.67,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,2.0,5.640,3.1385,31.9895,1025.2266,0.69,0.492,51.16,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,3.0,5.502,3.129,32.0131,1025.2659,0.61,0.512,43.96,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,4.0,5.147,3.1093,32.1293,1025.4026,0.69,0.523,36.62,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,5.0,4.784,3.1019,32.3957,1025.6581,0.99,0.496,31.77,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,6.0,4.164,3.0536,32.4412,1025.763,1.62,0.574,27.11,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,7.0,3.844,3.0457,32.6659,1025.9781,1.66,0.553,23.64,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,8.0,3.637,3.0282,32.6645,1026.0015,1.34,0.46,20.57,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,9.0,3.414,3.0184,32.7707,1026.1116,2.04,0.541,17.86,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,10.0,3.478,3.0292,32.8347,1026.1614,2.93,0.512,15.34,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,11.0,3.437,3.024,32.8137,1026.1532,2.35,0.471,13.07,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,12.0,3.302,3.0126,32.8132,1026.1699,2.54,0.502,11.05,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,13.0,3.197,3.008,32.8646,1026.2251,2.58,0.501,9.35,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,14.0,3.123,3.0044,32.8951,1026.2607,3.21,0.458,7.92,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,15.0,3.044,2.9972,32.8878,1026.2666,2.59,0.514,6.66,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,16.0,2.920,2.9872,32.8928,1026.2861,2.42,0.545,5.6,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,17.0,2.739,2.976,32.9409,1026.3447,1.36,0.468,4.73,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,18.0,2.697,2.9733,32.9499,1026.3601,1.43,0.411,4.07,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,19.0,2.686,2.9738,32.9674,1026.3798,1.37,0.392,3.52,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,20.0,2.666,2.9722,32.9682,1026.3868,1.14,0.387,3.04,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,21.0,2.606,2.9696,32.997,1026.4196,0.98,0.358,2.59,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,22.0,2.488,2.9628,33.0344,1026.4639,0.87,0.373,2.21,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,23.0,2.464,2.9592,33.0151,1026.4552,0.74,0.4,1.91,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,24.0,2.465,2.9633,33.0641,1026.499,0.86,0.376,1.6,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,25.0,2.460,2.9637,33.0733,1026.5116,0.78,0.334,1.33,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,26.0,2.371,2.9581,33.0959,1026.5415,0.70,0.305,1.08,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,27.0,2.239,2.9437,33.0542,1026.5234,0.62,0.333,0.87,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,28.0,2.122,2.9395,33.1245,1026.5935,0.60,0.337,0.68,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,29.0,2.119,2.9412,33.1475,1026.6169,0.59,0.298,0.5,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,30.0,2.025,2.9302,33.1086,1026.5977,0.59,0.285,0.34,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,31.0,1.936,2.93,33.1991,1026.6817,0.53,0.311,0.2,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,32.0,2.082,2.9535,33.3374,1026.786,0.54,0.242,0.07,Seabird SBE19plus
2018-08-20,43332,69° 11.1 N,53° 31.1 W,Fast station,33.0,2.233,2.9584,33.2406,1026.7016,0.57,0.199,0.0,Seabird SBE19plus
