MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP,DEPTH
LGR_CP_PTSCI,20201109T203134,233.63824,2.46536,34.01096,30.49424,2.50226,231.15309077591294
LGR_CP_PTSCI,20201109T205700,231.02161,2.47217,33.99714,30.48773,2.50330,228.56573927701228
LGR_CP_PTSCI,20201109T205730,228.97885,2.47961,33.98900,30.48664,2.49084,226.54581380572856
LGR_CP_PTSCI,20201109T205757,226.99197,2.48160,33.98221,30.48196,2.48984,224.5811245833217
LGR_CP_PTSCI,20201109T205821,224.98373,2.47537,33.96918,30.46514,2.48944,222.59529477299026
LGR_CP_PTSCI,20201109T205844,222.97607,2.47147,33.96523,30.45767,2.48752,220.61001924473288
LGR_CP_PTSCI,20201109T205907,220.96472,2.47083,33.96450,30.45564,2.51031,218.62107556111476
LGR_CP_PTSCI,20201109T205930,219.00262,2.47153,33.96392,30.45488,2.49496,216.68081462312395
LGR_CP_PTSCI,20201109T205952,217.03375,2.47162,33.96259,30.45300,2.50461,214.73384056024628
LGR_CP_PTSCI,20201109T210015,215.02451,2.47083,33.96183,30.45081,2.48184,212.7469263706537
LGR_CP_PTSCI,20201109T210038,213.00797,2.44604,33.95196,30.42059,2.50272,210.7527739112392
LGR_CP_PTSCI,20201109T210101,210.98212,2.43503,33.94440,30.40409,2.49515,208.7493952557055
LGR_CP_PTSCI,20201109T210124,208.99930,2.42972,33.93953,30.39468,2.47614,206.78855031682735
LGR_CP_PTSCI,20201109T210147,207.03381,2.42450,33.93645,30.38684,2.48801,204.84482478079602
LGR_CP_PTSCI,20201109T210211,205.02591,2.42114,33.93373,30.38084,2.52515,202.8591398087375
LGR_CP_PTSCI,20201109T210236,202.98425,2.41846,33.93203,30.37624,2.44174,200.84004860318902
LGR_CP_PTSCI,20201109T210302,200.97702,2.41602,33.92992,30.37154,2.46027,198.8549873908606
LGR_CP_PTSCI,20201109T210328,199.00378,2.41425,33.92865,30.36811,2.49557,196.90352201436409
LGR_CP_PTSCI,20201109T210354,197.02103,2.41388,33.92808,30.36644,2.46170,194.94263284200528
LGR_CP_PTSCI,20201109T210421,195.00165,2.41302,33.92729,30.36416,2.49738,192.94549822575334
LGR_CP_PTSCI,20201109T210449,192.97934,2.41110,33.92606,30.36061,2.50049,190.94544635758515
LGR_CP_PTSCI,20201109T210517,190.96936,2.40982,33.92470,30.35750,2.48019,188.95756941621178
LGR_CP_PTSCI,20201109T210545,188.97232,2.41382,33.92254,30.35829,2.45990,186.9824710565378
LGR_CP_PTSCI,20201109T210613,186.98434,2.42807,33.91945,30.36715,2.49893,185.01631422242696
LGR_CP_PTSCI,20201109T210642,185.01196,2.45560,33.91645,30.38749,2.46979,183.06556747057314
LGR_CP_PTSCI,20201109T210712,182.99036,2.48270,33.91288,30.40699,2.47299,181.06612127097657
LGR_CP_PTSCI,20201109T210744,180.97034,2.49518,33.90129,30.40742,2.49612,179.0682182434489
LGR_CP_PTSCI,20201109T210815,178.97369,2.48776,33.89396,30.39422,2.50027,177.0934101706176
