MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP,DEPTH
LGR_CP_PTSCI,20201003T045058,178.98785,1.94327,33.89833,29.93111,2.01346,177.1074153374182
LGR_CP_PTSCI,20201003T045120,177.00488,1.94977,33.89752,29.93513,2.01355,175.14611888538167
LGR_CP_PTSCI,20201003T045143,175.00073,1.95868,33.89500,29.93983,2.03085,173.16385482479967
LGR_CP_PTSCI,20201003T045206,173.00519,1.96454,33.89250,29.94194,1.98279,171.19008765868418
LGR_CP_PTSCI,20201003T045229,171.00656,1.97198,33.89209,29.94709,1.97699,169.21324512076615
LGR_CP_PTSCI,20201003T045252,169.00653,1.98050,33.89049,29.95218,1.93463,167.23499872249283
LGR_CP_PTSCI,20201003T045315,167.01395,2.00336,33.88552,29.96685,1.99817,165.26410215836682
LGR_CP_PTSCI,20201003T045338,165.00699,2.02100,33.87926,29.97603,1.98856,163.27896288382072
LGR_CP_PTSCI,20201003T045401,163.02936,2.02023,33.87609,29.97194,1.95776,161.32281587325394
LGR_CP_PTSCI,20201003T045424,161.03027,2.02097,33.87529,29.97103,1.93433,159.3454229697483
LGR_CP_PTSCI,20201003T045448,158.98871,2.02560,33.87130,29.97089,1.95093,157.32600128366673
LGR_CP_PTSCI,20201003T045512,156.99850,2.02795,33.86885,29.97005,1.97510,155.357353574495
LGR_CP_PTSCI,20201003T045535,155.02216,2.03128,33.86364,29.96783,2.00995,153.4024068433577
LGR_CP_PTSCI,20201003T045559,153.02847,2.03543,33.85791,29.96589,1.98230,151.43027898631627
LGR_CP_PTSCI,20201003T045623,151.02435,2.03787,33.85480,29.96459,1.97656,149.4478147640399
LGR_CP_PTSCI,20201003T045648,149.00024,2.04620,33.84278,29.96118,2.00131,147.44555703888895
LGR_CP_PTSCI,20201003T045713,147.00360,2.06467,33.82743,29.96377,1.98538,145.47045353972456
LGR_CP_PTSCI,20201003T045738,145.00153,2.06973,33.82500,29.96524,1.98105,143.48995945458907
LGR_CP_PTSCI,20201003T045805,142.99448,2.08041,33.81951,29.96907,2.02695,141.50451978313356
LGR_CP_PTSCI,20201003T045832,140.98355,2.08307,33.81931,29.97027,2.06122,139.5152225525956
LGR_CP_PTSCI,20201003T045900,138.97171,2.09247,33.81502,29.97396,2.03442,137.52500574259844
LGR_CP_PTSCI,20201003T045928,136.99503,2.09668,33.81381,29.97570,2.05493,135.5695521645711
LGR_CP_PTSCI,20201003T045956,135.01364,2.10461,33.81052,29.97895,2.09470,133.6094203932831
LGR_CP_PTSCI,20201003T050025,132.98792,2.12036,33.80194,29.98461,2.02261,131.6054148060564
LGR_CP_PTSCI,20201003T050056,130.99493,2.12711,33.79635,29.98499,2.06110,129.6337692015714
LGR_CP_PTSCI,20201003T050127,129.00220,2.13571,33.78589,29.98306,2.06656,127.66236179849714
LGR_CP_PTSCI,20201003T050159,126.98856,2.16211,33.77553,29.99638,2.04410,125.67024882215931
LGR_CP_PTSCI,20201003T050233,125.00813,2.17233,33.77375,30.00279,2.10510,123.71097187231234
LGR_CP_PTSCI,20201003T050307,123.03129,2.18628,33.77151,30.01201,2.08240,121.75522784627364
LGR_CP_PTSCI,20201003T050342,121.01284,2.20264,33.76899,30.02304,2.13879,119.75829855353027
LGR_CP_PTSCI,20201003T050411,119.02592,2.25095,33.75317,30.05070,2.12814,117.79254403007583
LGR_CP_PTSCI,20201003T050440,117.02964,2.27090,33.74422,30.05964,2.12814,115.817510170207
LGR_CP_PTSCI,20201003T050509,115.01402,2.28741,33.73569,30.06596,2.10556,113.82332277621514
LGR_CP_PTSCI,20201003T050534,113.00357,2.31116,33.72480,30.07656,2.14615,111.8342310213811
LGR_CP_PTSCI,20201003T050559,111.00671,2.33118,33.71824,30.08748,2.17612,109.85856572431454
LGR_CP_PTSCI,20201003T050624,109.03950,2.35544,33.71083,30.10134,2.21872,107.91221704157725
LGR_CP_PTSCI,20201003T050647,107.02074,2.38449,33.70301,30.11893,2.24936,105.91484574512315
LGR_CP_PTSCI,20201003T050710,104.96150,2.44467,33.68672,30.15625,2.27991,103.87740321460304
LGR_CP_PTSCI,20201003T050733,102.99483,2.44275,33.68629,30.15338,2.29590,101.93153184217452
LGR_CP_PTSCI,20201003T050755,101.03361,2.45465,33.68313,30.16011,2.26846,99.99103437514098
LGR_CP_PTSCI,20201003T050818,99.04564,2.47379,33.67983,30.17290,2.31235,98.02405074027428
LGR_CP_PTSCI,20201003T050841,97.03802,2.52798,33.66628,30.20733,2.33337,96.03760532166332
LGR_CP_PTSCI,20201003T050904,95.02962,2.58328,33.64593,30.23718,2.37720,94.05036880028128
LGR_CP_PTSCI,20201003T050927,92.99936,2.62018,33.63004,30.25490,2.38593,92.04148297697402
LGR_CP_PTSCI,20201003T050951,90.97614,2.74933,33.61910,30.35552,2.40195,90.03954338171101
LGR_CP_PTSCI,20201003T051014,89.00273,2.84439,33.61627,30.43370,2.42969,88.08687097593
LGR_CP_PTSCI,20201003T051038,87.01054,2.92972,33.60085,30.49327,2.52258,86.11559698243798
LGR_CP_PTSCI,20201003T051102,84.98527,2.96240,33.59529,30.51581,2.57053,84.11157079101837
LGR_CP_PTSCI,20201003T051127,82.96516,2.99207,33.59078,30.53662,2.57053,82.11263088280548
LGR_CP_PTSCI,20201003T051152,80.98746,3.06247,33.57082,30.57967,2.68054,80.15563757570486
LGR_CP_PTSCI,20201003T051216,78.98158,3.19672,33.53956,30.66811,2.71194,78.17074015686663
LGR_CP_PTSCI,20201003T051243,76.99259,3.23785,33.52780,30.69279,2.82895,76.20253700705926
LGR_CP_PTSCI,20201003T051312,75.00104,3.29883,33.51265,30.73167,2.86276,74.23178160193557
LGR_CP_PTSCI,20201003T051342,72.98462,3.36163,33.49704,30.77172,2.93478,72.23639649375261
LGR_CP_PTSCI,20201003T051413,70.97824,3.44553,33.48062,30.82919,3.00085,70.25092729325088
LGR_CP_PTSCI,20201003T051445,69.00122,3.49881,33.46678,30.86254,3.08499,68.29449321019985
LGR_CP_PTSCI,20201003T051520,66.97737,3.55914,33.48275,30.92678,3.17560,66.29169732762958
LGR_CP_PTSCI,20201003T051557,64.95744,3.70956,33.37525,30.96521,3.28415,64.29276107225438
LGR_CP_PTSCI,20201003T051643,62.99198,3.73389,33.36272,30.97470,3.39203,62.34770990310173
