MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP,DEPTH
LGR_CP_PTSCI,20200930T064110,346.19821,2.54224,34.18446,30.75170,2.54407,342.42268009337073
LGR_CP_PTSCI,20200930T070105,345.18616,2.54196,34.18518,30.75159,2.53290,341.42250095817457
LGR_CP_PTSCI,20200930T070159,343.04233,2.54141,34.16208,30.73140,2.56934,339.30380097344187
LGR_CP_PTSCI,20200930T070230,341.00793,2.54065,34.13053,30.70421,2.56906,337.29322803180094
LGR_CP_PTSCI,20200930T070258,339.02380,2.54074,34.13586,30.70774,2.54596,335.3323173593833
LGR_CP_PTSCI,20200930T070324,336.98569,2.54004,34.13545,30.70588,2.58075,333.31803888958314
LGR_CP_PTSCI,20200930T070348,334.98438,2.53955,34.13605,30.70506,2.54257,331.34011088852475
LGR_CP_PTSCI,20200930T070412,332.97690,2.53915,34.13283,30.70120,2.51529,329.35606582902386
LGR_CP_PTSCI,20200930T070436,330.99429,2.53854,34.13461,30.70124,2.53348,327.39658162138534
LGR_CP_PTSCI,20200930T070500,329.00479,2.53824,34.13523,30.70058,2.52338,325.4302689789564
LGR_CP_PTSCI,20200930T070525,326.98645,2.53763,34.13422,30.69834,2.59122,323.43543321562805
LGR_CP_PTSCI,20200930T070551,324.99670,2.53625,34.13371,30.69585,2.53210,321.4688355353217
LGR_CP_PTSCI,20200930T070616,322.99432,2.53549,34.13369,30.69427,2.51572,319.48973579252095
LGR_CP_PTSCI,20200930T070642,321.00372,2.53473,34.13628,30.69483,2.51639,317.5222601761394
LGR_CP_PTSCI,20200930T070707,319.03430,2.52942,34.13388,30.68742,2.56104,315.57569995488933
LGR_CP_PTSCI,20200930T070733,317.01117,2.52261,34.13178,30.67892,2.52319,313.5760339400088
LGR_CP_PTSCI,20200930T070800,314.98807,2.51950,34.12968,30.67362,2.55713,311.5763780925316
LGR_CP_PTSCI,20200930T070827,312.99277,2.51715,34.12814,30.66945,2.57651,309.60418100627027
LGR_CP_PTSCI,20200930T070854,311.01532,2.51199,34.12681,30.66302,2.54907,307.64960853934826
LGR_CP_PTSCI,20200930T070921,309.03824,2.50302,34.12446,30.65247,2.56284,305.69538317847184
LGR_CP_PTSCI,20200930T070949,307.01382,2.48917,34.12139,30.63710,2.57568,303.69434577168823
LGR_CP_PTSCI,20200930T071018,305.00861,2.48364,34.11962,30.63000,2.53323,301.71227724519355
LGR_CP_PTSCI,20200930T071046,303.00150,2.47095,34.11712,30.61611,2.50476,299.7283114702144
LGR_CP_PTSCI,20200930T071116,300.98911,2.46054,34.11436,30.60398,2.55914,297.7391073177372
LGR_CP_PTSCI,20200930T071145,299.00217,2.45551,34.11320,30.59780,2.52805,295.7750410179222
LGR_CP_PTSCI,20200930T071215,297.02719,2.44659,34.11122,30.58761,2.50195,293.82277839907124
LGR_CP_PTSCI,20200930T071244,295.01108,2.44690,34.10936,30.58547,2.49387,291.8298397171
LGR_CP_PTSCI,20200930T071310,293.01544,2.44760,34.10804,30.58412,2.47971,289.8571167023807
LGR_CP_PTSCI,20200930T071335,291.02908,2.44989,34.10678,30.58419,2.46194,287.8935482794459
LGR_CP_PTSCI,20200930T071401,289.02173,2.44949,34.10614,30.58242,2.53168,285.9092115992898
LGR_CP_PTSCI,20200930T071425,286.99274,2.45123,34.10682,30.58357,2.50687,283.9034635010282
LGR_CP_PTSCI,20200930T071447,284.97668,2.44995,34.10966,30.58386,2.47397,281.9104778615578
LGR_CP_PTSCI,20200930T071508,283.00143,2.45074,34.10973,30.58372,2.52948,279.9578163562588
LGR_CP_PTSCI,20200930T071528,281.01871,2.45074,34.10870,30.58199,2.44479,277.99775157726816
LGR_CP_PTSCI,20200930T071549,279.02524,2.44922,34.10731,30.57866,2.44272,276.027040743429
LGR_CP_PTSCI,20200930T071610,277.02878,2.44708,34.10540,30.57438,2.48105,274.0533550631955
LGR_CP_PTSCI,20200930T071632,275.00027,2.43625,34.10418,30.56313,2.44189,272.0479655304256
LGR_CP_PTSCI,20200930T071655,272.96692,2.43549,34.10340,30.56092,2.41943,270.037771478255
LGR_CP_PTSCI,20200930T071717,270.98041,2.43335,34.10293,30.55781,2.48438,268.0738649750893
LGR_CP_PTSCI,20200930T071738,268.97318,2.43304,34.10136,30.55536,2.43439,266.089455126187
LGR_CP_PTSCI,20200930T071759,266.96164,2.42828,34.10043,30.54960,2.44687,264.1007650071574
LGR_CP_PTSCI,20200930T071820,264.96579,2.42868,34.09977,30.54852,2.49695,262.1275675920473
LGR_CP_PTSCI,20200930T071842,262.96576,2.42792,34.09845,30.54590,2.44528,260.1502185659049
LGR_CP_PTSCI,20200930T071904,260.99942,2.42703,34.09502,30.54148,2.48303,258.2061588892601
LGR_CP_PTSCI,20200930T071926,259.00555,2.42828,34.09260,30.53971,2.44189,256.23486232374785
LGR_CP_PTSCI,20200930T071949,257.00500,2.42868,34.09357,30.53993,2.44247,254.25694233042816
LGR_CP_PTSCI,20200930T072013,255.00162,2.42856,34.09394,30.53923,2.45340,252.2762052213223
LGR_CP_PTSCI,20200930T072037,252.98795,2.41971,34.09048,30.52788,2.47162,250.28527512245284
LGR_CP_PTSCI,20200930T072101,251.00562,2.41455,34.08819,30.52070,2.42477,248.32531221603833
LGR_CP_PTSCI,20200930T072124,249.02219,2.39807,34.08266,30.50111,2.45523,246.3642429602865
LGR_CP_PTSCI,20200930T072148,247.01312,2.35959,34.07496,30.46081,2.40964,244.37780363140442
LGR_CP_PTSCI,20200930T072212,245.02029,2.34628,34.06981,30.44429,2.44431,242.40740234713883
LGR_CP_PTSCI,20200930T072236,243.01740,2.33789,34.06930,30.43575,2.38226,240.42703519359878
LGR_CP_PTSCI,20200930T072300,240.99228,2.32391,34.06466,30.41905,2.41876,238.42466855956152
LGR_CP_PTSCI,20200930T072324,239.00354,2.30228,34.06200,30.39738,2.42859,236.45825413053626
LGR_CP_PTSCI,20200930T072347,237.00168,2.28915,34.05868,30.38250,2.37292,234.4788479255814
LGR_CP_PTSCI,20200930T072412,235.00067,2.27216,34.05680,30.36544,2.36218,232.5002630740732
LGR_CP_PTSCI,20200930T072436,233.02820,2.24698,34.05229,30.33926,2.36942,230.54987967443643
LGR_CP_PTSCI,20200930T072501,231.01288,2.23724,34.04979,30.32796,2.34485,228.5571069057144
