MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP,DEPTH
LGR_CP_PTSCI,20201029T055421,341.59799,2.57626,34.17695,30.77301,2.59921,337.8763792280768
LGR_CP_PTSCI,20201029T061706,338.99896,2.57465,34.17858,30.77177,2.57812,335.30776793136374
LGR_CP_PTSCI,20201029T061733,337.00192,2.57333,34.17866,30.76981,2.54987,333.33407919096885
LGR_CP_PTSCI,20201029T061757,335.00745,2.57257,34.17849,30.76812,2.59058,331.36291146228035
LGR_CP_PTSCI,20201029T061817,333.01151,2.57080,34.17774,30.76509,2.60361,329.39027196089614
LGR_CP_PTSCI,20201029T061837,331.02121,2.56534,34.17311,30.75570,2.65588,327.4231877432178
LGR_CP_PTSCI,20201029T061857,329.04239,2.56219,34.17009,30.74964,2.60281,325.46743093058586
LGR_CP_PTSCI,20201029T061918,327.03452,2.56000,34.16772,30.74492,2.65051,323.4829436499461
LGR_CP_PTSCI,20201029T061939,325.03131,2.55960,34.16764,30.74362,2.63571,321.5030429815392
LGR_CP_PTSCI,20201029T062001,323.02505,2.55872,34.16674,30.74122,2.58820,319.5201086607151
LGR_CP_PTSCI,20201029T062023,321.00739,2.55341,34.16227,30.73209,2.64954,317.52588755987193
LGR_CP_PTSCI,20201029T062045,318.99158,2.55005,34.15989,30.72635,2.60800,315.53347561697774
LGR_CP_PTSCI,20201029T062107,316.97369,2.54532,34.15643,30.71855,2.57233,313.5389884440963
LGR_CP_PTSCI,20201029T062129,314.97437,2.54410,34.15556,30.71589,2.60071,311.56283678489035
LGR_CP_PTSCI,20201029T062150,313.01077,2.54379,34.15496,30.71426,2.56754,309.62197267499465
LGR_CP_PTSCI,20201029T062211,311.01321,2.54333,34.15363,30.71189,2.61392,307.64752294043643
LGR_CP_PTSCI,20201029T062233,309.01199,2.54291,34.15258,30.70977,2.58206,305.6694364978855
LGR_CP_PTSCI,20201029T062254,307.03787,2.54147,34.15126,30.70658,2.55249,303.71811810229144
LGR_CP_PTSCI,20201029T062316,304.99277,2.54047,34.14927,30.70318,2.61273,301.6966199732315
LGR_CP_PTSCI,20201029T062339,302.96704,2.53894,34.14862,30.70042,2.57431,299.6942486650617
LGR_CP_PTSCI,20201029T062401,300.99789,2.53677,34.14797,30.69714,2.57034,297.7477862004404
LGR_CP_PTSCI,20201029T062423,298.98703,2.53592,34.14730,30.69495,2.54828,295.76007523777156
LGR_CP_PTSCI,20201029T062446,296.97409,2.53284,34.14637,30.69063,2.59610,293.77028893000517
LGR_CP_PTSCI,20201029T062508,295.01279,2.53201,34.14488,30.68783,2.58026,291.8315300721339
LGR_CP_PTSCI,20201029T062530,293.03601,2.53238,34.14452,30.68697,2.55399,289.8774505830089
LGR_CP_PTSCI,20201029T062553,290.99899,2.53116,34.14341,30.68410,2.56802,287.863803388819
LGR_CP_PTSCI,20201029T062617,288.98035,2.52939,34.14236,30.68081,2.55966,285.8683057994888
LGR_CP_PTSCI,20201029T062640,286.99939,2.52835,34.14241,30.67908,2.55399,283.910037357904
LGR_CP_PTSCI,20201029T062703,285.01205,2.52713,34.14190,30.67671,2.58429,281.945443209107
LGR_CP_PTSCI,20201029T062726,283.01108,2.52307,34.13974,30.67055,2.62219,279.9673560463225
LGR_CP_PTSCI,20201029T062749,281.00323,2.52090,34.13781,30.66621,2.54852,277.982448383212
LGR_CP_PTSCI,20201029T062811,279.01599,2.52078,34.13711,30.66464,2.57431,276.01789630523024
LGR_CP_PTSCI,20201029T062833,277.03186,2.52063,34.13668,30.66328,2.57233,274.05639994318636
LGR_CP_PTSCI,20201029T062855,275.00113,2.51962,34.13622,30.66112,2.58429,272.04881573250907
LGR_CP_PTSCI,20201029T062918,272.98651,2.51874,34.13581,30.65912,2.58423,270.05713847983867
LGR_CP_PTSCI,20201029T062940,271.02637,2.51682,34.13480,30.65576,2.56638,268.11930223198357
LGR_CP_PTSCI,20201029T063002,269.01871,2.51440,34.13377,30.65194,2.53879,266.134467709585
LGR_CP_PTSCI,20201029T063025,266.98587,2.51163,34.13207,30.64725,2.55206,264.12471988376427
LGR_CP_PTSCI,20201029T063048,265.00290,2.51099,34.13138,30.64524,2.53311,262.16425657265313
LGR_CP_PTSCI,20201029T063111,263.02789,2.51151,34.13143,30.64485,2.53531,260.21164427908104
LGR_CP_PTSCI,20201029T063135,261.01825,2.50891,34.13081,30.64120,2.58792,258.22477561660276
LGR_CP_PTSCI,20201029T063200,258.99802,2.50586,34.12748,30.63496,2.56775,256.22741753808526
LGR_CP_PTSCI,20201029T063226,256.97699,2.50647,34.12011,30.62860,2.56271,254.22924904104445
LGR_CP_PTSCI,20201029T063252,254.96945,2.50253,34.10726,30.61388,2.55551,252.24439866158056
LGR_CP_PTSCI,20201029T063319,252.99115,2.49609,34.10293,30.60393,2.52390,250.28843900094984
