MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP,potential_density
LGR_CP_PTSCI,20201130T073018,115.00739,2.39075,33.63757,30.07499,2.49893,1027.2651881088661
LGR_CP_PTSCI,20201130T073035,113.0085,2.54944,33.62683,30.20083,2.48923,1027.2337976750662
LGR_CP_PTSCI,20201130T073053,110.98746,2.64505,33.62671,30.28151,2.45523,1027.215957986118
LGR_CP_PTSCI,20201207T045144,116.99712,2.52704,33.67835,30.22528,2.48438,1027.2953216754677
LGR_CP_PTSCI,20201207T045211,114.9673,2.5206,33.6608,30.20462,2.48718,1027.2724235299997
LGR_CP_PTSCI,20201207T045237,113.00017,2.52051,33.65344,30.1977,2.49557,1027.2573620571848
LGR_CP_PTSCI,20201207T045303,110.9929,2.52951,33.63604,30.19038,2.51297,1027.2333637079596
LGR_CP_PTSCI,20201207T045331,108.96616,2.53677,33.6176,30.18071,2.50702,1027.2085974376507
LGR_CP_PTSCI,20201214T022058,115.01776,2.58469,33.70525,30.29555,2.47855,1027.302416722097
LGR_CP_PTSCI,20201214T022128,112.99504,2.56946,33.69066,30.26975,2.52759,1027.2826713430566
LGR_CP_PTSCI,20201214T022200,110.96792,2.54376,33.66803,30.22849,2.52014,1027.2574171096064
LGR_CP_PTSCI,20201214T022235,109.00063,2.53561,33.6625,30.21617,2.49893,1027.244499781413
LGR_CP_PTSCI,20201214T022317,107.00121,2.52515,33.65763,30.20238,2.51059,1027.232150705448
LGR_CP_PTSCI,20201214T022402,105.04258,2.48508,33.64034,30.15324,2.54156,1027.2126497717802
