=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 67
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-12-17 01:41:00 UTC
latitude:  69.0917445
longitude: -52.0037365
ttf:       0
nsat:      7
min snr:   32
mean snr:  38
max snr:   45
hdop:      1.4

fix kind:  DiveEnd
fix time:  2021-12-22 04:27:00 UTC
latitude:  69.0915683
longitude: -52.0085745
ttf:       140
nsat:      1
min snr:   0
mean snr:  0
max snr:   0
hdop:      1.2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        445.8400 │             2.7200 │        34.2180 │           4800 ║
║        446.0800 │             2.7180 │        34.2170 │           6600 ║
║        446.2800 │             2.7200 │        34.2150 │           8400 ║
║        446.5200 │             2.7210 │        34.2160 │          10200 ║
║        446.7200 │             2.7160 │        34.2180 │          12000 ║
║        446.8800 │             2.7190 │        34.2150 │          13800 ║
║        446.9600 │             2.7180 │        34.2150 │          15600 ║
║        447.0000 │             2.7190 │        34.2150 │          17400 ║
║        447.0000 │             2.7200 │        34.2160 │          19200 ║
║        446.9200 │             2.7200 │        34.2160 │          21000 ║
║        446.8000 │             2.7200 │        34.2140 │          22800 ║
║        446.6800 │             2.7190 │        34.2150 │          24600 ║
║        446.5600 │             2.7200 │        34.2170 │          26400 ║
║        446.3600 │             2.7200 │        34.2130 │          28200 ║
║        446.2000 │             2.7200 │        34.2160 │          30000 ║
║        446.0400 │             2.7210 │        34.2140 │          31800 ║
║        445.8800 │             2.7200 │        34.2170 │          33600 ║
║        445.7600 │             2.7190 │        34.2140 │          35400 ║
║        445.6400 │             2.7210 │        34.2140 │          37200 ║
║        445.5600 │             2.7190 │        34.2130 │          39000 ║
║        445.5200 │             2.7190 │        34.2160 │          40800 ║
║        445.5600 │             2.7200 │        34.2150 │          42600 ║
║        445.6000 │             2.7190 │        34.2140 │          44400 ║
║        445.6800 │             2.7180 │        34.2140 │          46200 ║
║        445.8000 │             2.7200 │        34.2140 │          48000 ║
║        445.8800 │             2.7250 │        34.2140 │          49800 ║
║        446.0000 │             2.7240 │        34.2150 │          51600 ║
║        446.1200 │             2.7300 │        34.2160 │          53400 ║
║        446.2000 │             2.7300 │        34.2130 │          55200 ║
║        446.3200 │             2.7290 │        34.2160 │          57000 ║
║        446.3600 │             2.7280 │        34.2170 │          58800 ║
║        446.4000 │             2.7300 │        34.2170 │          60600 ║
║        446.4000 │             2.7310 │        34.2160 │          62400 ║
║        446.3200 │             2.7330 │        34.2130 │          64200 ║
║        446.2000 │             2.7350 │        34.2150 │          66000 ║
║        446.0400 │             2.7310 │        34.2160 │          67800 ║
║        445.8800 │             2.7300 │        34.2160 │          69600 ║
║        445.6800 │             2.7290 │        34.2140 │          71400 ║
║        445.4800 │             2.7300 │        34.2140 │          73200 ║
║        445.2800 │             2.7310 │        34.2160 │          75000 ║
║        445.1200 │             2.7310 │        34.2170 │          76800 ║
║        445.0000 │             2.7300 │        34.2170 │          78600 ║
║        444.9600 │             2.7280 │        34.2150 │          80400 ║
║        444.9600 │             2.7260 │        34.2160 │          82200 ║
║        445.0000 │             2.7260 │        34.2140 │          84000 ║
║        445.0800 │             2.7260 │        34.2150 │          85800 ║
║        445.2400 │             2.7260 │        34.2130 │          87600 ║
║        445.4400 │             2.7260 │        34.2150 │          89400 ║
║        445.6800 │             2.7260 │        34.2130 │          91200 ║
║        445.9200 │             2.7270 │        34.2140 │          93000 ║
║        446.1600 │             2.7250 │        34.2140 │          94800 ║
║        446.4000 │             2.7210 │        34.2150 │          96600 ║
║        446.6400 │             2.7210 │        34.2140 │          98400 ║
║        446.8400 │             2.7200 │        34.2110 │         100200 ║
║        446.9600 │             2.7200 │        34.2100 │         102000 ║
║        447.0800 │             2.7190 │        34.2100 │         103800 ║
║        447.1200 │             2.7190 │        34.2120 │         105600 ║
║        447.1200 │             2.7190 │        34.2110 │         107400 ║
║        447.0400 │             2.7190 │        34.2120 │         109200 ║
║        446.9600 │             2.7190 │        34.2110 │         111000 ║
║        446.8000 │             2.7190 │        34.2110 │         112800 ║
║        446.6400 │             2.7180 │        34.2110 │         114600 ║
║        446.4400 │             2.7210 │        34.2100 │         116400 ║
║        446.2800 │             2.7240 │        34.2120 │         118200 ║
║        446.0800 │             2.7260 │        34.2120 │         120000 ║
║        445.8800 │             2.7270 │        34.2130 │         121800 ║
║        445.7200 │             2.7270 │        34.2090 │         123600 ║
║        445.6000 │             2.7500 │        34.2180 │         125400 ║
║        445.5200 │             2.7700 │        34.2230 │         127200 ║
║        445.4800 │             2.7700 │        34.2220 │         129000 ║
║        445.4800 │             2.7690 │        34.2220 │         130800 ║
║        445.5200 │             2.7670 │        34.2220 │         132600 ║
║        445.5600 │             2.7680 │        34.2190 │         134400 ║
║        445.6400 │             2.7740 │        34.2240 │         136200 ║
║        445.7200 │             2.7770 │        34.2240 │         138000 ║
║        445.8400 │             2.7780 │        34.2250 │         139800 ║
║        445.9600 │             2.7810 │        34.2240 │         141600 ║
║        446.1200 │             2.7850 │        34.2240 │         143400 ║
║        446.2400 │             2.7850 │        34.2260 │         145200 ║
║        446.3200 │             2.7870 │        34.2220 │         147000 ║
║        446.3600 │             2.7850 │        34.2260 │         148800 ║
║        446.3600 │             2.7850 │        34.2250 │         150600 ║
║        446.2800 │             2.7840 │        34.2250 │         152400 ║
║        446.1600 │             2.7710 │        34.2060 │         154200 ║
║        446.0000 │             2.7330 │        34.2140 │         156000 ║
║        445.8000 │             2.7330 │        34.2080 │         157800 ║
║        445.6000 │             2.7240 │        34.2060 │         159600 ║
║        445.4000 │             2.7080 │        34.2030 │         161400 ║
║        445.2400 │             2.7130 │        34.2060 │         163200 ║
║        445.1200 │             2.7290 │        34.2090 │         165000 ║
║        445.0000 │             2.7730 │        34.2210 │         166800 ║
║        444.9600 │             2.7740 │        34.2180 │         168600 ║
║        444.9600 │             2.7590 │        34.2170 │         170400 ║
║        445.0000 │             2.7600 │        34.2170 │         172200 ║
║        445.0800 │             2.7690 │        34.2180 │         174000 ║
║        445.2400 │             2.7800 │        34.2160 │         175800 ║
║        445.4400 │             2.7750 │        34.2170 │         177600 ║
║        445.6800 │             2.7720 │        34.2180 │         179400 ║
║        445.9600 │             2.7730 │        34.2160 │         181200 ║
║        446.2000 │             2.7730 │        34.2170 │         183000 ║
║        446.4800 │             2.7730 │        34.2150 │         184800 ║
║        446.6800 │             2.7720 │        34.2160 │         186600 ║
║        446.8800 │             2.7630 │        34.2170 │         188400 ║
║        447.0400 │             2.7420 │        34.2070 │         190200 ║
║        447.1600 │             2.7340 │        34.2050 │         192000 ║
║        447.2000 │             2.7420 │        34.2070 │         193800 ║
║        447.2000 │             2.7360 │        34.2060 │         195600 ║
║        447.1600 │             2.7400 │        34.2100 │         197400 ║
║        447.0400 │             2.7420 │        34.2070 │         199200 ║
║        446.9200 │             2.7400 │        34.2060 │         201000 ║
║        446.7600 │             2.7410 │        34.2070 │         202800 ║
║        446.5600 │             2.7410 │        34.1990 │         204600 ║
║        446.3200 │             2.7290 │        34.2280 │         206400 ║
║        446.1200 │             2.7430 │        34.2090 │         208200 ║
║        445.9200 │             2.7400 │        34.2070 │         210000 ║
