date,lon,lat,temperature,salinity,pressure,depth
21/08/2022,-52.0948032,69.277842,2.6980000000000004,34.161,242.56,239.9747760514827
22/08/2022,-52.1078374,69.2807787,2.675,34.153,242.48,239.89567509327634
22/08/2022,-52.1359004,69.2867944,2.6959999999999997,34.161,242.48,239.89567509327634
23/08/2022,-52.1478174,69.2850862,2.561,34.13,242.48,239.89567509327634
24/08/2022,-52.1643219,69.300176,2.6100000000000003,34.143,242.56,239.9747760514827
25/08/2022,-52.1636015,69.3003646,2.534,34.137,242.44,239.85612460272148
25/08/2022,-52.201822,69.3053461,2.442,34.092,242.48,239.89567509327634
26/08/2022,-52.2379273,69.3145318,2.415,34.093,242.44,239.85612460272148
27/08/2022,-52.2577028,69.3198621,2.4219999999999997,34.088,242.52,239.93522557619676
28/08/2022,-52.2815533,69.31528,2.457,34.091,242.52,239.93522557619676
29/08/2022,-52.2835504,69.313733,2.426,34.049,242.48,239.89567509327634
30/08/2022,-52.2934604,69.3137185,2.4560000000000004,34.103,242.48,239.89567509327634
31/08/2022,-52.3001471,69.3101234,2.4109999999999996,34.096,242.48,239.89567509327634
01/09/2022,-52.3085916,69.3061971,2.391,34.101,242.56,239.9747760514827
04/09/2022,-52.3550441,69.2965896,2.542,34.126,242.48,239.89567509327634
07/09/2022,-52.4415302,69.2680535,2.519,34.13,242.48,239.89567509327634
10/09/2022,-52.6021342,69.2429916,2.4539999999999997,34.122,242.48,239.89567509327634
13/09/2022,-52.720787,69.2209698,2.3339999999999996,34.075,242.56,239.9747760514827
16/09/2022,-52.6805785,69.2217632,2.3739999999999997,34.096,242.48,239.89567509327634
19/09/2022,-52.6280552,69.2206798,2.0540000000000003,34.016,242.52,239.93522557619676
22/09/2022,-52.7520586,69.2164005,1.9779999999999998,33.968,242.48,239.89567509327634
29/09/2022,-52.8609104,69.292418,1.7149999999999999,33.909,242.48,239.89567509327634
06/10/2022,-52.8300477,69.2739995,2.099,33.985,242.52,239.93522557619676
13/10/2022,-52.7360016,69.281353,1.9450000000000003,33.962,242.48,239.89567509327634
20/10/2022,-52.823276,69.2677328,1.7270000000000003,33.871,242.48,239.89567509327634
27/10/2022,-52.9142653,69.2660596,1.8520000000000003,33.879,242.52,239.93522557619676
01/11/2022,-53.0194201,69.2499321,1.888,33.897,242.52,239.93522557619676
06/11/2022,-53.0357254,69.2220888,1.7460000000000004,33.879,242.52,239.93522557619676
11/11/2022,-53.0431537,69.2150804,1.944,33.942,242.48,239.89567509327634
16/11/2022,-53.0286536,69.2499626,2.2990000000000004,33.988,242.48,239.89567509327634
21/11/2022,-53.0197401,69.2167631,2.197,34.058,242.52,239.93522557619676
26/11/2022,-53.0729634,69.1949333,2.779,34.182,242.48,239.89567509327634
01/12/2022,-53.1332564,69.1786139,2.917,34.222,242.48,239.89567509327634
06/12/2022,-53.12848,69.2029042,2.9829999999999997,34.247,242.56,239.9747760514827
11/12/2022,-53.1645816,69.1475994,3.146000000000001,34.291,242.52,239.93522557619676
16/12/2022,-53.1535385,69.0965302,2.9509999999999996,34.215,242.48,239.89567509327634
21/12/2022,-53.1303328,69.0658269,2.822,34.187,242.52,239.93522557619676
31/12/2022,-53.0767198,69.075288,2.7969999999999997,34.16,242.48,239.89567509327634
27/01/2023,-53.1297979,69.0444813,3.231,34.22,242.52,239.93522557619676
09/04/2023,-53.1774122,69.0214608,3.5760000000000005,34.346,242.52,239.93522557619676
19/04/2023,-53.1698441,69.0202249,3.3160000000000007,34.274,242.52,239.93522557619676
25/04/2023,-53.1722132,69.0307815,3.529,34.349,242.52,239.93522557619676
30/04/2023,-53.1799576,69.0196735,3.773999999999999,34.434,242.48,239.89567509327634
05/05/2023,-53.1726414,69.0278722,3.5749999999999993,34.379,242.56,239.9747760514827
10/05/2023,-53.1675272,69.0235581,3.4399999999999995,34.332,242.52,239.93522557619676
15/05/2023,-53.1720336,69.0278406,3.5410000000000004,34.37,242.48,239.89567509327634
20/05/2023,-53.1734993,69.0228453,3.5250000000000004,34.364,242.52,239.93522557619676
25/05/2023,-53.1681974,69.0223054,3.497,34.353,242.48,239.89567509327634
30/05/2023,-53.1653578,69.0266572,3.349,34.318,242.52,239.93522557619676
