gate,mean_x,mean_y,lon,lat,n_pixels,sector,region,Bjork_2015,Mouginot_2019,Zwally_2012,Moon_2008,Moon_2008_dist
329,99800,-3140575,-43.1781880609133,61.5670453957621,15,117,SE,Sikuijivittip Apusiia,ANORITUUP_KANGERLUA,50,199,6041
331,106700,-3149357,-43.059688716161,61.4886219501511,17,118,SE,Sikuijivittip Apusiia,UNNAMED_ANORITUUP_KANGERLUA_S,50,233,3656
332,123400,-3154600,-42.75827501578,61.4363801813709,6,116,SE,Sikuijivittip Apusiia,UNNAMED_ANORITUUP_KANGERLUA_SS,50,200,6215
333,124200,-3157300,-42.7456234058842,61.413525462836,7,116,SE,Sikuijivittip Apusiia,UNNAMED_ANORITUUP_KANGERLUA_SS,50,200,6245
334,111750,-3161600,-42.9767881144622,61.3793977584211,7,116,SE,Sikuijivittip Apusiia,UNNAMED_ANORITUUP_KANGERLUA_SS,50,233,13902
335,-42225,-3165800,-45.7658014470227,61.3575776258206,17,21,SW,Eqalorutsit Kangilliit Sermiat,QAJUUTTAP_SERMIA,50,203,4091
336,90980,-3168140,-43.3566807486599,61.3295946626836,16,115,SE,Tretungegletsjer,UNNAMED_HERLUF_TROLLE_N,50,201,4842
337,-60300,-3169000,-46.0903912086578,61.3272434442948,8,134,SW,Eqalorutsit Killiit Sermiat,EQALORUTSIT_KILLIIT_SERMIAT,50,203,16925
338,-68150,-3173300,-46.2297316689789,61.2893907850536,38,134,SW,Eqalorutsit Killiit Sermiat,EQALORUTSIT_KILLIIT_SERMIAT,50,203,25017
340,-8250,-3180400,-45.1497967014567,61.2331059202881,14,22,SW,Kiattuut Sermiat,KIATTUUT-QOOQQUP,50,236,2349
341,93633,-3181833,-43.3134261617893,61.2090683932843,12,114,SE,Sermeq,UNNAMED_HERLUF_TROLLE_S,50,234,1884
342,59557,-3191957,-43.9322848099731,61.1294026913332,28,113,SE,Sermeq,UNNAMED_KANGERLULUK,50,202,34749
343,-88916,-3198000,-46.592634440141,61.0696724196081,15,136,SW,Naajat Sermiat,NAAJAT_SERMIAT,50,203,53593
344,-107350,-3199066,-46.921387183073,61.0561026837388,23,132,SW,Sermilik,SERMILIK,50,203,70370
345,87100,-3199900,-43.4409983221694,61.0544936706546,3,112,SE,Sermeq,HERLUF_TROLLE-KANGERLULUK-DANELL,50,202,15693
346,74100,-3201200,-43.6742142457375,61.0451875830458,8,113,SE,Sermeq,UNNAMED_KANGERLULUK,50,202,18044
347,75550,-3201200,-43.6491698524016,61.0449038806018,5,113,SE,Sermeq,UNNAMED_KANGERLULUK,50,202,17194
349,80600,-3213233,-43.5615433108209,60.9397269127505,15,120,SE,Sermeq,UNNAMED_DANELL_FJORD,50,202,5063
350,73700,-3225300,-43.6911806825035,60.8371489936198,16,110,SE,Sermeq,UNNAMED_SOUTH_DANELL_FJORD,50,235,3100
352,63200,-3235600,-43.879470417484,60.7489298775497,3,111,SE,Sermeq,SOUTHERN_TIP,50,238,5330
353,92500,-3238500,-43.3641064764897,60.7185864332505,7,111,SE,Sermeq,SOUTHERN_TIP,50,235,21458
354,62700,-3238300,-43.8909824663422,60.7265032665989,3,111,SE,Sermeq,SOUTHERN_TIP,50,238,4893
355,64625,-3243200,-43.8573721583054,60.6828466785264,5,111,SE,Sermeq,SOUTHERN_TIP,50,238,5438
356,84500,-3242900,-43.5075718066815,60.6823675736351,3,111,SE,Sermeq,SOUTHERN_TIP,50,238,17446
357,44300,-3244100,-44.217864618922,60.6788845727148,9,111,SE,Sermeq,SOUTHERN_TIP,50,238,23914
