=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 69
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-12-27 07:20:00 UTC
latitude:  69.0909871
longitude: -52.0126574
ttf:       0
nsat:      4
min snr:   39
mean snr:  40
max snr:   43
hdop:      2.5

fix kind:  DiveEnd
fix time:  2022-01-01 09:56:00 UTC
latitude:  69.0916513
longitude: -52.0104348
ttf:       80
nsat:      6
min snr:   0
mean snr:  31
max snr:   46
hdop:      1.6

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1640589644 │         -0.0400 │ descent start ║
║ 1640590083 │         10.1600 │       descent ║
║ 1640590153 │         20.2000 │       descent ║
║ 1640590223 │         30.1200 │       descent ║
║ 1640590295 │         40.0800 │       descent ║
║ 1640590367 │         50.2000 │       descent ║
║ 1640590370 │         50.6000 │  descent pump ║
║ 1640590436 │         60.0000 │       descent ║
║ 1640590506 │         70.0400 │       descent ║
║ 1640590582 │         80.0000 │       descent ║
║ 1640590661 │         90.0800 │       descent ║
║ 1640590739 │        100.0800 │       descent ║
║ 1640590817 │        110.0400 │       descent ║
║ 1640590897 │        120.0800 │       descent ║
║ 1640590977 │        130.1200 │       descent ║
║ 1640591059 │        140.0800 │       descent ║
║ 1640591141 │        150.0000 │       descent ║
║ 1640591224 │        160.0800 │       descent ║
║ 1640591307 │        170.0400 │       descent ║
║ 1640591391 │        180.0400 │       descent ║
║ 1640591476 │        190.0400 │       descent ║
║ 1640591560 │        200.0800 │       descent ║
║ 1640591645 │        210.0800 │       descent ║
║ 1640591730 │        220.0400 │       descent ║
║ 1640591817 │        230.0400 │       descent ║
║ 1640591905 │        240.0000 │       descent ║
║ 1640591995 │        250.0800 │       descent ║
║ 1640592085 │        260.0400 │       descent ║
║ 1640592176 │        270.0400 │       descent ║
║ 1640592177 │        270.1200 │  descent seek ║
║ 1640592524 │        309.4800 │       descent ║
║ 1640592607 │        319.0800 │       descent ║
║ 1640592693 │        329.0800 │       descent ║
║ 1640592779 │        339.0400 │       descent ║
║ 1640592866 │        349.0400 │       descent ║
║ 1640592955 │        359.0800 │       descent ║
║ 1640593043 │        369.0800 │       descent ║
║ 1640593131 │        379.0000 │       descent ║
║ 1640593220 │        389.0400 │       descent ║
║ 1640593308 │        399.0800 │       descent ║
║ 1640593396 │        409.0400 │       descent ║
║ 1640593482 │        419.0800 │       descent ║
║ 1640593567 │        429.0000 │       descent ║
║ 1640593653 │        439.0000 │       descent ║
║ 1640593742 │        449.0000 │       descent ║
║ 1640594342 │        452.2000 │       descent ║
║ 1640594942 │        452.2000 │       descent ║
║ 1640595542 │        452.1600 │       descent ║
║ 1640596125 │        452.1600 │  descent seek ║
║ 1640596142 │        452.1600 │       descent ║
║ 1640596742 │        452.1200 │       descent ║
║ 1640597342 │        452.1200 │       descent ║
║ 1640597942 │        452.0800 │       descent ║
║ 1640598542 │        452.0400 │       descent ║
║ 1640599142 │        452.0400 │       descent ║
║ 1640599742 │        452.0400 │       descent ║
║ 1640599756 │        452.0400 │  descent seek ║
║ 1640600342 │        452.0000 │       descent ║
║ 1640600942 │        452.0000 │       descent ║
║ 1640601542 │        452.0000 │       descent ║
║ 1640602142 │        451.9600 │       descent ║
║ 1640602742 │        451.9600 │       descent ║
║ 1640603342 │        451.9600 │       descent ║
║ 1640603942 │        451.9600 │       descent ║
║ 1640604542 │        451.9600 │       descent ║
║ 1640605142 │        451.9600 │       descent ║
║ 1640605742 │        451.9600 │       descent ║
║ 1640606342 │        452.0000 │       descent ║
║ 1640606942 │        452.0000 │       descent ║
║ 1640606989 │        452.0000 │       descent ║
║ 1641028196 │        453.1200 │  ascent start ║
║ 1641028422 │        444.0000 │        ascent ║
║ 1641028521 │        434.0000 │        ascent ║
║ 1641028599 │        423.8400 │        ascent ║
║ 1641028675 │        413.8800 │        ascent ║
║ 1641028748 │        403.8000 │        ascent ║
║ 1641028812 │        393.9600 │        ascent ║
║ 1641028878 │        383.8000 │        ascent ║
║ 1641028943 │        373.8000 │        ascent ║
║ 1641029000 │        363.8400 │        ascent ║
║ 1641029057 │        353.8000 │        ascent ║
