=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 51
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-09-26 05:06:00 UTC
latitude:  69.0960518
longitude: -51.975719
ttf:       0
nsat:      4
min snr:   28
mean snr:  36
max snr:   43
hdop:      2.7

fix kind:  DiveEnd
fix time:  2021-10-01 07:44:00 UTC
latitude:  69.0985141
longitude: -51.9722853
ttf:       80
nsat:      9
min snr:   0
mean snr:  26
max snr:   39
hdop:      0.8

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        467.6400 │             2.6430 │        34.2120 │           1200 ║
║        467.8000 │             2.6420 │        34.2140 │           3000 ║
║        468.0000 │             2.6410 │        34.2130 │           4800 ║
║        468.1600 │             2.6410 │        34.2150 │           6600 ║
║        468.3600 │             2.6410 │        34.2140 │           8400 ║
║        468.5600 │             2.6390 │        34.2140 │          10200 ║
║        468.7200 │             2.6390 │        34.2130 │          12000 ║
║        468.8800 │             2.6390 │        34.2110 │          13800 ║
║        469.0000 │             2.6370 │        34.2130 │          15600 ║
║        469.0400 │             2.6360 │        34.2110 │          17400 ║
║        469.0800 │             2.6310 │        34.2120 │          19200 ║
║        469.0400 │             2.6240 │        34.2130 │          21000 ║
║        468.9600 │             2.6160 │        34.2060 │          22800 ║
║        468.8800 │             2.6090 │        34.2040 │          24600 ║
║        468.7600 │             2.6060 │        34.2060 │          26400 ║
║        468.6000 │             2.6100 │        34.2040 │          28200 ║
║        468.4800 │             2.6110 │        34.2050 │          30000 ║
║        468.3200 │             2.6240 │        34.2050 │          31800 ║
║        468.2000 │             2.6280 │        34.2080 │          33600 ║
║        468.0800 │             2.6360 │        34.2080 │          35400 ║
║        468.0000 │             2.6360 │        34.2100 │          37200 ║
║        467.9600 │             2.6370 │        34.2110 │          39000 ║
║        467.9200 │             2.6390 │        34.2100 │          40800 ║
║        467.9200 │             2.6410 │        34.2100 │          42600 ║
║        467.9600 │             2.6420 │        34.2100 │          44400 ║
║        468.0400 │             2.6450 │        34.2100 │          46200 ║
║        468.1200 │             2.6440 │        34.2120 │          48000 ║
║        468.2400 │             2.6440 │        34.2130 │          49800 ║
║        468.3600 │             2.6430 │        34.2100 │          51600 ║
║        468.4400 │             2.6430 │        34.2120 │          53400 ║
║        468.5600 │             2.6440 │        34.2090 │          55200 ║
║        468.6400 │             2.6430 │        34.2140 │          57000 ║
║        468.7200 │             2.6440 │        34.2110 │          58800 ║
║        468.7200 │             2.6450 │        34.2110 │          60600 ║
║        468.7200 │             2.6460 │        34.2090 │          62400 ║
║        468.6800 │             2.6460 │        34.2120 │          64200 ║
║        468.5600 │             2.6450 │        34.2090 │          66000 ║
║        468.4400 │             2.6430 │        34.2080 │          67800 ║
║        468.3200 │             2.6420 │        34.2090 │          69600 ║
║        468.1600 │             2.6420 │        34.2100 │          71400 ║
║        468.0400 │             2.6440 │        34.2100 │          73200 ║
║        467.8800 │             2.6440 │        34.2110 │          75000 ║
║        467.8000 │             2.6440 │        34.2100 │          76800 ║
