date,lon,lat,temperature,salinity,pressure,depth,potential_density,sigma_theta
2021-04-27T03:21:00Z,-51.9113361,69.0380685,-1.1360000000000001,33.456,88.44,87.53005100750669,1027.2075104769503,27.207510476950347
2021-04-27T03:21:00Z,-51.9113361,69.0380685,-1.1349999999999998,33.453,87.48,86.58012983466729,1027.2004463614526,27.200446361452578
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-0.2649999999999997,33.559,99.52,98.49340479359077,1027.3062792779306,27.30627927793057
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-0.03300000000000036,33.586,97.48,96.47492536993845,1027.3064993720625,27.30649937206249
2021-04-28T03:16:00Z,-51.9214801,69.0380836,0.1849999999999996,33.531,96.52,95.52504579827632,1027.2462062372656,27.246206237265596
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-0.11399999999999988,33.526,95.56,94.57516180934103,1027.2533862290354,27.253386229035414
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-0.31400000000000006,33.494,94.56,93.58569462353843,1027.232790713085,27.232790713085024
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-0.7409999999999997,33.476,93.48,92.51706467898974,1027.232337501493,27.23233750149302
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-0.8970000000000002,33.498,92.52,91.56716670115904,1027.2518099909712,27.251809990971196
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-0.9710000000000001,33.48,91.56,90.61726430550969,1027.235626606475,27.23562660647508
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-1.0150000000000001,33.477,90.52,89.58819839135201,1027.2299104673646,27.22991046736456
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-1.0630000000000002,33.47,89.44,88.51954753085737,1027.2209004634099,27.220900463409862
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-1.084,33.466,88.44,87.53005100750669,1027.2136587761468,27.213658776146758
2021-04-28T03:16:00Z,-51.9214801,69.0380836,-1.096,33.463,87.56,86.6592901011645,1027.2074598801344,27.207459880134365
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.10599999999999987,33.56,100.52,99.48284820662309,1027.3039084274824,27.303908427482384
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.12100000000000044,33.562,99.56,98.53298262212911,1027.3016976763013,27.301697676301274
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.12899999999999956,33.557,98.52,97.50395658795416,1027.2931321913504,27.293132191350423
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.17300000000000004,33.544,97.56,96.5540818015236,1027.2803386941125,27.280338694112515
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.30900000000000016,33.53,96.6,95.60420259796167,1027.2711928514173,27.271192851417254
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.24600000000000044,33.542,95.48,94.49600461086817,1027.2724180314021,27.27241803140214
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.258,33.525,94.48,93.50653704160398,1027.2545863188016,27.254586318801557
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.2839999999999998,33.524,93.48,92.51706467898974,1027.2502696082295,27.250269608229473
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.31899999999999995,33.513,92.48,91.52758752287755,1027.2383451968865,27.238345196886485
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.43599999999999994,33.487,91.56,90.61726430550969,1027.2185632278802,27.218563227880168
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.6959999999999997,33.484,90.56,89.62777794546652,1027.2228830260285,27.222883026028512
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.7990000000000004,33.494,89.52,88.59870704561851,1027.2302454822466,27.230245482246573
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.8070000000000004,33.491,88.52,87.60921090580095,1027.223367589949,27.22336758994902
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.7789999999999999,33.513,87.4,86.50096953748606,1027.2345427767484,27.234542776748413
2021-04-29T03:09:00Z,-51.9344581,69.0394761,-0.5780000000000003,33.487,86.36,85.47188288184476,1027.2000830468382,27.200083046838245
2021-04-30T03:01:00Z,-51.9427081,69.0410669,0.5030000000000001,33.61,99.56,98.53298262212911,1027.3057795460882,27.30577954608816
2021-04-30T03:01:00Z,-51.9427081,69.0410669,0.4850000000000003,33.6,98.52,97.50395658795416,1027.2939016087678,27.293901608767783
2021-04-30T03:01:00Z,-51.9427081,69.0410669,0.41800000000000015,33.587,97.52,96.51450358956535,1027.28266628632,27.28266628631991
2021-04-30T03:01:00Z,-51.9427081,69.0410669,0.3440000000000003,33.587,96.48,95.48546738693034,1027.2819790381113,27.28197903811133
2021-04-30T03:01:00Z,-51.9427081,69.0410669,0.20099999999999962,33.553,95.44,94.45642600012806,1027.2578108131272,27.257810813127207
2021-04-30T03:01:00Z,-51.9427081,69.0410669,0.02200000000000024,33.564,94.52,93.54611583640587,1027.2718738730584,27.27187387305844
2021-04-30T03:01:00Z,-51.9427081,69.0410669,-0.02400000000000002,33.563,93.48,92.51706467898974,1027.268519363227,27.268519363226915
