=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 59
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-11-06 03:23:00 UTC
latitude:  69.0927083
longitude: -51.9821296
ttf:       0
nsat:      7
min snr:   0
mean snr:  34
max snr:   46
hdop:      1.9

fix kind:  DiveEnd
fix time:  2021-11-11 05:58:00 UTC
latitude:  69.0937595
longitude: -51.9880198
ttf:       10
nsat:      6
min snr:   0
mean snr:  30
max snr:   42
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1636169044 │          0.0000 │ descent start ║
║ 1636169445 │         10.2400 │       descent ║
║ 1636169516 │         20.0800 │       descent ║
║ 1636169584 │         30.1200 │       descent ║
║ 1636169654 │         40.1200 │       descent ║
║ 1636169724 │         50.0000 │       descent ║
║ 1636169727 │         50.4400 │  descent pump ║
║ 1636169799 │         60.0800 │       descent ║
║ 1636169874 │         70.0400 │       descent ║
║ 1636169949 │         80.0800 │       descent ║
║ 1636170024 │         90.1200 │       descent ║
║ 1636170099 │        100.0400 │       descent ║
║ 1636170179 │        110.0800 │       descent ║
║ 1636170257 │        120.0800 │       descent ║
║ 1636170336 │        130.0800 │       descent ║
║ 1636170417 │        140.0800 │       descent ║
║ 1636170497 │        150.0400 │       descent ║
║ 1636170579 │        160.0400 │       descent ║
║ 1636170664 │        170.0400 │       descent ║
║ 1636170750 │        180.0400 │       descent ║
║ 1636170836 │        190.0000 │       descent ║
║ 1636170922 │        200.0800 │       descent ║
║ 1636171007 │        210.0800 │       descent ║
║ 1636171091 │        220.0800 │       descent ║
║ 1636171174 │        230.0800 │       descent ║
║ 1636171259 │        240.0400 │       descent ║
║ 1636171342 │        250.0000 │       descent ║
║ 1636171427 │        260.0000 │       descent ║
║ 1636171517 │        270.0400 │       descent ║
║ 1636171532 │        271.6800 │  descent seek ║
║ 1636171879 │        311.3200 │       descent ║
║ 1636171965 │        321.0000 │       descent ║
║ 1636172053 │        331.0800 │       descent ║
║ 1636172143 │        341.0800 │       descent ║
║ 1636172231 │        351.0800 │       descent ║
║ 1636172314 │        361.1200 │       descent ║
║ 1636172398 │        371.0000 │       descent ║
║ 1636172485 │        381.0000 │       descent ║
║ 1636172572 │        391.0000 │       descent ║
║ 1636172657 │        401.0800 │       descent ║
║ 1636172741 │        411.0000 │       descent ║
║ 1636172826 │        421.0000 │       descent ║
║ 1636172912 │        431.0400 │       descent ║
║ 1636172997 │        441.0800 │       descent ║
║ 1636173083 │        451.0400 │       descent ║
║ 1636173683 │        457.0000 │       descent ║
║ 1636174283 │        456.9200 │       descent ║
║ 1636174883 │        456.8400 │       descent ║
║ 1636175480 │        456.8000 │  descent seek ║
║ 1636175483 │        456.8000 │       descent ║
║ 1636176083 │        456.7200 │       descent ║
║ 1636176683 │        456.6800 │       descent ║
║ 1636177283 │        456.6400 │       descent ║
║ 1636177883 │        456.6000 │       descent ║
║ 1636178483 │        456.5600 │       descent ║
║ 1636179083 │        456.5600 │       descent ║
║ 1636179111 │        456.5600 │  descent seek ║
║ 1636179683 │        456.5600 │       descent ║
║ 1636180283 │        456.5200 │       descent ║
║ 1636180883 │        456.5600 │       descent ║
║ 1636181483 │        456.5600 │       descent ║
║ 1636182083 │        456.6000 │       descent ║
║ 1636182683 │        456.6400 │       descent ║
║ 1636183283 │        456.6800 │       descent ║
║ 1636183883 │        456.7200 │       descent ║
║ 1636184483 │        456.8000 │       descent ║
║ 1636185083 │        456.8400 │       descent ║
║ 1636185683 │        456.9200 │       descent ║
║ 1636186283 │        457.0000 │       descent ║
║ 1636186343 │        457.0400 │       descent ║
║ 1636607552 │        457.9600 │  ascent start ║
║ 1636607767 │        447.9600 │        ascent ║
║ 1636607863 │        437.9600 │        ascent ║
║ 1636607941 │        427.9600 │        ascent ║
║ 1636608019 │        417.8400 │        ascent ║
║ 1636608094 │        407.8800 │        ascent ║
║ 1636608159 │        397.7600 │        ascent ║
║ 1636608223 │        387.9200 │        ascent ║
║ 1636608289 │        377.7600 │        ascent ║
║ 1636608347 │        367.7600 │        ascent ║
║ 1636608404 │        357.7200 │        ascent ║
║ 1636608459 │        347.8400 │        ascent ║
║ 1636608515 │        337.8400 │        ascent ║
║ 1636608567 │        327.6800 │        ascent ║
║ 1636608619 │        317.6800 │        ascent ║
║ 1636608671 │        307.6800 │        ascent ║
║ 1636608721 │        297.7600 │        ascent ║
║ 1636608768 │        287.9600 │        ascent ║
║ 1636608816 │        277.9600 │        ascent ║
║ 1636608863 │        267.9600 │        ascent ║
║ 1636608911 │        257.8400 │        ascent ║
║ 1636608957 │        247.8800 │        ascent ║
