=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 86
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  2022-03-29 13:24:00 UTC
latitude:  69.1057132
longitude: -51.921413
ttf:       60
nsat:      6
min snr:   0
mean snr:  34
max snr:   45
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║ 1648560188 │         12.8000 │        ascent ║
║ 1648560232 │          2.7600 │        ascent ║
║ 1648560236 │          1.8400 │    ascent end ║
╚════════════╧═════════════════╧═══════════════╝

Science
science data
descending: binned:
<empty>

unbinned:
<empty>

discrete:
<empty>


park/drift: discrete
╔═════════════════╤════════════════════╤════════════════╤════════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ time (seconds) ║
╟─────────────────┼────────────────────┼────────────────┼────────────────╢
║        411.6800 │             2.8180 │        34.1940 │           1201 ║
║        411.6400 │             2.8140 │        34.1960 │           3001 ║
║        411.6000 │             2.8140 │        34.1930 │           4801 ║
║        411.5200 │             2.8130 │        34.1920 │           6601 ║
║        411.4000 │             2.8130 │        34.1970 │           8401 ║
║        411.2400 │             2.8440 │        34.1930 │          10201 ║
║        411.0800 │             2.8500 │        34.2040 │          12001 ║
║        410.9200 │             2.8520 │        34.2010 │          13801 ║
║        410.8000 │             2.8500 │        34.2030 │          15601 ║
║        410.6800 │             2.8440 │        34.2020 │          17401 ║
║        410.6000 │             2.8430 │        34.1990 │          19201 ║
║        410.5200 │             2.8400 │        34.2010 │          21001 ║
║        410.5200 │             2.8370 │        34.2000 │          22801 ║
║        410.5200 │             2.8350 │        34.1980 │          24601 ║
║        410.5600 │             2.8310 │        34.1970 │          26401 ║
║        410.6400 │             2.8270 │        34.1970 │          28201 ║
║        410.7200 │             2.8220 │        34.1990 │          30001 ║
║        410.8800 │             2.8180 │        34.1960 │          31801 ║
║        411.0400 │             2.8160 │        34.1910 │          33601 ║
║        411.2000 │             2.8190 │        34.1950 │          35401 ║
║        411.4000 │             2.8200 │        34.1960 │          37201 ║
║        411.5600 │             2.8260 │        34.1960 │          39001 ║
║        411.7200 │             2.8320 │        34.1980 │          40801 ║
║        411.8800 │             2.8290 │        34.1960 │          42601 ║
║        411.9600 │             2.8320 │        34.1970 │          44401 ║
║        412.0400 │             2.8340 │        34.1990 │          46201 ║
║        412.0800 │             2.8380 │        34.1980 │          48001 ║
║        412.0800 │             2.8360 │        34.1980 │          49801 ║
║        412.0400 │             2.8380 │        34.2010 │          51601 ║
║        412.0000 │             2.8360 │        34.1990 │          53401 ║
║        411.9200 │             2.8320 │        34.1980 │          55201 ║
║        411.8000 │             2.8310 │        34.1980 │          57001 ║
║        411.7200 │             2.8310 │        34.1990 │          58801 ║
║        411.6000 │             2.8360 │        34.1950 │          60601 ║
║        411.4400 │             2.8510 │        34.2030 │          62401 ║
║        411.3600 │             2.8510 │        34.2010 │          64201 ║
║        411.2400 │             2.8570 │        34.2040 │          66001 ║
║        411.1600 │             2.8580 │        34.2040 │          67801 ║
