=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 73
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-01-16 18:44:00 UTC
latitude:  69.0945626
longitude: -51.9950142
ttf:       10
nsat:      6
min snr:   0
mean snr:  27
max snr:   38
hdop:      2.9

fix kind:  DiveEnd
fix time:  2022-01-21 21:27:00 UTC
latitude:  69.0933918
longitude: -51.9952072
ttf:       100
nsat:      6
min snr:   0
mean snr:  29
max snr:   42
hdop:      1.2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1642358734 │         -0.0800 │ descent start ║
║ 1642359214 │         10.1200 │       descent ║
║ 1642359282 │         20.0400 │       descent ║
║ 1642359353 │         30.0800 │       descent ║
║ 1642359421 │         40.0800 │       descent ║
║ 1642359489 │         50.0800 │       descent ║
║ 1642359492 │         50.5200 │  descent pump ║
║ 1642359561 │         60.0400 │       descent ║
║ 1642359635 │         70.0400 │       descent ║
║ 1642359713 │         80.0400 │       descent ║
║ 1642359793 │         90.0800 │       descent ║
║ 1642359870 │        100.0400 │       descent ║
║ 1642359948 │        110.0800 │       descent ║
║ 1642360026 │        120.0400 │       descent ║
║ 1642360106 │        130.0800 │       descent ║
║ 1642360187 │        140.0800 │       descent ║
║ 1642360270 │        150.0400 │       descent ║
║ 1642360355 │        160.0800 │       descent ║
║ 1642360439 │        170.1200 │       descent ║
║ 1642360523 │        180.0800 │       descent ║
║ 1642360606 │        190.0400 │       descent ║
║ 1642360691 │        200.0400 │       descent ║
║ 1642360776 │        210.0400 │       descent ║
║ 1642360862 │        220.0400 │       descent ║
║ 1642360948 │        230.0000 │       descent ║
║ 1642361035 │        240.0800 │       descent ║
║ 1642361121 │        250.0800 │       descent ║
║ 1642361206 │        260.0000 │       descent ║
║ 1642361293 │        270.0400 │       descent ║
║ 1642361299 │        270.6400 │  descent seek ║
║ 1642361646 │        312.6000 │       descent ║
║ 1642361727 │        322.0800 │       descent ║
║ 1642361813 │        332.0400 │       descent ║
║ 1642361897 │        342.0000 │       descent ║
║ 1642361984 │        352.0800 │       descent ║
║ 1642362071 │        362.0400 │       descent ║
║ 1642362159 │        372.0400 │       descent ║
║ 1642362247 │        382.0800 │       descent ║
║ 1642362335 │        392.0800 │       descent ║
║ 1642362424 │        402.0400 │       descent ║
