=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 80
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        400.2400 │             2.8290 │        34.1990 │          19201 ║
║        400.3600 │             2.8280 │        34.1970 │          21001 ║
║        400.5200 │             2.8270 │        34.1960 │          22801 ║
║        400.6000 │             2.8260 │        34.1970 │          24601 ║
║        400.6000 │             2.8300 │        34.2010 │          26401 ║
║        400.5600 │             2.8310 │        34.2040 │          28201 ║
║        400.4800 │             2.8310 │        34.2000 │          30001 ║
║        400.3200 │             2.8320 │        34.2000 │          31801 ║
║        400.1600 │             2.8280 │        34.1970 │          33601 ║
║        400.0000 │             2.8270 │        34.1950 │          35401 ║
║        399.8000 │             2.8270 │        34.1940 │          37201 ║
║        399.6400 │             2.8270 │        34.1920 │          39001 ║
║        399.4800 │             2.8250 │        34.1960 │          40801 ║
║        399.3600 │             2.8240 │        34.1940 │          42601 ║
║        399.2800 │             2.8260 │        34.1940 │          44401 ║
║        399.2000 │             2.8260 │        34.1960 │          46201 ║
║        399.2000 │             2.8270 │        34.1980 │          48001 ║
║        399.2400 │             2.8270 │        34.1960 │          49801 ║
║        399.3200 │             2.8270 │        34.1960 │          51601 ║
║        399.4800 │             2.8270 │        34.1960 │          53401 ║
║        399.6400 │             2.8260 │        34.1960 │          55201 ║
║        399.8000 │             2.8250 │        34.1960 │          57001 ║
║        400.0000 │             2.8250 │        34.1940 │          58801 ║
║        400.1600 │             2.8280 │        34.1960 │          60601 ║
║        400.3200 │             2.8310 │        34.1970 │          62401 ║
║        400.4400 │             2.8310 │        34.1960 │          64201 ║
║        400.5200 │             2.8310 │        34.1970 │          66001 ║
║        400.6000 │             2.8270 │        34.1950 │          67801 ║
║        400.6000 │             2.8280 │        34.1930 │          69601 ║
║        400.5600 │             2.8290 │        34.1970 │          71401 ║
║        400.4800 │             2.8310 │        34.1940 │          73201 ║
║        400.3200 │             2.8310 │        34.1960 │          75001 ║
║        400.1600 │             2.8320 │        34.1980 │          76801 ║
║        399.9600 │             2.8330 │        34.1950 │          78601 ║
║        399.7600 │             2.8330 │        34.1980 │          80401 ║
║        399.5600 │             2.8270 │        34.1930 │          82201 ║
║        399.3600 │             2.8300 │        34.1910 │          84001 ║
║        399.2000 │             2.8290 │        34.1950 │          85801 ║
║        399.0800 │             2.8270 │        34.1930 │          87601 ║
║        399.0000 │             2.8270 │        34.1940 │          89402 ║
║        398.9600 │             2.8290 │        34.1970 │          91201 ║
║        398.9600 │             2.8290 │        34.1920 │          93001 ║
║        399.0400 │             2.8280 │        34.1930 │          94801 ║
║        399.1200 │             2.8270 │        34.1960 │          96601 ║
║        399.2800 │             2.8250 │        34.1970 │          98401 ║
║        399.4800 │             2.8280 │        34.1890 │         100201 ║
║        399.6400 │             2.8300 │        34.1940 │         102001 ║
║        399.8400 │             2.8300 │        34.1940 │         103801 ║
║        400.0400 │             2.8290 │        34.1940 │         105601 ║
║        400.2000 │             2.8310 │        34.1940 │         107401 ║
║        400.3200 │             2.8320 │        34.1960 │         109201 ║
║        400.4400 │             2.8310 │        34.1960 │         111001 ║
║        400.5200 │             2.8320 │        34.1930 │         112801 ║
║        400.5600 │             2.8310 │        34.1980 │         114601 ║
║        400.5600 │             2.8300 │        34.1920 │         116401 ║
║        400.5200 │             2.8290 │        34.1940 │         118201 ║
║        400.4400 │             2.8280 │        34.1900 │         120001 ║
║        400.3600 │             2.8270 │        34.1920 │         121801 ║
║        400.2400 │             2.8280 │        34.1930 │         123601 ║
║        400.0800 │             2.8280 │        34.1940 │         125401 ║
║        399.9600 │             2.8270 │        34.1910 │         127201 ║
║        399.8400 │             2.8270 │        34.1900 │         129001 ║
║        399.7200 │             2.8260 │        34.1920 │         130801 ║
║        399.6000 │             2.8260 │        34.1900 │         132601 ║
║        399.5200 │             2.8310 │        34.1980 │         134401 ║
║        399.4800 │             2.8320 │        34.2010 │         136201 ║
║        399.4800 │             2.8340 │        34.2000 │         138001 ║
║        399.5600 │             2.8370 │        34.2040 │         139801 ║
║        399.6000 │             2.8370 │        34.2020 │         141601 ║
║        399.7200 │             2.8380 │        34.2030 │         143401 ║
║        399.8400 │             2.8380 │        34.2010 │         145201 ║
║        399.9600 │             2.8390 │        34.2030 │         147001 ║
║        400.0800 │             2.8400 │        34.2060 │         148801 ║
║        400.2000 │             2.8390 │        34.2050 │         150601 ║
║        400.3200 │             2.8380 │        34.2070 │         152401 ║
║        400.4000 │             2.8340 │        34.2020 │         154201 ║
║        400.4800 │             2.8330 │        34.1960 │         156001 ║
