=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 71
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-01-06 13:02:00 UTC
latitude:  69.0939397
longitude: -51.9943417
ttf:       170
nsat:      5
min snr:   0
mean snr:  31
max snr:   45
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-01-11 15:37:00 UTC
latitude:  69.0945841
longitude: -51.9892713
ttf:       100
nsat:      5
min snr:   0
mean snr:  29
max snr:   43
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        457.2000 │             2.8350 │        34.2370 │           3000 ║
║        456.9600 │             2.8320 │        34.2380 │           4800 ║
║        456.7200 │             2.8330 │        34.2400 │           6600 ║
║        456.4800 │             2.8390 │        34.2410 │           8400 ║
║        456.3200 │             2.8540 │        34.2440 │          10200 ║
║        456.2400 │             2.8550 │        34.2450 │          12000 ║
║        456.2000 │             2.8550 │        34.2450 │          13800 ║
║        456.2400 │             2.8550 │        34.2420 │          15600 ║
║        456.3600 │             2.8540 │        34.2450 │          17400 ║
║        456.4800 │             2.8520 │        34.2410 │          19200 ║
║        456.6400 │             2.8510 │        34.2440 │          21000 ║
║        456.8000 │             2.8510 │        34.2440 │          22800 ║
║        456.9600 │             2.8490 │        34.2420 │          24600 ║
║        457.0800 │             2.8470 │        34.2420 │          26400 ║
║        457.2000 │             2.8500 │        34.2390 │          28200 ║
║        457.3200 │             2.8500 │        34.2400 │          30000 ║
║        457.4400 │             2.8490 │        34.2410 │          31800 ║
║        457.4400 │             2.8500 │        34.2420 │          33600 ║
║        457.4400 │             2.8500 │        34.2380 │          35400 ║
║        457.3600 │             2.8490 │        34.2430 │          37200 ║
║        457.2400 │             2.8480 │        34.2410 │          39000 ║
║        457.1200 │             2.8480 │        34.2390 │          40800 ║
║        456.9600 │             2.8480 │        34.2390 │          42600 ║
║        456.8000 │             2.8480 │        34.2410 │          44400 ║
║        456.6400 │             2.8490 │        34.2350 │          46200 ║
║        456.5200 │             2.8480 │        34.2360 │          48000 ║
║        456.4000 │             2.8420 │        34.2370 │          49800 ║
║        456.3200 │             2.8420 │        34.2410 │          51600 ║
║        456.2800 │             2.8430 │        34.2360 │          53400 ║
║        456.2800 │             2.8430 │        34.2370 │          55200 ║
║        456.3600 │             2.8450 │        34.2360 │          57000 ║
║        456.4400 │             2.8440 │        34.2370 │          58800 ║
║        456.6000 │             2.8440 │        34.2350 │          60600 ║
║        456.8000 │             2.8430 │        34.2380 │          62400 ║
║        457.0400 │             2.8420 │        34.2380 │          64200 ║
║        457.3200 │             2.8410 │        34.2360 │          66000 ║
║        457.5600 │             2.8410 │        34.2350 │          67800 ║
║        457.8000 │             2.8440 │        34.2360 │          69600 ║
║        458.0400 │             2.8430 │        34.2390 │          71400 ║
║        458.2000 │             2.8460 │        34.2380 │          73200 ║
║        458.3200 │             2.8450 │        34.2370 │          75000 ║
║        458.4000 │             2.8440 │        34.2350 │          76800 ║
║        458.4000 │             2.8420 │        34.2350 │          78600 ║
║        458.3600 │             2.8440 │        34.2360 │          80400 ║
║        458.2400 │             2.8440 │        34.2340 │          82200 ║
║        458.0800 │             2.8470 │        34.2350 │          84000 ║
║        457.9200 │             2.8470 │        34.2380 │          85800 ║
║        457.7200 │             2.8420 │        34.2370 │          87600 ║
║        457.4800 │             2.8420 │        34.2340 │          89400 ║
║        457.2800 │             2.8440 │        34.2340 │          91200 ║
║        457.0400 │             2.8470 │        34.2360 │          93000 ║
║        456.8400 │             2.8480 │        34.2380 │          94800 ║
║        456.6400 │             2.8490 │        34.2340 │          96600 ║
║        456.4800 │             2.8490 │        34.2370 │          98400 ║
║        456.3600 │             2.8490 │        34.2360 │         100200 ║
║        456.2800 │             2.8490 │        34.2320 │         102000 ║
║        456.2400 │             2.8460 │        34.2320 │         103800 ║
║        456.2800 │             2.8430 │        34.2150 │         105600 ║
║        456.3600 │             2.8440 │        34.1470 │         107400 ║
║        456.4800 │             2.8400 │        34.2330 │         109200 ║
║        456.6400 │             2.8400 │        34.2320 │         111000 ║
║        456.8000 │             2.8400 │        34.2310 │         112800 ║
║        456.9200 │             2.8380 │        34.2320 │         114600 ║
║        457.0400 │             2.8390 │        34.2340 │         116400 ║
║        457.1600 │             2.8390 │        34.2330 │         118200 ║
║        457.2800 │             2.8390 │        34.2330 │         120000 ║
║        457.3600 │             2.8380 │        34.2330 │         121800 ║
║        457.3600 │             2.8390 │        34.2290 │         123600 ║
