MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP
LGR_CP_PTSCI,20200930T064110,346.19821,2.54224,34.18446,30.75170,2.54407
LGR_CP_PTSCI,20200930T070105,345.18616,2.54196,34.18518,30.75159,2.53290
LGR_CP_PTSCI,20200930T070159,343.04233,2.54141,34.16208,30.73140,2.56934
LGR_CP_PTSCI,20200930T070230,341.00793,2.54065,34.13053,30.70421,2.56906
LGR_CP_PTSCI,20200930T070258,339.02380,2.54074,34.13586,30.70774,2.54596
LGR_CP_PTSCI,20200930T070324,336.98569,2.54004,34.13545,30.70588,2.58075
LGR_CP_PTSCI,20200930T070348,334.98438,2.53955,34.13605,30.70506,2.54257
LGR_CP_PTSCI,20200930T070412,332.97690,2.53915,34.13283,30.70120,2.51529
LGR_CP_PTSCI,20200930T070436,330.99429,2.53854,34.13461,30.70124,2.53348
LGR_CP_PTSCI,20200930T070500,329.00479,2.53824,34.13523,30.70058,2.52338
LGR_CP_PTSCI,20200930T070525,326.98645,2.53763,34.13422,30.69834,2.59122
LGR_CP_PTSCI,20200930T070551,324.99670,2.53625,34.13371,30.69585,2.53210
LGR_CP_PTSCI,20200930T070616,322.99432,2.53549,34.13369,30.69427,2.51572
LGR_CP_PTSCI,20200930T070642,321.00372,2.53473,34.13628,30.69483,2.51639
LGR_CP_PTSCI,20200930T070707,319.03430,2.52942,34.13388,30.68742,2.56104
LGR_CP_PTSCI,20200930T070733,317.01117,2.52261,34.13178,30.67892,2.52319
LGR_CP_PTSCI,20200930T070800,314.98807,2.51950,34.12968,30.67362,2.55713
LGR_CP_PTSCI,20200930T070827,312.99277,2.51715,34.12814,30.66945,2.57651
LGR_CP_PTSCI,20200930T070854,311.01532,2.51199,34.12681,30.66302,2.54907
LGR_CP_PTSCI,20200930T070921,309.03824,2.50302,34.12446,30.65247,2.56284
LGR_CP_PTSCI,20200930T070949,307.01382,2.48917,34.12139,30.63710,2.57568
LGR_CP_PTSCI,20200930T071018,305.00861,2.48364,34.11962,30.63000,2.53323
LGR_CP_PTSCI,20200930T071046,303.00150,2.47095,34.11712,30.61611,2.50476
LGR_CP_PTSCI,20200930T071116,300.98911,2.46054,34.11436,30.60398,2.55914
LGR_CP_PTSCI,20200930T071145,299.00217,2.45551,34.11320,30.59780,2.52805
LGR_CP_PTSCI,20200930T071215,297.02719,2.44659,34.11122,30.58761,2.50195
LGR_CP_PTSCI,20200930T071244,295.01108,2.44690,34.10936,30.58547,2.49387
LGR_CP_PTSCI,20200930T071310,293.01544,2.44760,34.10804,30.58412,2.47971
LGR_CP_PTSCI,20200930T071335,291.02908,2.44989,34.10678,30.58419,2.46194
LGR_CP_PTSCI,20200930T071401,289.02173,2.44949,34.10614,30.58242,2.53168
LGR_CP_PTSCI,20200930T071425,286.99274,2.45123,34.10682,30.58357,2.50687
LGR_CP_PTSCI,20200930T071447,284.97668,2.44995,34.10966,30.58386,2.47397
LGR_CP_PTSCI,20200930T071508,283.00143,2.45074,34.10973,30.58372,2.52948
LGR_CP_PTSCI,20200930T071528,281.01871,2.45074,34.10870,30.58199,2.44479
