MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP
LGR_CP_PTSCI,20200917T220415,233.00470,2.34515,34.14999,30.50260,2.46616
LGR_CP_PTSCI,20200917T220439,231.00781,2.33228,34.14755,30.48862,2.45523
LGR_CP_PTSCI,20200917T220504,229.01755,2.30658,34.13707,30.45709,2.43903
LGR_CP_PTSCI,20200917T220531,226.98688,2.29477,34.13186,30.44179,2.39832
LGR_CP_PTSCI,20200917T220601,224.95139,2.26041,34.12185,30.40317,2.37589
LGR_CP_PTSCI,20200917T220633,223.00955,2.24756,34.11532,30.38597,2.37015
LGR_CP_PTSCI,20200917T220708,221.04391,2.24692,34.11412,30.38356,2.33633
LGR_CP_PTSCI,20200917T220743,218.99146,2.24463,34.11314,30.37988,2.28616
LGR_CP_PTSCI,20200917T220818,216.99106,2.24112,34.10966,30.37316,2.31195
LGR_CP_PTSCI,20200917T220855,215.00162,2.23639,34.11006,30.36851,2.29370
LGR_CP_PTSCI,20200917T220930,212.99243,2.23511,34.10898,30.36563,2.29333
LGR_CP_PTSCI,20200917T221006,210.99908,2.23120,34.10751,30.36018,2.29453
LGR_CP_PTSCI,20200917T221042,209.00153,2.22525,34.10516,30.35227,2.29889
LGR_CP_PTSCI,20200917T221119,206.96762,2.22208,34.10401,30.34769,2.26834
LGR_CP_PTSCI,20200917T221157,205.04089,2.22037,34.10312,30.34463,2.23856
LGR_CP_PTSCI,20200917T221231,203.01141,2.21771,34.10152,30.34014,2.23172
LGR_CP_PTSCI,20200917T221302,201.02457,2.21729,34.10061,30.33815,2.24329
LGR_CP_PTSCI,20200917T221332,199.02545,2.21365,34.09849,30.33241,2.26468
LGR_CP_PTSCI,20200917T221358,197.00790,2.20605,34.09477,30.32198,2.23596
LGR_CP_PTSCI,20200917T221424,194.99225,2.20444,34.09333,30.31851,2.20605
LGR_CP_PTSCI,20200917T221449,193.03473,2.19809,34.09026,30.30970,2.24359
LGR_CP_PTSCI,20200917T221512,191.03839,2.19748,34.08984,30.30793,2.27789
LGR_CP_PTSCI,20200917T221534,189.03867,2.19342,34.08782,30.30191,2.25479
LGR_CP_PTSCI,20200917T221555,187.03650,2.19003,34.08618,30.29679,2.23376
