MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP
LGR_CP_PTSCI,20200915T060005,311.31732,2.55002,34.21581,30.76829,2.54169
LGR_CP_PTSCI,20200915T061543,308.90887,2.57959,34.22370,30.79925,2.59494
LGR_CP_PTSCI,20200915T061848,307.23535,2.58395,34.22485,30.80323,2.58621
LGR_CP_PTSCI,20200915T062005,305.01569,2.56992,34.22038,30.78642,2.58395
LGR_CP_PTSCI,20200915T062044,303.05362,2.56400,34.22059,30.78058,2.60425
LGR_CP_PTSCI,20200915T062113,301.01440,2.57401,34.22388,30.79101,2.63150
LGR_CP_PTSCI,20200915T062138,299.00763,2.57516,34.22410,30.79130,2.56723
LGR_CP_PTSCI,20200915T062201,296.99738,2.57806,34.22421,30.79299,2.62598
LGR_CP_PTSCI,20200915T062224,294.95932,2.57077,34.22289,30.78469,2.56638
LGR_CP_PTSCI,20200915T062246,292.98904,2.53369,34.21488,30.74516,2.61987
LGR_CP_PTSCI,20200915T062308,290.98312,2.52414,34.21078,30.73266,2.60394
LGR_CP_PTSCI,20200915T062335,288.98688,2.52625,34.21170,30.73433,2.57938
LGR_CP_PTSCI,20200915T062407,286.99521,2.52750,34.21188,30.73466,2.58484
LGR_CP_PTSCI,20200915T062439,284.98657,2.52866,34.21203,30.73490,2.57123
LGR_CP_PTSCI,20200915T062511,282.95364,2.51871,34.21033,30.72399,2.57703
LGR_CP_PTSCI,20200915T062549,281.02917,2.51379,34.20894,30.71774,2.55713
LGR_CP_PTSCI,20200915T062631,279.01566,2.50247,34.20534,30.70410,2.56708
LGR_CP_PTSCI,20200915T062712,277.03882,2.51904,34.20833,30.72000,2.58380
LGR_CP_PTSCI,20200915T062748,274.96802,2.50375,34.20586,30.70382,2.54257
LGR_CP_PTSCI,20200915T062825,272.93805,2.49802,34.20464,30.69695,2.56342
LGR_CP_PTSCI,20200915T062909,271.04578,2.44443,34.19098,30.63864,2.51508
LGR_CP_PTSCI,20200915T062955,269.02222,2.39926,34.17408,30.58501,2.51395
LGR_CP_PTSCI,20200915T063027,267.01874,2.34503,34.15338,30.52052,2.47482
LGR_CP_PTSCI,20200915T063056,265.04034,2.32614,34.14482,30.49642,2.47086
LGR_CP_PTSCI,20200915T063124,263.00818,2.31677,34.14050,30.48393,2.45349
LGR_CP_PTSCI,20200915T063149,260.98648,2.30606,34.13752,30.47138,2.44382
LGR_CP_PTSCI,20200915T063212,258.97894,2.25540,34.12296,30.41505,2.40350
LGR_CP_PTSCI,20200915T063234,257.00241,2.23883,34.11550,30.39387,2.34689
LGR_CP_PTSCI,20200915T063253,255.01205,2.23285,34.11349,30.38621,2.35150
LGR_CP_PTSCI,20200915T063312,253.02505,2.23013,34.11244,30.38213,2.33600
LGR_CP_PTSCI,20200915T063330,251.01309,2.22894,34.11207,30.37990,2.33768
LGR_CP_PTSCI,20200915T063349,248.96878,2.22827,34.11144,30.37789,2.34088
LGR_CP_PTSCI,20200915T063407,246.94846,2.22766,34.11143,30.37645,2.37253
LGR_CP_PTSCI,20200915T063425,244.98398,2.22690,34.11074,30.37436,2.34189
LGR_CP_PTSCI,20200915T063442,243.01407,2.22580,34.11024,30.37212,2.30429
LGR_CP_PTSCI,20200915T063500,240.98386,2.22232,34.10892,30.36715,2.29453
LGR_CP_PTSCI,20200915T063518,239.01996,2.22192,34.10827,30.36541,2.27991
LGR_CP_PTSCI,20200915T063535,237.05069,2.22107,34.10795,30.36353,2.24817
LGR_CP_PTSCI,20200915T063553,235.01401,2.21948,34.10769,30.36103,2.25305
LGR_CP_PTSCI,20200915T063611,233.00974,2.21655,34.10640,30.35657,2.26181
LGR_CP_PTSCI,20200915T063628,231.00674,2.21576,34.10608,30.35473,2.27258
LGR_CP_PTSCI,20200915T063646,229.00653,2.21417,34.10580,30.35224,2.27991
LGR_CP_PTSCI,20200915T063703,226.99951,2.21057,34.10489,30.34750,2.25793
LGR_CP_PTSCI,20200915T063721,224.97736,2.20947,34.10461,30.34542,2.23080
LGR_CP_PTSCI,20200915T063738,222.97278,2.20569,34.10395,30.34073,2.26181
LGR_CP_PTSCI,20200915T063755,221.00787,2.20288,34.10325,30.33686,2.25519
LGR_CP_PTSCI,20200915T063811,219.04160,2.19427,34.10185,30.32744,2.25925
LGR_CP_PTSCI,20200915T063828,217.01678,2.17996,34.09766,30.31084,2.20490
LGR_CP_PTSCI,20200915T063845,214.98145,2.17957,34.09690,30.30897,2.24631
LGR_CP_PTSCI,20200915T063902,212.97275,2.18204,34.09739,30.31058,2.19196
LGR_CP_PTSCI,20200915T063919,211.01031,2.18060,34.09652,30.30777,2.18677
LGR_CP_PTSCI,20200915T063936,209.02148,2.17139,34.09397,30.29689,2.20172
LGR_CP_PTSCI,20200915T063954,207.01541,2.16336,34.09101,30.28671,2.19931
LGR_CP_PTSCI,20200915T064012,205.01053,2.15894,34.08936,30.28066,2.16879
LGR_CP_PTSCI,20200915T064031,202.96808,2.14746,34.08508,30.26644,2.20352
LGR_CP_PTSCI,20200915T064050,200.96228,2.13812,34.08139,30.25454,2.19196
LGR_CP_PTSCI,20200915T064109,198.96570,2.13358,34.07991,30.24854,2.20074
LGR_CP_PTSCI,20200915T064129,196.97751,2.13177,34.07969,30.24592,2.21176
LGR_CP_PTSCI,20200915T064149,195.00073,2.13251,34.08019,30.24607,2.15002
LGR_CP_PTSCI,20200915T064210,193.00049,2.13367,34.08088,30.24671,2.16995
LGR_CP_PTSCI,20200915T064232,190.97229,2.11877,34.07755,30.23032,2.18597
LGR_CP_PTSCI,20200915T064254,188.96582,2.08401,34.06796,30.19184,2.16995
LGR_CP_PTSCI,20200915T064316,186.97565,2.07803,34.06348,30.18222,2.17395
LGR_CP_PTSCI,20200915T064338,184.99820,2.07199,34.05955,30.17298,2.13388
LGR_CP_PTSCI,20200915T064400,182.98715,2.05759,34.05486,30.15595,2.14407
LGR_CP_PTSCI,20200915T064423,180.95789,2.04907,34.05111,30.14472,2.12109
LGR_CP_PTSCI,20200915T064446,178.97607,2.04089,34.04794,30.13426,2.12491
LGR_CP_PTSCI,20200915T064509,176.99966,2.02966,34.04470,30.12113,2.14792
LGR_CP_PTSCI,20200915T064533,175.00153,2.02023,34.04038,30.10869,2.11969
LGR_CP_PTSCI,20200915T064558,172.98572,1.99426,34.03088,30.07790,2.11969
LGR_CP_PTSCI,20200915T064623,171.00327,1.99857,34.02547,30.07638,2.03317
LGR_CP_PTSCI,20200915T064648,169.02756,1.99945,34.02526,30.07608,2.03079
LGR_CP_PTSCI,20200915T064714,166.99948,2.01385,34.02477,30.08713,2.02399
LGR_CP_PTSCI,20200915T064740,164.99738,2.01935,34.02606,30.09197,2.01392
LGR_CP_PTSCI,20200915T064808,163.00403,2.02847,34.02563,30.09856,1.95975
LGR_CP_PTSCI,20200915T064835,161.00522,2.02844,34.02638,30.09823,2.02368
LGR_CP_PTSCI,20200915T064902,159.00638,2.01852,34.02600,30.08850,2.00357
LGR_CP_PTSCI,20200915T064928,157.00641,2.01480,34.02541,30.08394,1.95483
LGR_CP_PTSCI,20200915T064955,155.00403,2.01123,34.02436,30.07913,2.01376
LGR_CP_PTSCI,20200915T065021,153.01068,2.05008,34.02298,30.11047,1.96017
LGR_CP_PTSCI,20200915T065049,150.99408,2.10178,34.01846,30.15033,2.01547
LGR_CP_PTSCI,20200915T065118,149.00082,2.11121,34.01455,30.15439,1.98157
LGR_CP_PTSCI,20200915T065148,147.02515,2.11868,34.01158,30.15755,1.98550
LGR_CP_PTSCI,20200915T065219,145.03247,2.12027,34.01072,30.15732,2.06757
LGR_CP_PTSCI,20200915T065247,142.98874,2.11737,34.00564,30.14983,2.04004
LGR_CP_PTSCI,20200915T065314,140.98944,2.13016,33.99876,30.15439,1.96951
LGR_CP_PTSCI,20200915T065340,139.01050,2.12512,33.99517,30.14629,2.03845
LGR_CP_PTSCI,20200915T065405,136.98621,2.10794,33.98840,30.12521,2.04239
LGR_CP_PTSCI,20200915T065428,135.00256,2.11276,33.97906,30.12098,2.06158
LGR_CP_PTSCI,20200915T065451,133.01541,2.12012,33.97492,30.12307,2.06351
LGR_CP_PTSCI,20200915T065514,130.99982,2.07440,33.96305,30.07345,2.07623
LGR_CP_PTSCI,20200915T065538,128.98593,2.07303,33.95189,30.06243,2.07886
LGR_CP_PTSCI,20200915T065601,126.98881,2.07431,33.95094,30.06186,2.07254
LGR_CP_PTSCI,20200915T065625,125.00373,2.07452,33.94995,30.06036,2.06924
LGR_CP_PTSCI,20200915T065648,123.03669,2.08124,33.94616,30.06219,2.06735
LGR_CP_PTSCI,20200915T065711,121.03077,2.08859,33.94134,30.06373,2.01740
LGR_CP_PTSCI,20200915T065734,119.02045,2.08963,33.93069,30.05518,2.02512
LGR_CP_PTSCI,20200915T065757,117.00694,2.09680,33.92669,30.05721,2.03204
LGR_CP_PTSCI,20200915T065821,114.98763,2.11560,33.91912,30.06634,2.01733
LGR_CP_PTSCI,20200915T065845,112.97549,2.12210,33.91506,30.06775,2.06152
LGR_CP_PTSCI,20200915T065909,110.99769,2.12704,33.91306,30.06949,2.01355
LGR_CP_PTSCI,20200915T065932,109.01556,2.13693,33.90738,30.07251,2.00073
LGR_CP_PTSCI,20200915T065956,107.01572,2.14493,33.90397,30.07572,2.04495
LGR_CP_PTSCI,20200915T070020,105.03886,2.15286,33.90314,30.08097,2.01361
LGR_CP_PTSCI,20200915T070044,103.01598,2.15897,33.90177,30.08418,2.05084
LGR_CP_PTSCI,20200915T070109,100.99049,2.16422,33.90056,30.08679,2.09277
LGR_CP_PTSCI,20200915T070133,99.00787,2.16843,33.90024,30.08924,2.07440
LGR_CP_PTSCI,20200915T070157,97.00434,2.17322,33.89876,30.09126,2.05438
LGR_CP_PTSCI,20200915T070222,94.97799,2.18088,33.89576,30.09449,2.11087
LGR_CP_PTSCI,20200915T070247,92.99562,2.20242,33.88928,30.10686,2.13504
LGR_CP_PTSCI,20200915T070311,91.00809,2.29907,33.88638,30.18648,2.11569
LGR_CP_PTSCI,20200915T070337,89.00517,2.32224,33.87651,30.19749,2.10382
LGR_CP_PTSCI,20200915T070402,87.01151,2.36441,33.84115,30.20424,2.12418
LGR_CP_PTSCI,20200915T070428,84.99400,2.38123,33.83381,30.21182,2.16260
LGR_CP_PTSCI,20200915T070458,82.99112,2.37811,33.82985,30.20505,2.21249
LGR_CP_PTSCI,20200915T070528,81.00517,2.35886,33.82117,30.18064,2.22861
LGR_CP_PTSCI,20200915T070558,79.01112,2.33456,33.81364,30.15288,2.20474
