MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP
LGR_CP_PTSCI,20201011T195710,340.03552,2.50415,34.07107,30.62399,2.49796
LGR_CP_PTSCI,20201011T201641,339.26135,2.50360,34.06672,30.61963,2.51529
LGR_CP_PTSCI,20201011T201737,337.04877,2.50204,34.07016,30.62010,2.52893
LGR_CP_PTSCI,20201011T201809,335.04227,2.50137,34.07142,30.61965,2.51453
LGR_CP_PTSCI,20201011T201837,332.98410,2.50104,34.07143,30.61845,2.52338
LGR_CP_PTSCI,20201011T201902,330.98172,2.49924,34.06854,30.61365,2.51712
LGR_CP_PTSCI,20201011T201926,329.00452,2.49622,34.06888,30.61044,2.55350
LGR_CP_PTSCI,20201011T201950,326.98715,2.49527,34.06715,30.60732,2.48322
LGR_CP_PTSCI,20201011T202015,324.97711,2.49313,34.06685,30.60434,2.50620
LGR_CP_PTSCI,20201011T202039,322.97540,2.49161,34.06406,30.59986,2.53531
LGR_CP_PTSCI,20201011T202103,321.00519,2.48874,34.06235,30.59512,2.52551
LGR_CP_PTSCI,20201011T202126,319.02576,2.48294,34.05944,30.58688,2.50620
LGR_CP_PTSCI,20201011T202150,317.01425,2.48169,34.06137,30.58647,2.50461
LGR_CP_PTSCI,20201011T202213,315.00977,2.48022,34.06127,30.58422,2.51602
LGR_CP_PTSCI,20201011T202236,312.98141,2.47849,34.06187,30.58231,2.54257
LGR_CP_PTSCI,20201011T202259,310.97281,2.46771,34.05782,30.56883,2.55399
LGR_CP_PTSCI,20201011T202322,308.98254,2.46484,34.05651,30.56440,2.50592
LGR_CP_PTSCI,20201011T202347,306.98822,2.46854,34.05763,30.56761,2.50900
LGR_CP_PTSCI,20201011T202413,304.99402,2.47031,34.06000,30.57017,2.52966
LGR_CP_PTSCI,20201011T202440,302.99078,2.46307,34.05738,30.56091,2.48645
LGR_CP_PTSCI,20201011T202508,300.98575,2.46298,34.05693,30.55956,2.45361
LGR_CP_PTSCI,20201011T202535,299.00793,2.45209,34.05388,30.54682,2.51672
LGR_CP_PTSCI,20201011T202602,296.99207,2.45554,34.05434,30.54926,2.46771
LGR_CP_PTSCI,20201011T202630,294.97818,2.44974,34.05333,30.54254,2.47784
LGR_CP_PTSCI,20201011T202659,293.00888,2.44583,34.05132,30.53667,2.46127
LGR_CP_PTSCI,20201011T202728,291.03458,2.44440,34.05146,30.53466,2.48837
LGR_CP_PTSCI,20201011T202757,289.01102,2.44312,34.05089,30.53219,2.45071
LGR_CP_PTSCI,20201011T202826,286.98871,2.44193,34.05033,30.52980,2.46252
LGR_CP_PTSCI,20201011T202856,285.00714,2.43259,34.04750,30.51858,2.47244
LGR_CP_PTSCI,20201011T202929,283.05099,2.43024,34.04760,30.51576,2.43262
LGR_CP_PTSCI,20201011T203000,281.02716,2.43042,34.04721,30.51470,2.44873
LGR_CP_PTSCI,20201011T203027,279.00537,2.43002,34.04702,30.51329,2.48669
LGR_CP_PTSCI,20201011T203052,277.00903,2.42630,34.04640,30.50869,2.48145
LGR_CP_PTSCI,20201011T203117,275.00345,2.42358,34.04589,30.50504,2.47708
LGR_CP_PTSCI,20201011T203141,272.96451,2.41785,34.04346,30.49722,2.48184
LGR_CP_PTSCI,20201011T203204,270.97443,2.41809,34.03968,30.49347,2.47708
LGR_CP_PTSCI,20201011T203226,268.97827,2.41135,34.03667,30.48433,2.42239
LGR_CP_PTSCI,20201011T203250,266.99603,2.40787,34.03251,30.47708,2.44382
LGR_CP_PTSCI,20201011T203313,264.99704,2.40598,34.03233,30.47441,2.43597
LGR_CP_PTSCI,20201011T203338,263.00931,2.40610,34.02954,30.47137,2.46472
LGR_CP_PTSCI,20201011T203401,261.01199,2.40509,34.02957,30.46963,2.42606
LGR_CP_PTSCI,20201011T203425,258.99115,2.39911,34.02131,30.45689,2.46094
LGR_CP_PTSCI,20201011T203448,257.00363,2.39282,34.01403,30.44470,2.47992
LGR_CP_PTSCI,20201011T203511,255.02368,2.39108,34.01164,30.44039,2.46664
LGR_CP_PTSCI,20201011T203534,253.01743,2.38837,34.00933,30.43528,2.46979
LGR_CP_PTSCI,20201011T203558,251.01300,2.36261,33.99978,30.40451,2.46472
LGR_CP_PTSCI,20201011T203621,249.02560,2.34970,33.99347,30.38741,2.45712
LGR_CP_PTSCI,20201011T203644,247.01602,2.34079,33.98708,30.37369,2.43619
LGR_CP_PTSCI,20201011T203707,245.01736,2.33685,33.98394,30.36688,2.39624
LGR_CP_PTSCI,20201011T203730,243.02667,2.33563,33.98452,30.36539,2.39505
LGR_CP_PTSCI,20201011T203754,241.02634,2.32736,33.97733,30.35158,2.38593
LGR_CP_PTSCI,20201011T203818,239.02744,2.32651,33.97501,30.34808,2.42371
LGR_CP_PTSCI,20201011T203843,237.00058,2.33417,33.97519,30.35391,2.37991
LGR_CP_PTSCI,20201011T203908,234.98370,2.33954,33.97482,30.35732,2.35922
LGR_CP_PTSCI,20201011T203934,232.98560,2.34332,33.97478,30.35964,2.40173
LGR_CP_PTSCI,20201011T204001,230.99915,2.35736,33.97332,30.36964,2.42722
LGR_CP_PTSCI,20201011T204026,228.98074,2.37698,33.97104,30.38378,2.36942
LGR_CP_PTSCI,20201011T204051,226.99695,2.37640,33.96911,30.38083,2.34390
LGR_CP_PTSCI,20201011T204115,225.00616,2.37247,33.96301,30.37162,2.41846
LGR_CP_PTSCI,20201011T204140,222.99106,2.37274,33.95985,30.36841,2.39572
LGR_CP_PTSCI,20201011T204205,220.99405,2.37680,33.95440,30.36659,2.36603
LGR_CP_PTSCI,20201011T204232,218.99863,2.37643,33.95409,30.36514,2.38788
LGR_CP_PTSCI,20201011T204258,217.00189,2.37656,33.95248,30.36304,2.39362
LGR_CP_PTSCI,20201011T204325,214.99695,2.37646,33.95222,30.36185,2.35715
LGR_CP_PTSCI,20201011T204350,212.99814,2.37555,33.94536,30.35463,2.36768
