=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 77
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-02-06 06:17:00 UTC
latitude:  69.0950683
longitude: -51.985653
ttf:       10
nsat:      6
min snr:   26
mean snr:  33
max snr:   39
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-02-11 08:55:00 UTC
latitude:  69.0966182
longitude: -51.9748802
ttf:       230
nsat:      5
min snr:   0
mean snr:  30
max snr:   39
hdop:      4.6

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        467.2000 │             2.8260 │        34.2280 │           1200 ║
║        467.4000 │             2.8220 │        34.2300 │           3000 ║
║        467.6400 │             2.8250 │        34.2280 │           4800 ║
║        467.8400 │             2.8260 │        34.2280 │           6600 ║
║        468.0400 │             2.8230 │        34.2280 │           8400 ║
║        468.2000 │             2.8210 │        34.2270 │          10200 ║
║        468.3200 │             2.8210 │        34.2220 │          12000 ║
║        468.4400 │             2.8190 │        34.2270 │          13800 ║
║        468.4800 │             2.8210 │        34.2270 │          15600 ║
║        468.4800 │             2.8220 │        34.2230 │          17400 ║
║        468.4000 │             2.8220 │        34.2270 │          19200 ║
║        468.2800 │             2.8230 │        34.2260 │          21000 ║
║        468.1200 │             2.8230 │        34.2240 │          22800 ║
║        467.9200 │             2.8220 │        34.2240 │          24600 ║
║        467.7200 │             2.8220 │        34.2250 │          26400 ║
║        467.4800 │             2.8200 │        34.2250 │          28200 ║
║        467.3200 │             2.8200 │        34.2260 │          30000 ║
║        467.1200 │             2.8210 │        34.2240 │          31800 ║
║        466.9600 │             2.8260 │        34.2230 │          33600 ║
║        466.8000 │             2.8280 │        34.2260 │          35400 ║
║        466.7200 │             2.8260 │        34.2310 │          37200 ║
║        466.6400 │             2.8330 │        34.2230 │          39000 ║
║        466.6400 │             2.8350 │        34.2270 │          40800 ║
║        466.6800 │             2.8350 │        34.2280 │          42600 ║
║        466.7200 │             2.8340 │        34.2240 │          44400 ║
║        466.8400 │             2.8350 │        34.2260 │          46200 ║
║        466.9600 │             2.8350 │        34.2270 │          48000 ║
║        467.0800 │             2.8330 │        34.2260 │          49800 ║
║        467.2400 │             2.8340 │        34.2260 │          51600 ║
║        467.4000 │             2.8310 │        34.2250 │          53400 ║
║        467.5600 │             2.8260 │        34.2230 │          55200 ║
║        467.7200 │             2.8260 │        34.2200 │          57000 ║
║        467.8000 │             2.8230 │        34.2220 │          58800 ║
║        467.8800 │             2.8230 │        34.2220 │          60600 ║
║        467.8800 │             2.8190 │        34.2190 │          62400 ║
║        467.8400 │             2.8180 │        34.2180 │          64200 ║
║        467.7600 │             2.8200 │        34.2170 │          66000 ║
║        467.6400 │             2.8200 │        34.2200 │          67800 ║
║        467.4800 │             2.8200 │        34.2170 │          69600 ║
║        467.3600 │             2.8200 │        34.2190 │          71400 ║
║        467.2000 │             2.8210 │        34.2200 │          73200 ║
║        467.0800 │             2.8260 │        34.2190 │          75000 ║
║        467.0000 │             2.8250 │        34.2190 │          76800 ║
║        466.9200 │             2.8260 │        34.2200 │          78600 ║
║        466.8800 │             2.8230 │        34.2150 │          80400 ║
║        466.8800 │             2.8240 │        34.2170 │          82200 ║
║        466.8800 │             2.8240 │        34.2180 │          84000 ║
║        466.9600 │             2.8200 │        34.2170 │          85800 ║
║        467.0400 │             2.8230 │        34.2170 │          87600 ║
║        467.1600 │             2.8220 │        34.2180 │          89400 ║
║        467.2800 │             2.8230 │        34.2180 │          91200 ║
║        467.4400 │             2.8220 │        34.2170 │          93000 ║
║        467.6000 │             2.8200 │        34.2170 │          94800 ║
║        467.7200 │             2.8210 │        34.2150 │          96600 ║
║        467.8800 │             2.8200 │        34.2160 │          98400 ║
║        468.0000 │             2.8210 │        34.2170 │         100200 ║
║        468.0800 │             2.8200 │        34.2160 │         102000 ║
║        468.1200 │             2.8200 │        34.2170 │         103800 ║
║        468.1600 │             2.8190 │        34.2160 │         105600 ║
║        468.1200 │             2.8170 │        34.2130 │         107400 ║
║        468.0400 │             2.8160 │        34.2130 │         109200 ║
║        467.9200 │             2.8170 │        34.2150 │         111000 ║
║        467.7600 │             2.8160 │        34.2130 │         112800 ║
║        467.6000 │             2.8190 │        34.2130 │         114600 ║
║        467.4400 │             2.8190 │        34.2160 │         116400 ║
║        467.2400 │             2.8170 │        34.2150 │         118200 ║
║        467.0800 │             2.8170 │        34.2120 │         120000 ║
║        466.9200 │             2.8190 │        34.2120 │         121800 ║
║        466.8000 │             2.8200 │        34.2140 │         123600 ║
║        466.7200 │             2.8190 │        34.2130 │         125400 ║
║        466.6800 │             2.8190 │        34.2140 │         127200 ║
║        466.6400 │             2.8180 │        34.2120 │         129000 ║
║        466.6800 │             2.8190 │        34.2120 │         130800 ║
