=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 61
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-11-16 08:58:00 UTC
latitude:  69.093438
longitude: -51.9882407
ttf:       0
nsat:      5
min snr:   31
mean snr:  38
max snr:   42
hdop:      1

fix kind:  DiveEnd
fix time:  2021-11-21 11:35:00 UTC
latitude:  69.0931073
longitude: -51.9830195
ttf:       30
nsat:      8
min snr:   0
mean snr:  32
max snr:   44
hdop:      1

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        459.1200 │             2.6920 │        34.2190 │           3001 ║
║        458.9600 │             2.6890 │        34.2140 │           4801 ║
║        458.8400 │             2.6910 │        34.2130 │           6601 ║
║        458.7600 │             2.6910 │        34.2130 │           8401 ║
║        458.7200 │             2.6930 │        34.2140 │          10201 ║
║        458.7200 │             2.7120 │        34.2220 │          12001 ║
║        458.7600 │             2.7470 │        34.2280 │          13801 ║
║        458.8800 │             2.7520 │        34.2300 │          15601 ║
║        459.0400 │             2.7590 │        34.2310 │          17401 ║
║        459.1600 │             2.7620 │        34.2270 │          19201 ║
║        459.3200 │             2.7600 │        34.2300 │          21001 ║
║        459.4800 │             2.7560 │        34.2300 │          22801 ║
║        459.6400 │             2.7580 │        34.2270 │          24601 ║
║        459.7600 │             2.7570 │        34.2300 │          26401 ║
║        459.8400 │             2.7580 │        34.2290 │          28201 ║
║        459.8800 │             2.7570 │        34.2290 │          30001 ║
║        459.9200 │             2.7570 │        34.2300 │          31801 ║
║        459.8800 │             2.7520 │        34.2280 │          33601 ║
║        459.7600 │             2.7410 │        34.2260 │          35401 ║
║        459.6400 │             2.7500 │        34.2250 │          37201 ║
║        459.4800 │             2.7170 │        34.2340 │          39001 ║
║        459.2800 │             2.7270 │        34.2220 │          40801 ║
║        459.0800 │             2.7160 │        34.2190 │          42601 ║
║        458.8400 │             2.7020 │        34.2150 │          44401 ║
║        458.6400 │             2.7020 │        34.2140 │          46201 ║
║        458.4400 │             2.7000 │        34.2140 │          48001 ║
║        458.2800 │             2.7020 │        34.2140 │          49801 ║
║        458.1600 │             2.7080 │        34.2150 │          51601 ║
║        458.1200 │             2.7110 │        34.2160 │          53401 ║
║        458.1200 │             2.7110 │        34.2160 │          55201 ║
║        458.2000 │             2.7100 │        34.2170 │          57001 ║
║        458.3200 │             2.7270 │        34.2200 │          58801 ║
║        458.4800 │             2.7410 │        34.2270 │          60601 ║
║        458.6800 │             2.7420 │        34.2250 │          62401 ║
║        458.8800 │             2.7390 │        34.2250 │          64201 ║
║        459.1200 │             2.7420 │        34.2280 │          66001 ║
║        459.3200 │             2.7390 │        34.2240 │          67801 ║
║        459.5600 │             2.7290 │        34.2260 │          69601 ║
║        459.7600 │             2.7170 │        34.2190 │          71401 ║
║        459.8800 │             2.7100 │        34.2150 │          73201 ║
║        460.0000 │             2.7060 │        34.2170 │          75001 ║
║        460.0800 │             2.6960 │        34.2120 │          76801 ║
║        460.0400 │             2.6920 │        34.2130 │          78601 ║
║        459.9600 │             2.6850 │        34.2100 │          80401 ║
║        459.8400 │             2.6820 │        34.2080 │          82201 ║
║        459.7200 │             2.6820 │        34.2070 │          84001 ║
║        459.5200 │             2.6830 │        34.2090 │          85801 ║
║        459.3600 │             2.6840 │        34.2090 │          87601 ║
║        459.1600 │             2.6860 │        34.2090 │          89401 ║
║        458.9600 │             2.6920 │        34.2110 │          91201 ║
║        458.8000 │             2.6920 │        34.2110 │          93001 ║
