=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 88
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  2022-04-08 19:42:00 UTC
latitude:  69.103968
longitude: -51.9383141
ttf:       80
nsat:      9
min snr:   0
mean snr:  34
max snr:   46
hdop:      0.9

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        411.2800 │             2.8640 │        34.2070 │          17401 ║
║        411.0800 │             2.8640 │        34.2030 │          19201 ║
║        410.8800 │             2.8660 │        34.2020 │          21001 ║
║        410.6800 │             2.8650 │        34.1990 │          22801 ║
║        410.4400 │             2.8410 │        34.1940 │          24601 ║
║        410.2400 │             2.8450 │        34.1970 │          26401 ║
║        410.0400 │             2.8450 │        34.1960 │          28201 ║
║        409.8800 │             2.8460 │        34.1950 │          30001 ║
║        409.7200 │             2.8440 │        34.1960 │          31801 ║
║        409.6000 │             2.8450 │        34.1960 │          33601 ║
║        409.5600 │             2.8430 │        34.1970 │          35401 ║
║        409.5600 │             2.8480 │        34.1950 │          37201 ║
║        409.6000 │             2.8490 │        34.1940 │          39001 ║
║        409.7200 │             2.8530 │        34.1950 │          40801 ║
║        409.8800 │             2.8580 │        34.2000 │          42601 ║
║        410.0800 │             2.8630 │        34.2010 │          44401 ║
║        410.2800 │             2.8670 │        34.2060 │          46201 ║
║        410.4800 │             2.8670 │        34.2030 │          48001 ║
║        410.6800 │             2.8690 │        34.2070 │          49801 ║
║        410.8400 │             2.8690 │        34.2050 │          51601 ║
║        410.9600 │             2.8700 │        34.2040 │          53401 ║
║        411.0400 │             2.8690 │        34.2070 │          55201 ║
║        411.0800 │             2.8680 │        34.2080 │          57001 ║
║        411.0800 │             2.8680 │        34.2040 │          58801 ║
║        411.0000 │             2.8680 │        34.2050 │          60601 ║
║        410.8800 │             2.8660 │        34.2040 │          62401 ║
║        410.6800 │             2.8660 │        34.2010 │          64201 ║
║        410.4800 │             2.8550 │        34.1970 │          66001 ║
║        410.2400 │             2.8390 │        34.1900 │          67801 ║
║        410.0000 │             2.8450 │        34.1910 │          69601 ║
║        409.8000 │             2.8550 │        34.1970 │          71401 ║
║        409.6000 │             2.8570 │        34.1960 │          73201 ║
║        409.4800 │             2.8560 │        34.1960 │          75001 ║
║        409.4000 │             2.8570 │        34.1970 │          76801 ║
║        409.3600 │             2.8580 │        34.1970 │          78601 ║
║        409.3600 │             2.8600 │        34.1960 │          80401 ║
║        409.4400 │             2.8590 │        34.1960 │          82201 ║
║        409.5200 │             2.8590 │        34.1980 │          84001 ║
║        409.6800 │             2.8620 │        34.1960 │          85801 ║
║        409.8800 │             2.8620 │        34.2000 │          87601 ║
║        410.1200 │             2.8790 │        34.2030 │          89401 ║
║        410.4000 │             2.8820 │        34.2020 │          91201 ║
║        410.6400 │             2.8800 │        34.2010 │          93001 ║
║        410.8800 │             2.8780 │        34.2030 │          94801 ║
║        411.1200 │             2.8780 │        34.2010 │          96601 ║
║        411.2800 │             2.8800 │        34.2030 │          98401 ║
║        411.3600 │             2.8790 │        34.2040 │         100201 ║
║        411.4000 │             2.8790 │        34.2020 │         102001 ║
║        411.3600 │             2.8750 │        34.2030 │         103801 ║
║        411.2400 │             2.8730 │        34.1990 │         105601 ║
║        411.1200 │             2.8700 │        34.1990 │         107401 ║
║        410.9200 │             2.8560 │        34.1950 │         109201 ║
║        410.7600 │             2.8450 │        34.1880 │         111001 ║
║        410.5600 │             2.8460 │        34.1910 │         112801 ║
║        410.3600 │             2.8450 │        34.1920 │         114601 ║
║        410.1600 │             2.8500 │        34.1920 │         116401 ║
║        410.0000 │             2.8550 │        34.1930 │         118201 ║
║        409.8400 │             2.8570 │        34.1970 │         120001 ║
║        409.7600 │             2.8590 │        34.1950 │         121801 ║
║        409.6800 │             2.8600 │        34.1970 │         123601 ║
║        409.7200 │             2.8600 │        34.1950 │         125401 ║
║        409.7600 │             2.8580 │        34.1940 │         127201 ║
║        409.8800 │             2.8570 │        34.1960 │         129001 ║
║        410.0000 │             2.8590 │        34.1920 │         130801 ║
║        410.1200 │             2.8610 │        34.1950 │         132601 ║
║        410.2800 │             2.8690 │        34.1950 │         134401 ║
║        410.4000 │             2.8770 │        34.1880 │         136201 ║
║        410.5200 │             2.8760 │        34.1990 │         138001 ║
║        410.6800 │             2.8760 │        34.1990 │         139801 ║
║        410.7600 │             2.8750 │        34.2030 │         141601 ║
║        410.8400 │             2.8740 │        34.2030 │         143401 ║
║        410.8800 │             2.8760 │        34.1990 │         145201 ║
║        410.8800 │             2.8750 │        34.1980 │         147001 ║
║        410.8400 │             2.8740 │        34.2010 │         148801 ║
║        410.7200 │             2.8710 │        34.1980 │         150601 ║
║        410.5600 │             2.8670 │        34.1960 │         152401 ║
║        410.3600 │             2.8380 │        34.1850 │         154201 ║
║        410.1600 │             2.8470 │        34.1870 │         156001 ║
║        409.9600 │             2.8510 │        34.1920 │         157801 ║
║        409.8000 │             2.8560 │        34.1920 │         159601 ║
║        409.6400 │             2.8670 │        34.1950 │         161401 ║
║        409.5200 │             2.8850 │        34.2000 │         163201 ║
║        409.4400 │             2.8840 │        34.2000 │         165001 ║
║        409.4000 │             2.8890 │        34.2010 │         166801 ║
║        409.4000 │             2.8900 │        34.1980 │         168601 ║
║        409.4800 │             2.8910 │        34.1980 │         170401 ║
║        409.6000 │             2.9030 │        34.2020 │         172201 ║
║        409.7600 │             2.8900 │        34.2000 │         174001 ║
║        409.9600 │             2.8840 │        34.2020 │         175801 ║
║        410.1600 │             2.8740 │        34.1990 │         177601 ║
║        410.4000 │             2.8770 │        34.1980 │         179401 ║
║        410.6400 │             2.8780 │        34.2000 │         181201 ║
║        410.8400 │             2.8780 │        34.2000 │         183001 ║
║        411.0000 │             2.8780 │        34.2030 │         184801 ║
║        411.1600 │             2.8790 │        34.2000 │         186601 ║
║        411.2400 │             2.8790 │        34.2010 │         188401 ║
║        411.2800 │             2.8780 │        34.2000 │         190201 ║
║        411.2400 │             2.8760 │        34.2010 │         192001 ║
║        411.2000 │             2.8750 │        34.1980 │         193801 ║
║        411.0800 │             2.8700 │        34.1940 │         195601 ║
║        410.9200 │             2.8590 │        34.1930 │         197401 ║
║        410.7600 │             2.8470 │        34.1840 │         199201 ║
║        410.6000 │             2.8410 │        34.1840 │         201001 ║
║        410.4400 │             2.8490 │        34.1870 │         202801 ║
║        410.2800 │             2.8490 │        34.1850 │         204601 ║
║        410.1200 │             2.8560 │        34.1930 │         206401 ║
║        410.0000 │             2.8600 │        34.1920 │         208201 ║
║        409.9200 │             2.8610 │        34.1870 │         210001 ║
║        409.8400 │             2.8560 │        34.1910 │         211801 ║
║        409.8400 │             2.8590 │        34.1910 │         213601 ║
║        409.8800 │             2.8620 │        34.1880 │         215401 ║
║        409.9200 │             2.8610 │        34.1890 │         217201 ║
