=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 52
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-10-01 07:54:00 UTC
latitude:  69.0997306
longitude: -51.9729104
ttf:       0
nsat:      9
min snr:   0
mean snr:  33
max snr:   45
hdop:      0.9

fix kind:  DiveEnd
fix time:  2021-10-06 10:26:00 UTC
latitude:  69.100839
longitude: -51.9700261
ttf:       90
nsat:      6
min snr:   0
mean snr:  34
max snr:   45
hdop:      1.4

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1633074879 │          0.2000 │ descent start ║
║ 1633075203 │         10.2000 │       descent ║
║ 1633075271 │         20.0400 │       descent ║
║ 1633075343 │         30.1200 │       descent ║
║ 1633075427 │         40.1600 │       descent ║
║ 1633075517 │         50.1600 │       descent ║
║ 1633075520 │         50.4800 │  descent pump ║
║ 1633075607 │         60.0000 │       descent ║
║ 1633075701 │         70.0400 │       descent ║
║ 1633075796 │         80.0800 │       descent ║
║ 1633075892 │         90.0000 │       descent ║
║ 1633075989 │        100.0800 │       descent ║
║ 1633076088 │        110.0400 │       descent ║
║ 1633076187 │        120.0400 │       descent ║
║ 1633076285 │        130.0400 │       descent ║
║ 1633076381 │        140.0400 │       descent ║
║ 1633076475 │        150.0000 │       descent ║
║ 1633076568 │        160.0800 │       descent ║
║ 1633076661 │        170.0400 │       descent ║
║ 1633076760 │        180.0000 │       descent ║
║ 1633076863 │        190.0400 │       descent ║
║ 1633076967 │        200.0400 │       descent ║
║ 1633077074 │        210.0000 │       descent ║
║ 1633077182 │        220.0400 │       descent ║
║ 1633077289 │        230.0800 │       descent ║
║ 1633077326 │        233.5600 │  descent seek ║
║ 1633077675 │        267.0000 │       descent ║
║ 1633077774 │        277.0000 │       descent ║
║ 1633077874 │        287.0800 │       descent ║
║ 1633077973 │        297.0800 │       descent ║
║ 1633078071 │        307.0400 │       descent ║
║ 1633078169 │        317.0000 │       descent ║
║ 1633078269 │        327.0400 │       descent ║
║ 1633078369 │        337.0400 │       descent ║
║ 1633078472 │        347.0400 │       descent ║
║ 1633078578 │        357.0400 │       descent ║
║ 1633078682 │        367.0000 │       descent ║
║ 1633078784 │        377.0400 │       descent ║
║ 1633078886 │        387.0800 │       descent ║
║ 1633078985 │        397.0000 │       descent ║
║ 1633079085 │        407.0400 │       descent ║
║ 1633079189 │        417.0400 │       descent ║
║ 1633079295 │        427.0800 │       descent ║
║ 1633079404 │        437.0400 │       descent ║
║ 1633079513 │        447.0800 │       descent ║
║ 1633079621 │        457.0000 │       descent ║
║ 1633080221 │        466.2800 │       descent ║
║ 1633080821 │        466.2400 │       descent ║
║ 1633081274 │        466.2400 │  descent seek ║
║ 1633081421 │        466.2400 │       descent ║
║ 1633082021 │        466.2400 │       descent ║
║ 1633082621 │        466.2400 │       descent ║
║ 1633083221 │        466.2400 │       descent ║
║ 1633083821 │        466.2000 │       descent ║
║ 1633084421 │        466.2000 │       descent ║
║ 1633084907 │        466.1600 │  descent seek ║
║ 1633085021 │        466.1600 │       descent ║
║ 1633085621 │        466.1600 │       descent ║
║ 1633086221 │        466.1600 │       descent ║
║ 1633086821 │        466.1200 │       descent ║
║ 1633087421 │        466.1200 │       descent ║
║ 1633088021 │        466.0800 │       descent ║
║ 1633088621 │        466.0800 │       descent ║
║ 1633089221 │        466.0400 │       descent ║
║ 1633089821 │        466.0400 │       descent ║
║ 1633090421 │        466.0000 │       descent ║
║ 1633091021 │        466.0000 │       descent ║
║ 1633091621 │        466.0000 │       descent ║
║ 1633092139 │        465.9600 │       descent ║
║ 1633513346 │        466.5600 │  ascent start ║
║ 1633513572 │        456.8000 │        ascent ║
║ 1633513665 │        446.8000 │        ascent ║
║ 1633513742 │        436.7600 │        ascent ║
║ 1633513816 │        426.9600 │        ascent ║
║ 1633513889 │        416.9600 │        ascent ║
║ 1633513955 │        406.8400 │        ascent ║
║ 1633514021 │        396.8800 │        ascent ║
║ 1633514087 │        386.7600 │        ascent ║
║ 1633514144 │        376.8000 │        ascent ║
║ 1633514200 │        366.9200 │        ascent ║
║ 1633514257 │        356.8400 │        ascent ║
║ 1633514313 │        346.7200 │        ascent ║
║ 1633514363 │        336.9200 │        ascent ║
║ 1633514415 │        326.8400 │        ascent ║
║ 1633514467 │        316.9600 │        ascent ║
║ 1633514519 │        306.7600 │        ascent ║
║ 1633514567 │        296.7200 │        ascent ║
║ 1633514616 │        286.6400 │        ascent ║
║ 1633514663 │        276.7200 │        ascent ║
║ 1633514709 │        266.9600 │        ascent ║
║ 1633514757 │        256.8000 │        ascent ║
║ 1633514801 │        246.8400 │        ascent ║
║ 1633514845 │        236.8400 │        ascent ║
║ 1633514889 │        226.8400 │        ascent ║
║ 1633514934 │        216.7200 │        ascent ║
║ 1633514978 │        206.7200 │        ascent ║
║ 1633515022 │        196.8800 │        ascent ║
║ 1633515066 │        186.9600 │        ascent ║
║ 1633515112 │        176.8000 │        ascent ║
║ 1633515158 │        166.6000 │        ascent ║
║ 1633515202 │        156.8400 │        ascent ║
║ 1633515248 │        146.7200 │        ascent ║
║ 1633515294 │        136.6400 │        ascent ║
║ 1633515340 │        126.6400 │        ascent ║
║ 1633515386 │        116.8400 │        ascent ║
║ 1633515430 │        106.9200 │        ascent ║
║ 1633515474 │         96.8400 │        ascent ║
║ 1633515519 │         86.6800 │        ascent ║
║ 1633515561 │         76.9600 │        ascent ║
║ 1633515605 │         66.8800 │        ascent ║
║ 1633515650 │         56.8000 │        ascent ║
║ 1633515694 │         46.8800 │        ascent ║
║ 1633515738 │         36.9200 │        ascent ║
║ 1633515782 │         26.8000 │        ascent ║
║ 1633515826 │         16.7600 │        ascent ║
║ 1633515870 │          6.8800 │        ascent ║
║ 1633515895 │          1.5600 │    ascent end ║
╚════════════╧═════════════════╧═══════════════╝

Science
science data
descending: binned:
<empty>

unbinned:
<empty>

discrete:
<empty>


park/drift: discrete
╔═════════════════╤════════════════════╤════════════════╤════════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ time (seconds) ║
╟─────────────────┼────────────────────┼────────────────┼────────────────╢
