=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 81
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  2022-03-03 21:32:00 UTC
latitude:  69.1098571
longitude: -51.9241312
ttf:       240
nsat:      5
min snr:   0
mean snr:  24
max snr:   37
hdop:      6.8

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1645902060 │          0.1600 │ descent start ║
║ 1645902468 │         10.0800 │       descent ║
║ 1645902547 │         20.2000 │       descent ║
║ 1645902621 │         30.0800 │       descent ║
║ 1645902696 │         40.1600 │       descent ║
║ 1645902770 │         50.1200 │       descent ║
║ 1645902773 │         50.5600 │  descent pump ║
║ 1645902846 │         60.1200 │       descent ║
║ 1645902922 │         70.0400 │       descent ║
║ 1645902999 │         80.1200 │       descent ║
║ 1645903075 │         90.0000 │       descent ║
║ 1645903153 │        100.0400 │       descent ║
║ 1645903234 │        110.0800 │       descent ║
║ 1645903315 │        120.0400 │       descent ║
║ 1645903398 │        130.0800 │       descent ║
║ 1645903481 │        140.0800 │       descent ║
║ 1645903565 │        150.0800 │       descent ║
║ 1645903648 │        160.0400 │       descent ║
║ 1645903731 │        170.0400 │       descent ║
║ 1645903816 │        180.0800 │       descent ║
║ 1645903899 │        190.0400 │       descent ║
║ 1645903984 │        200.0000 │       descent ║
║ 1645904069 │        210.0000 │       descent ║
║ 1645904155 │        220.0400 │       descent ║
║ 1645904241 │        230.0800 │       descent ║
║ 1645904326 │        240.0800 │       descent ║
║ 1645904414 │        250.0800 │       descent ║
║ 1645904500 │        260.0000 │       descent ║
║ 1645904580 │        269.0800 │  descent seek ║
║ 1645904588 │        270.0400 │       descent ║
║ 1645904926 │        309.4000 │       descent ║
║ 1645905010 │        319.0800 │       descent ║
║ 1645905094 │        329.0800 │       descent ║
║ 1645905176 │        339.0800 │       descent ║
║ 1645905258 │        349.0400 │       descent ║
║ 1645905339 │        359.0000 │       descent ║
║ 1645905423 │        369.0800 │       descent ║
║ 1645905509 │        379.0800 │       descent ║
║ 1645905593 │        389.0400 │       descent ║
║ 1645905677 │        399.0400 │       descent ║
║ 1645905767 │        409.0400 │       descent ║
║ 1645906367 │        418.4800 │       descent ║
