=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 84
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
╟────────────┼─────────────────┼───────────────╢
║ 1647231652 │          1.0000 │ descent start ║
║ 1647231904 │         10.0400 │       descent ║
║ 1647231987 │         20.0400 │       descent ║
║ 1647232064 │         30.2000 │       descent ║
║ 1647232141 │         40.1600 │       descent ║
║ 1647232218 │         50.0400 │       descent ║
║ 1647232221 │         50.4400 │  descent pump ║
║ 1647232296 │         60.0400 │       descent ║
║ 1647232374 │         70.0800 │       descent ║
║ 1647232452 │         80.0000 │       descent ║
║ 1647232531 │         90.0000 │       descent ║
║ 1647232612 │        100.0400 │       descent ║
║ 1647232694 │        110.0400 │       descent ║
║ 1647232776 │        120.0400 │       descent ║
║ 1647232859 │        130.0400 │       descent ║
║ 1647232944 │        140.0400 │       descent ║
║ 1647233028 │        150.0000 │       descent ║
║ 1647233113 │        160.0000 │       descent ║
║ 1647233201 │        170.0800 │       descent ║
║ 1647233287 │        180.0400 │       descent ║
║ 1647233374 │        190.0400 │       descent ║
║ 1647233463 │        200.0800 │       descent ║
║ 1647233551 │        210.0000 │       descent ║
║ 1647233641 │        220.0800 │       descent ║
║ 1647233729 │        230.0400 │       descent ║
║ 1647233816 │        240.0400 │       descent ║
║ 1647233904 │        250.0800 │       descent ║
║ 1647233994 │        260.0800 │       descent ║
║ 1647234028 │        263.8400 │  descent seek ║
║ 1647234374 │        303.2800 │       descent ║
║ 1647234457 │        313.0400 │       descent ║
║ 1647234544 │        323.0400 │       descent ║
║ 1647234630 │        333.1200 │       descent ║
║ 1647234716 │        343.0400 │       descent ║
║ 1647234804 │        353.0800 │       descent ║
║ 1647234892 │        363.0800 │       descent ║
║ 1647234981 │        373.0800 │       descent ║
║ 1647235069 │        383.0400 │       descent ║
║ 1647235159 │        393.0400 │       descent ║
║ 1647235250 │        403.0000 │       descent ║
║ 1647235338 │        413.0800 │       descent ║
║ 1647235426 │        423.0400 │       descent ║
║ 1647235517 │        433.0400 │       descent ║
║ 1647235606 │        443.0800 │       descent ║
║ 1647235696 │        453.0400 │       descent ║
║ 1647235785 │        463.0000 │       descent ║
║ 1647235877 │        473.0400 │       descent ║
║ 1647235969 │        483.0000 │       descent ║
║ 1647236061 │        493.0800 │       descent ║
║ 1647236661 │        499.1200 │       descent ║
║ 1647237261 │        499.1600 │       descent ║
║ 1647237861 │        499.2000 │       descent ║
║ 1647237974 │        499.2000 │  descent seek ║
║ 1647238461 │        499.2400 │       descent ║
║ 1647239061 │        499.3200 │       descent ║
║ 1647239661 │        499.3600 │       descent ║
║ 1647240261 │        499.4000 │       descent ║
║ 1647240861 │        499.4400 │       descent ║
║ 1647241461 │        499.4800 │       descent ║
║ 1647241606 │        499.5200 │  descent seek ║
║ 1647242061 │        499.5600 │       descent ║
║ 1647242661 │        499.6000 │       descent ║
║ 1647243261 │        499.6400 │       descent ║
║ 1647243861 │        499.7200 │       descent ║
║ 1647244461 │        499.7600 │       descent ║
