=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 68
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-12-22 04:33:00 UTC
latitude:  69.0914764
longitude: -52.0090284
ttf:       0
nsat:      5
min snr:   17
mean snr:  20
max snr:   23
hdop:      1.2

fix kind:  DiveEnd
fix time:  2021-12-27 07:07:00 UTC
latitude:  69.0915891
longitude: -52.0103031
ttf:       230
nsat:      6
min snr:   0
mean snr:  26
max snr:   35
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        444.6800 │             2.7890 │        34.2290 │           6601 ║
║        444.9200 │             2.7900 │        34.2270 │           8401 ║
║        445.1200 │             2.7810 │        34.2260 │          10201 ║
║        445.3200 │             2.7740 │        34.2250 │          12001 ║
║        445.4400 │             2.7740 │        34.2260 │          13801 ║
║        445.5200 │             2.7670 │        34.2250 │          15601 ║
║        445.6000 │             2.7660 │        34.2210 │          17401 ║
║        445.5600 │             2.7670 │        34.2230 │          19201 ║
║        445.4800 │             2.7680 │        34.2220 │          21001 ║
║        445.3600 │             2.7670 │        34.2240 │          22801 ║
║        445.2000 │             2.7680 │        34.2230 │          24601 ║
║        445.0000 │             2.7690 │        34.2230 │          26401 ║
║        444.8000 │             2.7670 │        34.2230 │          28201 ║
║        444.5600 │             2.7670 │        34.2250 │          30001 ║
║        444.3600 │             2.7670 │        34.2220 │          31801 ║
║        444.2000 │             2.7680 │        34.2210 │          33601 ║
║        444.0400 │             2.7670 │        34.2190 │          35401 ║
║        443.9200 │             2.7670 │        34.2200 │          37201 ║
║        443.8400 │             2.7790 │        34.2240 │          39001 ║
║        443.8000 │             2.7700 │        34.2210 │          40801 ║
║        443.8000 │             2.8360 │        34.2380 │          42601 ║
║        443.8400 │             2.8340 │        34.2350 │          44401 ║
║        443.9200 │             2.8300 │        34.2340 │          46201 ║
║        444.0000 │             2.8250 │        34.2360 │          48001 ║
║        444.1200 │             2.8180 │        34.2310 │          49801 ║
║        444.2400 │             2.8110 │        34.2320 │          51601 ║
║        444.3600 │             2.8050 │        34.2320 │          53401 ║
║        444.4800 │             2.8110 │        34.2310 │          55201 ║
║        444.5200 │             2.8080 │        34.2370 │          57001 ║
║        444.5600 │             2.8090 │        34.2340 │          58801 ║
║        444.5600 │             2.8070 │        34.2270 │          60601 ║
║        444.5600 │             2.8020 │        34.2350 │          62401 ║
║        444.4800 │             2.7990 │        34.2260 │          64201 ║
║        444.4000 │             2.7920 │        34.2240 │          66001 ║
║        444.2800 │             2.7920 │        34.2270 │          67801 ║
║        444.1200 │             2.7910 │        34.2260 │          69601 ║
║        443.9600 │             2.7910 │        34.2260 │          71401 ║
║        443.8400 │             2.7920 │        34.2260 │          73201 ║
║        443.7200 │             2.7900 │        34.2250 │          75001 ║
║        443.6400 │             2.7910 │        34.2250 │          76801 ║
║        443.5200 │             2.7930 │        34.2250 │          78601 ║
║        443.5200 │             2.7910 │        34.2230 │          80401 ║
║        443.5200 │             2.7900 │        34.2230 │          82201 ║
║        443.5600 │             2.7890 │        34.2210 │          84001 ║
║        443.6800 │             2.7880 │        34.2240 │          85801 ║
║        443.8400 │             2.7870 │        34.2190 │          87601 ║
║        444.0000 │             2.7870 │        34.2240 │          89401 ║
║        444.2000 │             2.7860 │        34.2230 │          91201 ║
║        444.4400 │             2.7870 │        34.2200 │          93001 ║
║        444.6800 │             2.7860 │        34.2230 │          94801 ║
║        444.9200 │             2.7860 │        34.2210 │          96601 ║
║        445.1200 │             2.7860 │        34.2200 │          98401 ║
║        445.3200 │             2.7850 │        34.2190 │         100201 ║
║        445.4400 │             2.7840 │        34.2220 │         102001 ║
║        445.5200 │             2.7850 │        34.2190 │         103801 ║
