Message,20200916T044350,Firmware: 07/16/20 13:53:27 2.15.0 STD SBD Final
Message,20200916T044350,Float ID: 026-1720
LGR_P,20200917T001101,300.14536
LGR_P,20200917T001104,300.15298
LGR_P,20200917T001107,300.14728
LGR_P,20200917T001110,300.15146
LGR_P,20200917T001113,300.15530
LGR_P,20200917T001115,300.14352
LGR_P,20200917T001118,300.15146
LGR_P,20200917T001121,300.14392
LGR_P,20200917T001124,300.14255
LGR_P,20200917T001127,300.14816
LGR_P,20200917T001130,300.14923
LGR_P,20200917T001133,300.14636
LGR_P,20200917T001136,300.14255
LGR_P,20200917T001139,300.14456
LGR_P,20200917T001142,300.14926
LGR_P,20200917T001145,300.15253
LGR_P,20200917T001148,300.14029
LGR_P,20200917T001149,300.14645
LGR_P,20200917T001150,300.15158
LGR_P,20200917T001154,300.15540
LGR_P,20200917T001157,300.14407
LGR_P,20200917T001201,300.14410
LGR_P,20200917T001204,300.15213
LGR_P,20200917T001207,300.14450
LGR_P,20200917T001211,300.14883
LGR_P,20200917T001214,300.15353
LGR_P,20200917T001217,300.14267
LGR_P,20200917T001221,300.15405
LGR_P,20200917T001224,300.15125
LGR_P,20200917T001227,300.15677
LGR_P,20200917T001231,300.14502
LGR_P,20200917T001234,300.14838
LGR_P,20200917T001237,300.15018
LGR_P,20200917T001241,300.14462
LGR_P,20200917T001244,300.13858
LGR_P,20200917T001247,300.15207
LGR_P,20200917T001250,300.14456
LGR_P,20200917T001253,300.13699
LGR_P,20200917T001256,300.13989
LGR_P,20200917T001259,300.14883
LGR_P,20200917T001302,300.15024
LGR_P,20200917T001305,300.14835
LGR_P,20200917T001308,300.14886
LGR_P,20200917T001310,300.15073
LGR_P,20200917T001313,300.14038
LGR_P,20200917T001317,300.15216
LGR_P,20200917T001320,300.15018
LGR_P,20200917T001324,300.15073
LGR_P,20200917T001327,300.14838
LGR_P,20200917T001330,300.14975
LGR_P,20200917T001334,300.14697
LGR_P,20200917T001337,300.14230
LGR_P,20200917T001340,300.15585
LGR_P,20200917T001344,300.14938
LGR_P,20200917T001347,300.15125
LGR_P,20200917T001350,300.15543
LGR_P,20200917T001354,300.14697
LGR_P,20200917T001357,300.14230
LGR_P,20200917T001400,300.15073
LGR_P,20200917T001404,300.14139
LGR_P,20200917T001407,300.14990
LGR_P,20200917T001410,300.15872
LGR_P,20200917T001413,300.15027
LGR_P,20200917T001416,300.16110
LGR_P,20200917T001420,300.14609
LGR_P,20200917T001423,300.15787
LGR_P,20200917T001426,300.14374
LGR_P,20200917T001429,300.14807
LGR_P,20200917T001432,300.14517
LGR_P,20200917T001434,300.14847
LGR_P,20200917T001438,300.14050
LGR_P,20200917T001441,300.13950
LGR_P,20200917T001445,300.14426
LGR_P,20200917T001448,300.14154
LGR_P,20200917T001451,300.15173
LGR_P,20200917T001455,300.13864
LGR_P,20200917T001458,300.13535
LGR_P,20200917T001501,300.15265
LGR_P,20200917T001505,300.14240
LGR_P,20200917T001508,300.14331
LGR_P,20200917T001511,300.14233
LGR_P,20200917T001515,300.14148
LGR_P,20200917T001518,300.14569
LGR_P,20200917T001521,300.14511
LGR_P,20200917T001525,300.13766
LGR_P,20200917T001528,300.13821
LGR_P,20200917T001531,300.14609
LGR_P,20200917T001534,300.14090
LGR_P,20200917T001537,300.15314
LGR_P,20200917T001540,300.15549
LGR_P,20200917T001543,300.13293
LGR_P,20200917T001546,300.14615
LGR_P,20200917T001549,300.13574
LGR_P,20200917T001552,300.13626
LGR_P,20200917T001554,300.14001
LGR_P,20200917T001557,300.14044
LGR_P,20200917T001601,300.14664
LGR_P,20200917T001604,300.14090
LGR_P,20200917T001608,300.14374
LGR_P,20200917T001611,300.13864
LGR_P,20200917T001614,300.14417
LGR_P,20200917T001618,300.14044
LGR_P,20200917T001621,300.15033
LGR_P,20200917T001624,300.14557
