lon,lat,date,depth,temperature,salinity
-50.20775,69.16683,26/08/2020,0.72,1.92,4.01
-50.20775,69.16683,26/08/2020,0.8304,1.94,4.0
-50.20775,69.16683,26/08/2020,0.9409,1.96,4.0
-50.20775,69.16683,26/08/2020,1.0513,1.97,3.98
-50.20775,69.16683,26/08/2020,1.1618,1.98,4.0
-50.20775,69.16683,26/08/2020,1.2722,1.98,4.0
-50.20775,69.16683,26/08/2020,1.3827,1.98,4.0
-50.20775,69.16683,26/08/2020,1.4931,1.97,4.0
-50.20775,69.16683,26/08/2020,1.6036,1.96,4.0
-50.20775,69.16683,26/08/2020,1.714,1.93,3.99
-50.20775,69.16683,26/08/2020,1.8245,,
-50.20775,69.16683,26/08/2020,1.9349,,
-50.20775,69.16683,26/08/2020,2.0453,,
-50.20775,69.16683,26/08/2020,2.1558,,
-50.20775,69.16683,26/08/2020,2.2662,-0.27,
-50.20775,69.16683,26/08/2020,2.3767,-0.41,11.49
-50.20775,69.16683,26/08/2020,2.4871,-0.52,13.38
-50.20775,69.16683,26/08/2020,2.5975,-0.61,15.15
-50.20775,69.16683,26/08/2020,2.708,-0.68,17.09
-50.20775,69.16683,26/08/2020,2.8184,-0.77,18.55
-50.20775,69.16683,26/08/2020,2.9288,-0.83,19.97
-50.20775,69.16683,26/08/2020,3.0393,-0.92,21.37
-50.20775,69.16683,26/08/2020,3.1497,-0.97,22.17
-50.20775,69.16683,26/08/2020,3.2601,-1.0,22.45
-50.20775,69.16683,26/08/2020,3.3706,-1.04,22.61
-50.20775,69.16683,26/08/2020,3.481,-1.06,22.71
-50.20775,69.16683,26/08/2020,3.5914,-1.07,22.75
-50.20775,69.16683,26/08/2020,3.7019,-1.07,22.81
-50.20775,69.16683,26/08/2020,3.8123,-1.07,22.83
-50.20775,69.16683,26/08/2020,3.9227,-1.08,22.9
-50.20775,69.16683,26/08/2020,4.0331,-1.09,22.97
-50.20775,69.16683,26/08/2020,4.1436,-1.1,23.0
-50.20775,69.16683,26/08/2020,4.254,-1.11,23.08
-50.20775,69.16683,26/08/2020,4.3644,-1.12,23.15
-50.20775,69.16683,26/08/2020,4.4748,-1.14,23.19
-50.20775,69.16683,26/08/2020,4.5853,-1.15,23.21
-50.20775,69.16683,26/08/2020,4.6957,-1.16,23.22
-50.20775,69.16683,26/08/2020,4.8061,-1.16,23.26
-50.20775,69.16683,26/08/2020,4.9165,-1.16,23.3
-50.20775,69.16683,26/08/2020,5.0269,-1.18,23.43
-50.20775,69.16683,26/08/2020,5.1374,-1.18,23.49
-50.20775,69.16683,26/08/2020,5.2478,-1.2,23.54
-50.20775,69.16683,26/08/2020,5.3582,-1.2,23.58
-50.20775,69.16683,26/08/2020,5.4686,-1.21,23.65
-50.20775,69.16683,26/08/2020,5.579,-1.23,23.79
-50.20775,69.16683,26/08/2020,5.6895,-1.24,23.9
-50.20775,69.16683,26/08/2020,5.7999,,
-50.20775,69.16683,26/08/2020,5.9103,,
