lon,lat,date,depth,temperature,salinity
-50.16108,69.1917,29/08/2019,0.72,,
-50.16108,69.1917,29/08/2019,0.8304,,
-50.16108,69.1917,29/08/2019,0.9409,,
-50.16108,69.1917,29/08/2019,1.0513,,
-50.16108,69.1917,29/08/2019,1.1618,,
-50.16108,69.1917,29/08/2019,1.2722,,
-50.16108,69.1917,29/08/2019,1.3827,,
-50.16108,69.1917,29/08/2019,1.4931,,
-50.16108,69.1917,29/08/2019,1.6036,,
-50.16108,69.1917,29/08/2019,1.714,3.2,2.48
-50.16108,69.1917,29/08/2019,1.8245,3.21,2.48
-50.16108,69.1917,29/08/2019,1.9349,3.2,2.48
-50.16108,69.1917,29/08/2019,2.0453,3.2,2.48
-50.16108,69.1917,29/08/2019,2.1558,3.2,2.48
-50.16108,69.1917,29/08/2019,2.2662,3.19,2.48
-50.16108,69.1917,29/08/2019,2.3767,3.07,2.51
-50.16108,69.1917,29/08/2019,2.4871,2.58,2.51
-50.16108,69.1917,29/08/2019,2.5975,2.0,2.51
-50.16108,69.1917,29/08/2019,2.708,1.55,2.54
-50.16108,69.1917,29/08/2019,2.8184,1.24,2.56
-50.16108,69.1917,29/08/2019,2.9288,1.07,2.56
-50.16108,69.1917,29/08/2019,3.0393,0.92,2.57
-50.16108,69.1917,29/08/2019,3.1497,0.65,2.61
-50.16108,69.1917,29/08/2019,3.2601,0.42,2.63
-50.16108,69.1917,29/08/2019,3.3706,0.27,2.66
-50.16108,69.1917,29/08/2019,3.481,0.18,2.67
-50.16108,69.1917,29/08/2019,3.5914,0.13,2.69
-50.16108,69.1917,29/08/2019,3.7019,0.09,2.71
-50.16108,69.1917,29/08/2019,3.8123,0.06,2.74
-50.16108,69.1917,29/08/2019,3.9227,0.03,2.78
-50.16108,69.1917,29/08/2019,4.0331,0.01,2.8
-50.16108,69.1917,29/08/2019,4.1436,-0.01,2.8
-50.16108,69.1917,29/08/2019,4.254,-0.02,2.81
-50.16108,69.1917,29/08/2019,4.3644,-0.02,2.85
-50.16108,69.1917,29/08/2019,4.4748,-0.01,2.88
-50.16108,69.1917,29/08/2019,4.5853,,
-50.16108,69.1917,29/08/2019,4.6957,,
-50.16108,69.1917,29/08/2019,4.8061,,
-50.16108,69.1917,29/08/2019,4.9165,,
-50.16108,69.1917,29/08/2019,5.0269,,
-50.16108,69.1917,29/08/2019,5.1374,,
-50.16108,69.1917,29/08/2019,5.2478,,
-50.16108,69.1917,29/08/2019,5.3582,,
-50.16108,69.1917,29/08/2019,5.4686,,
-50.16108,69.1917,29/08/2019,5.579,,
-50.16108,69.1917,29/08/2019,5.6895,-0.12,4.56
-50.16108,69.1917,29/08/2019,5.7999,-0.15,4.74
-50.16108,69.1917,29/08/2019,5.9103,-0.17,4.88
-50.16108,69.1917,29/08/2019,6.0207,-0.17,4.96
-50.16108,69.1917,29/08/2019,6.1311,-0.18,5.05
-50.16108,69.1917,29/08/2019,6.2415,-0.18,5.1
-50.16108,69.1917,29/08/2019,6.3519,-0.21,5.2
-50.16108,69.1917,29/08/2019,6.4623,-0.23,5.29
-50.16108,69.1917,29/08/2019,6.5727,-0.24,5.39
-50.16108,69.1917,29/08/2019,6.6832,-0.24,5.48
-50.16108,69.1917,29/08/2019,6.7936,-0.24,5.56
-50.16108,69.1917,29/08/2019,6.904,-0.25,5.62
-50.16108,69.1917,29/08/2019,7.0144,-0.25,5.69
-50.16108,69.1917,29/08/2019,7.1248,-0.26,5.81
-50.16108,69.1917,29/08/2019,7.2352,-0.29,5.94
-50.16108,69.1917,29/08/2019,7.3456,-0.29,6.09
-50.16108,69.1917,29/08/2019,7.456,-0.29,6.29
-50.16108,69.1917,29/08/2019,7.5664,-0.32,6.49
-50.16108,69.1917,29/08/2019,7.6768,-0.33,6.68
-50.16108,69.1917,29/08/2019,7.7872,-0.34,6.95
-50.16108,69.1917,29/08/2019,7.8976,-0.35,7.18
-50.16108,69.1917,29/08/2019,8.008,-0.37,7.45
-50.16108,69.1917,29/08/2019,8.1184,-0.39,7.81
