lon,lat,date,depth,temperature,salinity
-50.5671,69.16738,06/09/2021,0.72,-0.58,20.38
-50.5671,69.16738,06/09/2021,0.8304,-0.61,20.69
-50.5671,69.16738,06/09/2021,0.9409,-0.65,20.94
-50.5671,69.16738,06/09/2021,1.0513,-0.68,21.08
-50.5671,69.16738,06/09/2021,1.1618,-0.69,21.16
-50.5671,69.16738,06/09/2021,1.2722,-0.7,21.23
-50.5671,69.16738,06/09/2021,1.3827,,
-50.5671,69.16738,06/09/2021,1.4931,,
-50.5671,69.16738,06/09/2021,1.6036,,
-50.5671,69.16738,06/09/2021,1.714,,
-50.5671,69.16738,06/09/2021,1.8245,,
-50.5671,69.16738,06/09/2021,1.9349,,
-50.5671,69.16738,06/09/2021,2.0453,,
-50.5671,69.16738,06/09/2021,2.1558,,
-50.5671,69.16738,06/09/2021,2.2662,,
-50.5671,69.16738,06/09/2021,2.3767,,
-50.5671,69.16738,06/09/2021,2.4871,-0.83,22.36
-50.5671,69.16738,06/09/2021,2.5975,-0.83,22.36
-50.5671,69.16738,06/09/2021,2.708,-0.84,22.39
-50.5671,69.16738,06/09/2021,2.8184,-0.84,22.49
-50.5671,69.16738,06/09/2021,2.9288,-0.84,22.54
-50.5671,69.16738,06/09/2021,3.0393,-0.85,22.61
-50.5671,69.16738,06/09/2021,3.1497,-0.85,22.67
-50.5671,69.16738,06/09/2021,3.2601,-0.85,22.75
-50.5671,69.16738,06/09/2021,3.3706,-0.85,22.8
-50.5671,69.16738,06/09/2021,3.481,-0.86,22.95
-50.5671,69.16738,06/09/2021,3.5914,-0.87,23.07
-50.5671,69.16738,06/09/2021,3.7019,-0.87,23.19
-50.5671,69.16738,06/09/2021,3.8123,-0.87,23.29
-50.5671,69.16738,06/09/2021,3.9227,-0.87,23.4
-50.5671,69.16738,06/09/2021,4.0331,-0.86,23.59
-50.5671,69.16738,06/09/2021,4.1436,-0.86,23.67
-50.5671,69.16738,06/09/2021,4.254,-0.85,23.72
-50.5671,69.16738,06/09/2021,4.3644,-0.85,23.82
-50.5671,69.16738,06/09/2021,4.4748,-0.85,23.88
-50.5671,69.16738,06/09/2021,4.5853,-0.84,23.94
-50.5671,69.16738,06/09/2021,4.6957,-0.85,24.05
-50.5671,69.16738,06/09/2021,4.8061,-0.84,24.2
-50.5671,69.16738,06/09/2021,4.9165,-0.84,24.28
-50.5671,69.16738,06/09/2021,5.0269,-0.84,24.37
-50.5671,69.16738,06/09/2021,5.1374,-0.83,24.48
-50.5671,69.16738,06/09/2021,5.2478,-0.83,24.54
-50.5671,69.16738,06/09/2021,5.3582,-0.82,24.59
-50.5671,69.16738,06/09/2021,5.4686,,
-50.5671,69.16738,06/09/2021,5.579,,
-50.5671,69.16738,06/09/2021,5.6895,,
-50.5671,69.16738,06/09/2021,5.7999,,
-50.5671,69.16738,06/09/2021,5.9103,,
-50.5671,69.16738,06/09/2021,6.0207,,
-50.5671,69.16738,06/09/2021,6.1311,,
-50.5671,69.16738,06/09/2021,6.2415,,
-50.5671,69.16738,06/09/2021,6.3519,,
-50.5671,69.16738,06/09/2021,6.4623,,
-50.5671,69.16738,06/09/2021,6.5727,,
-50.5671,69.16738,06/09/2021,6.6832,-0.77,25.48
-50.5671,69.16738,06/09/2021,6.7936,-0.76,25.64
-50.5671,69.16738,06/09/2021,6.904,-0.76,25.74
-50.5671,69.16738,06/09/2021,7.0144,-0.75,25.83
-50.5671,69.16738,06/09/2021,7.1248,-0.75,25.87
-50.5671,69.16738,06/09/2021,7.2352,-0.75,25.95
-50.5671,69.16738,06/09/2021,7.3456,-0.75,25.97
-50.5671,69.16738,06/09/2021,7.456,-0.75,25.99
-50.5671,69.16738,06/09/2021,7.5664,-0.74,26.08
-50.5671,69.16738,06/09/2021,7.6768,-0.74,26.2
-50.5671,69.16738,06/09/2021,7.7872,-0.74,26.29
-50.5671,69.16738,06/09/2021,7.8976,-0.74,26.49
-50.5671,69.16738,06/09/2021,8.008,-0.74,26.63
-50.5671,69.16738,06/09/2021,8.1184,-0.73,26.7
-50.5671,69.16738,06/09/2021,8.2288,-0.73,26.72
-50.5671,69.16738,06/09/2021,8.3392,-0.72,26.75
-50.5671,69.16738,06/09/2021,8.4496,-0.72,26.81
-50.5671,69.16738,06/09/2021,8.56,-0.72,26.81
-50.5671,69.16738,06/09/2021,8.6704,-0.72,26.85
-50.5671,69.16738,06/09/2021,8.7808,-0.72,26.89
-50.5671,69.16738,06/09/2021,8.8912,-0.72,26.89
-50.5671,69.16738,06/09/2021,9.0016,-0.72,26.93
-50.5671,69.16738,06/09/2021,9.112,-0.72,26.94
-50.5671,69.16738,06/09/2021,9.2223,-0.71,26.94
-50.5671,69.16738,06/09/2021,9.3327,-0.71,26.97
-50.5671,69.16738,06/09/2021,9.4431,-0.71,27.01
-50.5671,69.16738,06/09/2021,9.5535,,
-50.5671,69.16738,06/09/2021,9.6639,,
-50.5671,69.16738,06/09/2021,9.7743,,
-50.5671,69.16738,06/09/2021,9.8847,,
-50.5671,69.16738,06/09/2021,9.9951,,
-50.5671,69.16738,06/09/2021,10.1054,,
-50.5671,69.16738,06/09/2021,10.2158,,
