lon,lat,date,depth,temperature,salinity
-50.24107,69.18225,29/08/2019,12.4234,-1.29,24.01
-50.24107,69.18225,29/08/2019,12.5337,-1.29,24.05
-50.24107,69.18225,29/08/2019,12.6441,-1.29,24.07
-50.24107,69.18225,29/08/2019,12.7545,-1.3,24.12
-50.24107,69.18225,29/08/2019,12.8648,-1.3,24.16
-50.24107,69.18225,29/08/2019,12.9752,-1.3,24.2
-50.24107,69.18225,29/08/2019,13.0856,-1.3,24.24
-50.24107,69.18225,29/08/2019,13.1959,-1.3,24.3
-50.24107,69.18225,29/08/2019,13.3063,-1.31,24.35
-50.24107,69.18225,29/08/2019,13.4166,-1.31,24.37
-50.24107,69.18225,29/08/2019,13.527,-1.31,24.39
-50.24107,69.18225,29/08/2019,13.6374,-1.31,24.43
-50.24107,69.18225,29/08/2019,13.7477,-1.31,24.45
-50.24107,69.18225,29/08/2019,13.8581,-1.32,24.5
-50.24107,69.18225,29/08/2019,13.9684,-1.32,24.52
-50.24107,69.18225,29/08/2019,14.0788,-1.32,24.58
-50.24107,69.18225,29/08/2019,14.1892,-1.32,24.64
-50.24107,69.18225,29/08/2019,14.2995,-1.32,24.75
-50.24107,69.18225,29/08/2019,14.4099,-1.33,24.82
-50.24107,69.18225,29/08/2019,14.5202,-1.33,24.84
-50.24107,69.18225,29/08/2019,14.6306,-1.33,24.88
-50.24107,69.18225,29/08/2019,14.7409,-1.34,24.93
-50.24107,69.18225,29/08/2019,14.8513,-1.34,25.03
-50.24107,69.18225,29/08/2019,14.9616,-1.34,25.09
-50.24107,69.18225,29/08/2019,15.072,-1.34,25.13
-50.24107,69.18225,29/08/2019,15.1823,,
-50.24107,69.18225,29/08/2019,15.2927,,
-50.24107,69.18225,29/08/2019,15.403,,
-50.24107,69.18225,29/08/2019,15.5134,,
-50.24107,69.18225,29/08/2019,15.6237,,
-50.24107,69.18225,29/08/2019,15.7341,,
-50.24107,69.18225,29/08/2019,15.8444,,
-50.24107,69.18225,29/08/2019,15.9548,,
-50.24107,69.18225,29/08/2019,16.0651,,
-50.24107,69.18225,29/08/2019,16.1755,,
-50.24107,69.18225,29/08/2019,16.2858,,
-50.24107,69.18225,29/08/2019,16.3961,-1.36,25.77
-50.24107,69.18225,29/08/2019,16.5065,-1.38,25.84
-50.24107,69.18225,29/08/2019,16.6168,-1.38,25.88
-50.24107,69.18225,29/08/2019,16.7272,-1.38,25.88
-50.24107,69.18225,29/08/2019,16.8375,-1.38,25.94
-50.24107,69.18225,29/08/2019,16.9478,-1.38,26.02
-50.24107,69.18225,29/08/2019,17.0582,-1.38,26.09
-50.24107,69.18225,29/08/2019,17.1685,-1.38,26.11
-50.24107,69.18225,29/08/2019,17.2788,-1.38,26.13
-50.24107,69.18225,29/08/2019,17.3892,-1.38,26.17
-50.24107,69.18225,29/08/2019,17.4995,-1.38,26.21
-50.24107,69.18225,29/08/2019,17.6098,-1.38,26.21
-50.24107,69.18225,29/08/2019,17.7202,-1.38,26.31
-50.24107,69.18225,29/08/2019,17.8305,-1.38,26.38
-50.24107,69.18225,29/08/2019,17.9408,-1.39,26.41
-50.24107,69.18225,29/08/2019,18.0512,-1.39,26.47
-50.24107,69.18225,29/08/2019,18.1615,-1.39,26.55
-50.24107,69.18225,29/08/2019,18.2718,-1.39,26.59
-50.24107,69.18225,29/08/2019,18.3822,-1.39,26.59
-50.24107,69.18225,29/08/2019,18.4925,-1.39,26.61
-50.24107,69.18225,29/08/2019,18.6028,-1.39,26.63
-50.24107,69.18225,29/08/2019,18.7131,-1.39,26.65
-50.24107,69.18225,29/08/2019,18.8235,-1.39,26.8
-50.24107,69.18225,29/08/2019,18.9338,-1.39,26.84
-50.24107,69.18225,29/08/2019,19.0441,-1.39,26.86
-50.24107,69.18225,29/08/2019,19.1544,-1.39,26.94
-50.24107,69.18225,29/08/2019,19.2648,,
-50.24107,69.18225,29/08/2019,19.3751,,
-50.24107,69.18225,29/08/2019,19.4854,,
-50.24107,69.18225,29/08/2019,19.5957,,
-50.24107,69.18225,29/08/2019,19.706,,
-50.24107,69.18225,29/08/2019,19.8163,,
-50.24107,69.18225,29/08/2019,19.9267,,
-50.24107,69.18225,29/08/2019,20.037,,
-50.24107,69.18225,29/08/2019,20.1473,,
-50.24107,69.18225,29/08/2019,20.2576,,
-50.24107,69.18225,29/08/2019,20.3679,-1.38,27.24
-50.24107,69.18225,29/08/2019,20.4782,,
-50.24107,69.18225,29/08/2019,20.5886,,
-50.24107,69.18225,29/08/2019,20.6989,,
-50.24107,69.18225,29/08/2019,20.8092,,
-50.24107,69.18225,29/08/2019,20.9195,,
-50.24107,69.18225,29/08/2019,21.0298,,
-50.24107,69.18225,29/08/2019,21.1401,,
-50.24107,69.18225,29/08/2019,21.2504,,
-50.24107,69.18225,29/08/2019,21.3607,,
-50.24107,69.18225,29/08/2019,21.471,-1.33,27.66
-50.24107,69.18225,29/08/2019,21.5813,-1.34,27.71
-50.24107,69.18225,29/08/2019,21.6916,-1.34,27.73
-50.24107,69.18225,29/08/2019,21.8019,-1.34,27.75
-50.24107,69.18225,29/08/2019,21.9122,-1.34,27.79
-50.24107,69.18225,29/08/2019,22.0225,-1.34,27.86
-50.24107,69.18225,29/08/2019,22.1329,-1.34,27.92
-50.24107,69.18225,29/08/2019,22.2432,-1.33,27.97
-50.24107,69.18225,29/08/2019,22.3535,-1.33,28.01
-50.24107,69.18225,29/08/2019,22.4638,-1.33,28.05
-50.24107,69.18225,29/08/2019,22.5741,-1.32,28.1
-50.24107,69.18225,29/08/2019,22.6844,-1.32,28.15
-50.24107,69.18225,29/08/2019,22.7946,-1.31,28.16
-50.24107,69.18225,29/08/2019,22.9049,-1.31,28.18
-50.24107,69.18225,29/08/2019,23.0152,-1.3,28.23
-50.24107,69.18225,29/08/2019,23.1255,-1.3,28.27
-50.24107,69.18225,29/08/2019,23.2358,-1.3,28.29
-50.24107,69.18225,29/08/2019,23.3461,,
-50.24107,69.18225,29/08/2019,23.4564,,
-50.24107,69.18225,29/08/2019,23.5667,,
-50.24107,69.18225,29/08/2019,23.677,,
-50.24107,69.18225,29/08/2019,23.7873,,
-50.24107,69.18225,29/08/2019,23.8976,,
-50.24107,69.18225,29/08/2019,24.0079,,
-50.24107,69.18225,29/08/2019,24.1182,,
